dt,x,y,position,velocity,acceleration,jerk,heading
0.005,22.7901,11.1000,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,22.7904,11.1000,0.0004,0.0500,5.0000,0.0000,0.0000
0.005,22.7907,11.1000,0.0008,0.0750,5.0000,0.0000,0.0000
0.005,22.7912,11.1000,0.0013,0.1000,5.0000,0.0000,0.0000
0.005,22.7919,11.1000,0.0019,0.1250,5.0000,0.0000,0.0000
0.005,22.7926,11.1000,0.0026,0.1500,5.0000,0.0000,0.0000
0.005,22.7935,11.1000,0.0035,0.1750,5.0000,0.0000,0.0000
0.005,22.7945,11.1000,0.0045,0.2000,5.0000,0.0000,0.0000
0.005,22.7956,11.1000,0.0056,0.2250,5.0000,0.0000,0.0000
0.005,22.7969,11.1000,0.0069,0.2500,5.0000,0.0000,0.0000
0.005,22.7982,11.1000,0.0082,0.2750,5.0000,0.0000,0.0000
0.005,22.7997,11.1000,0.0097,0.3000,5.0000,0.0000,0.0000
0.005,22.8014,11.1000,0.0114,0.3250,5.0000,0.0000,0.0001
0.005,22.8031,11.1000,0.0131,0.3500,5.0000,0.0000,0.0001
0.005,22.8050,11.1000,0.0150,0.3750,5.0000,0.0000,0.0001
0.005,22.8070,11.1000,0.0170,0.4000,5.0000,0.0000,0.0001
0.005,22.8091,11.1000,0.0191,0.4250,5.0000,0.0000,0.0002
0.005,22.8114,11.1000,0.0214,0.4500,5.0000,0.0000,0.0002
0.005,22.8137,11.1000,0.0238,0.4750,5.0000,0.0000,0.0003
0.005,22.8162,11.1000,0.0263,0.5000,5.0000,0.0000,0.0003
0.005,22.8189,11.1000,0.0289,0.5250,5.0000,0.0000,0.0004
0.005,22.8216,11.1000,0.0316,0.5500,5.0000,0.0000,0.0005
0.005,22.8245,11.1000,0.0345,0.5750,5.0000,0.0000,0.0005
0.005,22.8275,11.1000,0.0375,0.6000,5.0000,0.0000,0.0006
0.005,22.8306,11.1000,0.0406,0.6250,5.0000,0.0000,0.0007
0.005,22.8339,11.1000,0.0439,0.6500,5.0000,0.0000,0.0009
0.005,22.8372,11.1000,0.0473,0.6750,5.0000,0.0000,0.0010
0.005,22.8407,11.1000,0.0508,0.7000,5.0000,0.0000,0.0011
0.005,22.8444,11.1000,0.0544,0.7250,5.0000,0.0000,0.0013
0.005,22.8481,11.1000,0.0581,0.7500,5.0000,0.0000,0.0015
0.005,22.8520,11.1000,0.0620,0.7750,5.0000,0.0000,0.0017
0.005,22.8560,11.1000,0.0660,0.8000,5.0000,0.0000,0.0019
0.005,22.8601,11.1001,0.0701,0.8250,5.0000,0.0000,0.0021
0.005,22.8644,11.1001,0.0744,0.8500,5.0000,0.0000,0.0024
0.005,22.8687,11.1001,0.0788,0.8750,5.0000,0.0000,0.0027
0.005,22.8732,11.1001,0.0833,0.9000,5.0000,0.0000,0.0030
0.005,22.8779,11.1001,0.0879,0.9250,5.0000,0.0000,0.0033
0.005,22.8826,11.1001,0.0926,0.9500,5.0000,0.0000,0.0036
0.005,22.8875,11.1001,0.0975,0.9750,5.0000,0.0000,0.0040
0.005,22.8925,11.1002,0.1025,1.0000,5.0000,0.0000,0.0044
0.005,22.8976,11.1002,0.1076,1.0250,5.0000,0.0000,0.0048
0.005,22.9029,11.1002,0.1129,1.0500,5.0000,0.0000,0.0053
0.005,22.9082,11.1002,0.1183,1.0750,5.0000,0.0000,0.0058
0.005,22.9137,11.1003,0.1238,1.1000,5.0000,0.0000,0.0063
0.005,22.9194,11.1003,0.1294,1.1250,5.0000,0.0000,0.0068
0.005,22.9251,11.1003,0.1351,1.1500,5.0000,0.0000,0.0074
0.005,22.9310,11.1004,0.1410,1.1750,5.0000,0.0000,0.0080
0.005,22.9370,11.1004,0.1470,1.2000,5.0000,0.0000,0.0086
0.005,22.9431,11.1005,0.1531,1.2250,5.0000,0.0000,0.0093
0.005,22.9494,11.1006,0.1594,1.2500,5.0000,0.0000,0.0100
0.005,22.9557,11.1006,0.1658,1.2750,5.0000,0.0000,0.0107
0.005,22.9622,11.1007,0.1723,1.3000,5.0000,0.0000,0.0115
0.005,22.9689,11.1008,0.1789,1.3250,5.0000,0.0000,0.0123
0.005,22.9756,11.1009,0.1856,1.3500,5.0000,0.0000,0.0131
0.005,22.9825,11.1010,0.1925,1.3750,5.0000,0.0000,0.0140
0.005,22.9895,11.1011,0.1995,1.4000,5.0000,0.0000,0.0149
0.005,22.9966,11.1012,0.2066,1.4250,5.0000,0.0000,0.0159
0.005,23.0039,11.1013,0.2139,1.4500,5.0000,0.0000,0.0169
0.005,23.0112,11.1014,0.2213,1.4750,5.0000,0.0000,0.0179
0.005,23.0187,11.1015,0.2288,1.5000,5.0000,0.0000,0.0190
0.005,23.0264,11.1017,0.2364,1.5250,5.0000,0.0000,0.0200
0.005,23.0341,11.1019,0.2441,1.5500,5.0000,0.0000,0.0212
0.005,23.0420,11.1020,0.2520,1.5750,5.0000,0.0000,0.0223
0.005,23.0500,11.1022,0.2600,1.6000,5.0000,0.0000,0.0236
0.005,23.0581,11.1024,0.2681,1.6250,5.0000,0.0000,0.0248
0.005,23.0664,11.1026,0.2764,1.6500,5.0000,0.0000,0.0261
0.005,23.0747,11.1028,0.2847,1.6750,5.0000,0.0000,0.0274
0.005,23.0832,11.1031,0.2932,1.7000,5.0000,0.0000,0.0287
0.005,23.0918,11.1033,0.3019,1.7250,5.0000,0.0000,0.0301
0.005,23.1006,11.1036,0.3106,1.7500,5.0000,0.0000,0.0315
0.005,23.1095,11.1039,0.3195,1.7750,5.0000,0.0000,0.0329
0.005,23.1185,11.1042,0.3285,1.8000,5.0000,0.0000,0.0344
0.005,23.1276,11.1045,0.3376,1.8250,5.0000,0.0000,0.0359
0.005,23.1368,11.1049,0.3469,1.8500,5.0000,0.0000,0.0374
0.005,23.1462,11.1052,0.3562,1.8750,5.0000,0.0000,0.0390
0.005,23.1557,11.1056,0.3657,1.9000,5.0000,0.0000,0.0406
0.005,23.1653,11.1060,0.3754,1.9250,5.0000,0.0000,0.0422
0.005,23.1750,11.1064,0.3851,1.9500,5.0000,0.0000,0.0438
0.005,23.1849,11.1068,0.3950,1.9750,5.0000,0.0000,0.0454
0.005,23.1949,11.1073,0.4050,2.0000,5.0000,0.0000,0.0471
0.005,23.2050,11.1078,0.4151,2.0250,5.0000,0.0000,0.0488
0.005,23.2152,11.1083,0.4254,2.0500,5.0000,0.0000,0.0505
0.005,23.2256,11.1088,0.4357,2.0750,5.0000,0.0000,0.0522
0.005,23.2361,11.1094,0.4462,2.1000,5.0000,0.0000,0.0539
0.005,23.2467,11.1100,0.4569,2.1250,5.0000,0.0000,0.0557
0.005,23.2574,11.1106,0.4676,2.1500,5.0000,0.0000,0.0574
0.005,23.2683,11.1112,0.4785,2.1750,5.0000,0.0000,0.0591
0.005,23.2793,11.1119,0.4895,2.2000,5.0000,0.0000,0.0609
0.005,23.2904,11.1126,0.5006,2.2250,5.0000,0.0000,0.0626
0.005,23.3016,11.1133,0.5119,2.2500,5.0000,0.0000,0.0644
0.005,23.3129,11.1140,0.5232,2.2750,5.0000,0.0000,0.0661
0.005,23.3244,11.1148,0.5347,2.3000,5.0000,0.0000,0.0678
0.005,23.3360,11.1156,0.5464,2.3250,5.0000,0.0000,0.0695
0.005,23.3477,11.1164,0.5581,2.3500,5.0000,0.0000,0.0712
0.005,23.3596,11.1173,0.5700,2.3750,5.0000,0.0000,0.0729
0.005,23.3716,11.1181,0.5820,2.4000,5.0000,0.0000,0.0746
0.005,23.3836,11.1191,0.5941,2.4250,5.0000,0.0000,0.0762
0.005,23.3959,11.1200,0.6064,2.4500,5.0000,0.0000,0.0778
0.005,23.4082,11.1210,0.6187,2.4750,5.0000,0.0000,0.0794
0.005,23.4207,11.1220,0.6312,2.5000,5.0000,0.0000,0.0809
