dt,x,y,position,velocity,acceleration,jerk,heading
0.02,22.7920,12.3000,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,22.7960,12.3000,0.0060,0.1991,4.9555,-2.2228,0.0000
0.02,22.8019,12.3000,0.0119,0.2970,4.8955,-3.0013,0.0001
0.02,22.8098,12.3000,0.0198,0.3930,4.7996,-4.7978,0.0002
0.02,22.8195,12.3000,0.0295,0.4865,4.6762,-6.1671,0.0004
0.02,22.8311,12.3000,0.0411,0.5771,4.5295,-7.3382,0.0008
0.02,22.8443,12.3000,0.0543,0.6644,4.3642,-8.2610,0.0014
0.02,22.8593,12.3001,0.0693,0.7481,4.1865,-8.8866,0.0022
0.02,22.8759,12.3001,0.0859,0.8282,4.0031,-9.1692,0.0034
0.02,22.8940,12.3002,0.1040,0.9046,3.8218,-9.0674,0.0050
0.02,22.9135,12.3003,0.1235,0.9777,3.6508,-8.5474,0.0071
0.02,22.9345,12.3005,0.1445,1.0476,3.4991,-7.5852,0.0096
0.02,22.9568,12.3007,0.1668,1.1152,3.3757,-6.1694,0.0127
0.02,22.9804,12.3011,0.1904,1.1809,3.2897,-4.3035,0.0163
0.02,23.0053,12.3015,0.2153,1.2459,3.2495,-2.0080,0.0206
0.02,23.0315,12.3021,0.2415,1.3112,3.2631,0.6794,0.0254
0.02,23.0591,12.3029,0.2691,1.3779,3.3372,3.7035,0.0308
0.02,23.0880,12.3039,0.2980,1.4475,3.4771,6.9947,0.0366
0.02,23.1184,12.3051,0.3285,1.5212,3.6865,10.4719,0.0429
0.02,23.1504,12.3066,0.3605,1.6006,3.9675,14.0492,0.0496
0.02,23.1841,12.3083,0.3942,1.6870,4.3203,17.6430,0.0565
0.02,23.2196,12.3105,0.4299,1.7818,4.7440,21.1810,0.0635
0.02,23.2573,12.3130,0.4676,1.8866,5.2362,24.6115,0.0703
0.02,23.2972,12.3160,0.5076,2.0025,5.7944,27.9129,0.0770
0.02,23.3397,12.3194,0.5503,2.1308,6.4165,31.1015,0.0831
0.02,23.3850,12.3233,0.5957,2.2728,7.1013,34.2390,0.0886
0.02,23.4334,12.3277,0.6443,2.4298,7.8500,37.4370,0.0931
