dt,x,y,position,velocity,acceleration,jerk,heading
0.02,22.7920,9.9000,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,22.7960,9.9000,0.0060,0.2009,5.0445,2.2228,0.0000
0.02,22.8021,9.9000,0.0121,0.3030,5.1045,3.0013,0.0001
0.02,22.8102,9.9000,0.0202,0.4070,5.2004,4.7978,0.0002
0.02,22.8205,9.9000,0.0305,0.5135,5.3238,6.1671,0.0004
0.02,22.8329,9.9000,0.0429,0.6229,5.4705,7.3382,0.0008
0.02,22.8477,9.9000,0.0577,0.7356,5.6358,8.2609,0.0014
0.02,22.8647,9.9001,0.0747,0.8519,5.8135,8.8866,0.0022
0.02,22.8841,9.9001,0.0941,0.9718,5.9969,9.1691,0.0034
0.02,22.9060,9.9002,0.1160,1.0954,6.1782,9.0673,0.0050
0.02,22.9305,9.9004,0.1405,1.2223,6.3492,8.5472,0.0071
0.02,22.9575,9.9006,0.1675,1.3524,6.5009,7.5850,0.0096
0.02,22.9872,9.9009,0.1972,1.4848,6.6242,6.1691,0.0127
0.02,23.0196,9.9014,0.2296,1.6191,6.7103,4.3032,0.0163
0.02,23.0547,9.9020,0.2647,1.7541,6.7505,2.0076,0.0206
0.02,23.0924,9.9029,0.3025,1.8888,6.7369,-0.6798,0.0254
0.02,23.1329,9.9040,0.3429,2.0221,6.6628,-3.7039,0.0308
0.02,23.1759,9.9055,0.3860,2.1525,6.5229,-6.9949,0.0366
0.02,23.2214,9.9073,0.4315,2.2788,6.3135,-10.4720,0.0429
0.02,23.2694,9.9095,0.4795,2.3994,6.0325,-14.0490,0.0496
0.02,23.3196,9.9122,0.5298,2.5130,5.6796,-17.6425,0.0565
0.02,23.3718,9.9153,0.5821,2.6181,5.2560,-21.1802,0.0635
0.02,23.4260,9.9189,0.6364,2.7134,4.7638,-24.6105,0.0703
0.02,23.4818,9.9231,0.6924,2.7975,4.2056,-27.9116,0.0770
0.02,23.5390,9.9277,0.7497,2.8692,3.5836,-31.1001,0.0831
0.02,23.5973,9.9327,0.8083,2.9272,2.8988,-34.2376,0.0886
0.02,23.6565,9.9381,0.8677,2.9702,2.1501,-37.4360,0.0931
0.02,23.7161,9.9437,0.9276,2.9968,1.3329,-40.8605,0.0964
0.02,23.7760,9.9496,0.9877,3.0056,0.4382,-44.7331,0.0981
0.02,23.8356,9.9555,1.0476,2.9946,-0.5484,-49.3337,0.0980
0.02,23.8945,9.9612,1.1069,2.9617,-1.6485,-55.0028,0.0957
0.02,23.9523,9.9666,1.1649,2.9038,-2.8913,-62.1412,0.0908
0.02,24.0085,9.9715,1.2213,2.8175,-4.3154,-71.2046,0.0828
0.02,24.0623,9.9757,1.2753,2.6981,-5.9690,-82.6811,0.0711
0.02,24.1130,9.9789,1.3261,2.5400,-7.9096,-97.0289,0.0551
0.02,24.1596,9.9810,1.3728,2.3360,-10.2002,-114.5294,0.0340
0.02,24.2012,9.9819,1.4143,2.0780,-12.8996,-134.9685,0.0070
0.02,24.2363,9.9816,1.4495,1.7572,-16.0396,-157.0027,-0.0271
0.02,24.2636,9.9803,1.4768,1.3656,-19.5796,-176.9975,-0.0693
0.02,24.2815,9.9787,1.4948,0.8991,-23.3228,-187.1602,-0.1210
0.02,24.2887,9.9777,1.5020,0.3634,-26.7870,-173.2117,-0.1833
0.02,24.2845,9.9787,1.5064,0.2178,-7.2803,975.3373,-0.2569
0.02,24.2694,9.9834,1.5222,0.7922,28.7215,1800.0886,-0.3418
0.02,24.2458,9.9931,1.5478,1.2761,24.1963,-226.2606,-0.4364
0.02,24.2181,10.0078,1.5791,1.5677,14.5774,-480.9443,-0.5375
0.02,24.1917,10.0254,1.6108,1.5833,0.7816,-689.7909,-0.6406
0.02,24.1717,10.0419,1.6368,1.2989,-14.2198,-750.0697,-0.7406
0.02,24.1608,10.0526,1.6520,0.7624,-26.8240,-630.2069,-0.8333
0.02,24.1599,10.0536,1.6533,0.0665,-34.7976,-398.6818,-0.9161
0.02,24.1679,10.0422,1.6672,0.6952,31.4381,3311.7853,-0.9878
0.02,24.1831,10.0174,1.6963,1.4538,37.9277,324.4793,-1.0486
0.02,24.2037,9.9792,1.7398,2.1727,35.9454,-99.1167,-1.0990
0.02,24.2284,9.9280,1.7966,2.8402,33.3724,-128.6491,-1.1400
0.02,24.2562,9.8646,1.8658,3.4603,31.0050,-118.3709,-1.1724
0.02,24.2866,9.7896,1.9467,4.0466,29.3175,-84.3724,-1.1966
0.02,24.3196,9.7033,2.0391,4.6194,28.6390,-33.9244,-1.2129
0.02,24.3556,9.6056,2.1432,5.2058,29.3220,34.1502,-1.2212
0.02,24.3951,9.4971,2.2587,5.7756,28.4864,-41.7795,-1.2216
0.02,24.4365,9.3838,2.3793,6.0290,12.6736,-790.6438,-1.2194
0.02,24.4788,9.2688,2.5019,6.1297,5.0337,-381.9917,-1.2173
0.02,24.5212,9.1540,2.6243,6.1182,-0.5742,-280.3992,-1.2170
0.02,24.5627,9.0413,2.7444,6.0053,-5.6440,-253.4875,-1.2202
0.02,24.6022,8.9321,2.8605,5.8036,-10.0854,-222.0705,-1.2285
0.02,24.6386,8.8277,2.9710,5.5277,-13.7987,-185.6670,-1.2430
0.02,24.6710,8.7290,3.0749,5.1953,-16.6198,-141.0520,-1.2648
0.02,24.6989,8.6365,3.1715,4.8300,-18.2605,-82.0360,-1.2943
0.02,24.7217,8.5502,3.2608,4.4646,-18.2746,-0.7024,-1.3315
0.02,24.7396,8.4693,3.3437,4.1427,-16.0947,108.9906,-1.3758
0.02,24.7529,8.3921,3.4220,3.9189,-11.1899,245.2435,-1.4255
0.02,24.7621,8.3156,3.4991,3.8523,-3.3292,393.0340,-1.4779
0.02,24.7674,8.2358,3.5790,3.9961,7.1895,525.9323,-1.5296
0.02,24.7689,8.1481,3.6668,4.3880,19.5941,620.2348,-1.5765
0.02,24.7662,8.0471,3.7678,5.0502,33.1137,675.9774,-1.6140
0.02,24.7595,7.9272,3.8879,6.0045,47.7131,729.9724,-1.6373
0.02,24.7493,7.7830,4.0324,7.2298,61.2657,677.6273,-1.6418
0.02,24.7384,7.6260,4.1898,7.8684,31.9308,-1466.7466,-1.6373
0.02,24.7282,7.4620,4.3541,8.2138,17.2691,-733.0808,-1.6287
0.02,24.7193,7.2927,4.5237,8.4797,13.2948,-198.7176,-1.6174
0.02,24.7123,7.1194,4.6971,8.6695,9.4880,-190.3412,-1.6046
0.02,24.7076,6.9437,4.8728,8.7876,5.9075,-179.0223,-1.5914
0.02,24.7050,6.7669,5.0496,8.8402,2.6304,-163.8557,-1.5791
0.02,24.7045,6.5902,5.2263,8.8350,-0.2606,-144.5513,-1.5685
0.02,24.7057,6.4146,5.4020,8.7813,-2.6872,-121.3302,-1.5605
0.02,24.7079,6.2408,5.5757,8.6897,-4.5793,-94.6041,-1.5557
0.02,24.7107,6.0694,5.7472,8.5722,-5.8715,-64.6115,-1.5545
0.02,24.7133,5.9006,5.9160,8.4423,-6.4949,-31.1695,-1.5571
0.02,24.7151,5.7343,6.0823,8.3150,-6.3678,6.3583,-1.5635
0.02,24.7155,5.5702,6.2465,8.2072,-5.3907,48.8546,-1.5734
0.02,24.7141,5.4074,6.4092,8.1382,-3.4494,97.0620,-1.5861
0.02,24.7104,5.2449,6.5718,8.1297,-0.4260,151.1711,-1.6006
0.02,24.7043,5.0809,6.7359,8.2054,3.7867,210.6351,-1.6155
0.02,24.6956,4.9133,6.9038,8.3909,9.2766,274.4954,-1.6290
0.02,24.6846,4.7393,7.0780,8.7134,16.1236,342.3478,-1.6388
0.02,24.6717,4.5561,7.2617,9.1826,23.4588,366.7619,-1.6424
0.02,24.6589,4.3982,7.4202,7.9254,-62.8571,-4315.7943,-1.6686
0.02,24.6435,4.2736,7.5457,6.2768,-82.4317,-978.7332,-1.7240
0.02,24.6222,4.1609,7.6604,5.7342,-27.1290,2765.1393,-1.7901
0.02,24.5916,4.0416,7.7836,6.1579,21.1832,2415.6056,-1.8508
0.02,24.5479,3.9023,7.9296,7.3008,57.1478,1798.2301,-1.8941
0.02,24.4893,3.7341,8.1077,8.9047,80.1938,1152.3028,-1.9123
0.02,24.4184,3.5326,8.3213,10.6808,88.8037,430.4930,-1.9010
0.02,24.3414,3.2928,8.5731,12.5908,95.5023,334.9321,-1.8578
0.02,24.2693,3.0117,8.8633,14.5106,95.9869,24.2298,-1.7825
0.02,24.2173,2.6927,9.1866,16.1619,82.5656,-671.0657,-1.6797
0.02,24.2002,2.3513,9.5283,17.0877,46.2931,-1813.6247,-1.5614
0.02,24.2231,2.0141,9.8664,16.9024,-9.2655,-2777.9325,-1.4462
0.02,24.2768,1.7064,10.1787,15.6144,-64.4016,-2756.8027,-1.3526
0.02,24.3437,1.4444,10.4491,13.5205,-104.6934,-2014.5901,-1.2939
0.02,24.4044,1.2392,10.6631,10.7020,-140.9284,-1811.7512,-1.2821
0.02,24.4407,1.1076,10.7996,6.8253,-193.8311,-2645.1339,-1.3334
0.02,24.4598,1.0124,10.8967,4.8565,-98.4428,4769.4170,-1.4157
0.02,24.4710,0.9140,10.9957,4.9482,4.5833,5151.3052,-1.4949
0.02,24.4765,0.7893,11.1205,6.2412,64.6527,3003.4675,-1.5509
0.02,24.4773,0.6280,11.2819,8.0675,91.3149,1333.1098,-1.5748
0.02,24.4771,0.4249,11.4850,10.1559,104.4207,655.2885,-1.5622
