dt,x,y,position,velocity,acceleration,jerk,heading
0.005,32.1801,0.1700,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,32.1804,0.1700,0.0004,0.0500,5.0000,0.0000,0.0000
0.005,32.1808,0.1700,0.0008,0.0750,5.0000,0.0000,0.0000
0.005,32.1812,0.1700,0.0013,0.1000,5.0000,0.0000,0.0000
0.005,32.1819,0.1700,0.0019,0.1250,5.0000,0.0000,0.0000
0.005,32.1826,0.1700,0.0026,0.1500,5.0000,0.0000,0.0000
0.005,32.1835,0.1700,0.0035,0.1750,5.0000,0.0000,0.0000
0.005,32.1845,0.1700,0.0045,0.2000,5.0000,0.0000,0.0000
0.005,32.1856,0.1700,0.0056,0.2250,5.0000,0.0000,0.0000
0.005,32.1869,0.1700,0.0069,0.2500,5.0000,0.0000,0.0000
0.005,32.1882,0.1700,0.0082,0.2750,5.0000,0.0000,0.0000
0.005,32.1897,0.1700,0.0097,0.3000,5.0000,0.0000,0.0000
0.005,32.1914,0.1700,0.0114,0.3250,5.0000,0.0000,0.0000
0.005,32.1931,0.1700,0.0131,0.3500,5.0000,0.0000,0.0000
0.005,32.1950,0.1700,0.0150,0.3750,5.0000,0.0000,0.0000
0.005,32.1970,0.1700,0.0170,0.4000,5.0000,0.0000,0.0000
0.005,32.1991,0.1700,0.0191,0.4250,5.0000,0.0000,0.0000
0.005,32.2014,0.1700,0.0214,0.4500,5.0000,0.0000,0.0000
0.005,32.2037,0.1700,0.0238,0.4750,5.0000,0.0000,0.0000
0.005,32.2062,0.1700,0.0263,0.5000,5.0000,0.0000,0.0000
0.005,32.2089,0.1700,0.0289,0.5250,5.0000,0.0000,0.0000
0.005,32.2116,0.1700,0.0316,0.5500,5.0000,0.0000,0.0000
0.005,32.2145,0.1700,0.0345,0.5750,5.0000,0.0000,0.0000
0.005,32.2175,0.1700,0.0375,0.6000,5.0000,0.0000,0.0000
0.005,32.2206,0.1700,0.0406,0.6250,5.0000,0.0000,0.0000
0.005,32.2239,0.1700,0.0439,0.6500,5.0000,0.0000,0.0001
0.005,32.2272,0.1700,0.0473,0.6750,5.0000,0.0000,0.0001
0.005,32.2307,0.1700,0.0508,0.7000,5.0000,0.0000,0.0001
0.005,32.2344,0.1700,0.0544,0.7250,5.0000,0.0000,0.0001
0.005,32.2381,0.1700,0.0581,0.7500,5.0000,0.0000,0.0001
0.005,32.2420,0.1700,0.0620,0.7750,5.0000,0.0000,0.0001
0.005,32.2460,0.1700,0.0660,0.8000,5.0000,0.0000,0.0001
0.005,32.2501,0.1700,0.0701,0.8250,5.0000,0.0000,0.0001
0.005,32.2544,0.1700,0.0744,0.8500,5.0000,0.0000,0.0002
0.005,32.2587,0.1700,0.0788,0.8750,5.0000,0.0000,0.0002
0.005,32.2632,0.1700,0.0833,0.9000,5.0000,0.0000,0.0002
0.005,32.2679,0.1700,0.0879,0.9250,5.0000,0.0000,0.0002
0.005,32.2726,0.1700,0.0926,0.9500,5.0000,0.0000,0.0002
0.005,32.2775,0.1700,0.0975,0.9750,5.0000,0.0000,0.0003
0.005,32.2825,0.1700,0.1025,1.0000,5.0000,0.0000,0.0003
0.005,32.2876,0.1700,0.1076,1.0250,5.0000,0.0000,0.0003
0.005,32.2929,0.1700,0.1129,1.0500,5.0000,0.0000,0.0004
