dt,x,y,position,velocity,acceleration,jerk,heading
0.005,32.1801,1.3700,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,32.1804,1.3700,0.0004,0.0500,4.9998,-0.0365,0.0000
0.005,32.1807,1.3700,0.0007,0.0750,4.9996,-0.0502,0.0000
0.005,32.1812,1.3700,0.0012,0.1000,4.9992,-0.0821,0.0000
0.005,32.1819,1.3700,0.0019,0.1250,4.9986,-0.1093,0.0000
0.005,32.1826,1.3700,0.0026,0.1500,4.9979,-0.1365,0.0000
0.005,32.1835,1.3700,0.0035,0.1750,4.9971,-0.1635,0.0000
0.005,32.1845,1.3700,0.0045,0.1999,4.9962,-0.1903,0.0000
0.005,32.1856,1.3700,0.0056,0.2249,4.9951,-0.2170,0.0000
0.005,32.1869,1.3700,0.0069,0.2499,4.9939,-0.2435,0.0000
0.005,32.1882,1.3700,0.0082,0.2748,4.9925,-0.2698,0.0000
0.005,32.1897,1.3700,0.0097,0.2998,4.9910,-0.2958,0.0000
0.005,32.1914,1.3700,0.0114,0.3248,4.9894,-0.3216,0.0000
0.005,32.1931,1.3700,0.0131,0.3497,4.9877,-0.3470,0.0000
0.005,32.1950,1.3700,0.0150,0.3746,4.9858,-0.3721,0.0000
0.005,32.1970,1.3700,0.0170,0.3995,4.9838,-0.3969,0.0000
0.005,32.1991,1.3700,0.0191,0.4244,4.9817,-0.4213,0.0000
0.005,32.2014,1.3700,0.0214,0.4493,4.9795,-0.4454,0.0000
0.005,32.2037,1.3700,0.0237,0.4742,4.9772,-0.4690,0.0000
0.005,32.2062,1.3700,0.0262,0.4991,4.9747,-0.4921,0.0000
0.005,32.2088,1.3700,0.0288,0.5240,4.9721,-0.5148,0.0000
0.005,32.2116,1.3700,0.0316,0.5488,4.9694,-0.5370,0.0000
0.005,32.2145,1.3700,0.0345,0.5736,4.9666,-0.5587,0.0000
0.005,32.2174,1.3700,0.0374,0.5985,4.9637,-0.5799,0.0000
0.005,32.2206,1.3700,0.0406,0.6233,4.9607,-0.6005,0.0000
0.005,32.2238,1.3700,0.0438,0.6481,4.9576,-0.6205,0.0001
0.005,32.2272,1.3700,0.0472,0.6728,4.9544,-0.6400,0.0001
0.005,32.2307,1.3700,0.0507,0.6976,4.9511,-0.6588,0.0001
0.005,32.2343,1.3700,0.0543,0.7223,4.9478,-0.6770,0.0001
0.005,32.2380,1.3700,0.0580,0.7470,4.9443,-0.6945,0.0001
0.005,32.2419,1.3700,0.0619,0.7717,4.9407,-0.7113,0.0001
0.005,32.2458,1.3700,0.0658,0.7964,4.9371,-0.7275,0.0001
0.005,32.2500,1.3700,0.0700,0.8211,4.9334,-0.7429,0.0001
0.005,32.2542,1.3700,0.0742,0.8457,4.9296,-0.7576,0.0002
0.005,32.2585,1.3700,0.0785,0.8704,4.9257,-0.7715,0.0002
0.005,32.2630,1.3700,0.0830,0.8950,4.9218,-0.7846,0.0002
0.005,32.2676,1.3700,0.0876,0.9196,4.9178,-0.7969,0.0002
0.005,32.2723,1.3700,0.0923,0.9441,4.9138,-0.8084,0.0002
0.005,32.2772,1.3700,0.0972,0.9687,4.9097,-0.8191,0.0003
0.005,32.2821,1.3700,0.1021,0.9932,4.9055,-0.8289,0.0003
0.005,32.2872,1.3700,0.1072,1.0177,4.9014,-0.8379,0.0003
0.005,32.2924,1.3700,0.1124,1.0422,4.8971,-0.8459,0.0004
0.005,32.2978,1.3700,0.1178,1.0667,4.8929,-0.8531,0.0004
0.005,32.3032,1.3700,0.1232,1.0911,4.8886,-0.8593,0.0004
0.005,32.3088,1.3700,0.1288,1.1155,4.8842,-0.8646,0.0005
0.005,32.3145,1.3700,0.1345,1.1399,4.8799,-0.8690,0.0005
0.005,32.3203,1.3700,0.1403,1.1643,4.8755,-0.8724,0.0006
0.005,32.3263,1.3700,0.1463,1.1887,4.8712,-0.8748,0.0006
0.005,32.3323,1.3700,0.1523,1.2130,4.8668,-0.8762,0.0007
0.005,32.3385,1.3700,0.1585,1.2373,4.8624,-0.8766,0.0007
0.005,32.3448,1.3700,0.1648,1.2616,4.8580,-0.8760,0.0008
0.005,32.3513,1.3700,0.1713,1.2859,4.8536,-0.8744,0.0008
0.005,32.3578,1.3701,0.1778,1.3101,4.8493,-0.8717,0.0009
0.005,32.3645,1.3701,0.1845,1.3343,4.8449,-0.8680,0.0010
0.005,32.3713,1.3701,0.1913,1.3586,4.8406,-0.8632,0.0010
0.005,32.3782,1.3701,0.1982,1.3827,4.8363,-0.8574,0.0011
0.005,32.3852,1.3701,0.2052,1.4069,4.8321,-0.8504,0.0012
0.005,32.3924,1.3701,0.2124,1.4310,4.8279,-0.8424,0.0013
0.005,32.3996,1.3701,0.2196,1.4552,4.8237,-0.8333,0.0013
0.005,32.4070,1.3701,0.2270,1.4793,4.8196,-0.8231,0.0014
0.005,32.4146,1.3701,0.2346,1.5033,4.8155,-0.8117,0.0015
0.005,32.4222,1.3701,0.2422,1.5274,4.8115,-0.7993,0.0016
0.005,32.4300,1.3701,0.2500,1.5514,4.8076,-0.7857,0.0017
0.005,32.4378,1.3702,0.2578,1.5754,4.8038,-0.7710,0.0018
0.005,32.4458,1.3702,0.2658,1.5994,4.8000,-0.7551,0.0019
0.005,32.4539,1.3702,0.2739,1.6234,4.7963,-0.7382,0.0020
0.005,32.4622,1.3702,0.2822,1.6474,4.7927,-0.7200,0.0021
0.005,32.4705,1.3702,0.2905,1.6713,4.7892,-0.7008,0.0023
0.005,32.4790,1.3702,0.2990,1.6953,4.7858,-0.6804,0.0024
0.005,32.4876,1.3703,0.3076,1.7192,4.7825,-0.6588,0.0025
0.005,32.4963,1.3703,0.3163,1.7431,4.7793,-0.6362,0.0026
0.005,32.5052,1.3703,0.3252,1.7670,4.7763,-0.6123,0.0028
0.005,32.5141,1.3703,0.3341,1.7908,4.7733,-0.5873,0.0029
0.005,32.5232,1.3704,0.3432,1.8147,4.7705,-0.5612,0.0031
0.005,32.5324,1.3704,0.3524,1.8385,4.7678,-0.5340,0.0032
0.005,32.5417,1.3704,0.3617,1.8623,4.7653,-0.5056,0.0034
0.005,32.5511,1.3705,0.3711,1.8862,4.7629,-0.4761,0.0035
0.005,32.5607,1.3705,0.3807,1.9100,4.7607,-0.4454,0.0037
0.005,32.5703,1.3705,0.3903,1.9337,4.7586,-0.4137,0.0039
0.005,32.5801,1.3706,0.4001,1.9575,4.7567,-0.3808,0.0041
0.005,32.5900,1.3706,0.4100,1.9813,4.7550,-0.3468,0.0042
0.005,32.6001,1.3707,0.4201,2.0051,4.7534,-0.3118,0.0044
0.005,32.6102,1.3707,0.4302,2.0288,4.7521,-0.2756,0.0046
0.005,32.6205,1.3707,0.4405,2.0526,4.7509,-0.2384,0.0048
0.005,32.6309,1.3708,0.4509,2.0763,4.7499,-0.2001,0.0050
0.005,32.6414,1.3709,0.4614,2.1001,4.7491,-0.1607,0.0052
0.005,32.6520,1.3709,0.4720,2.1238,4.7485,-0.1203,0.0054
0.005,32.6627,1.3710,0.4827,2.1476,4.7481,-0.0789,0.0057
0.005,32.6736,1.3710,0.4936,2.1713,4.7479,-0.0365,0.0059
0.005,32.6845,1.3711,0.5045,2.1950,4.7479,0.0069,0.0061
0.005,32.6956,1.3712,0.5156,2.2188,4.7482,0.0513,0.0063
0.005,32.7068,1.3712,0.5268,2.2425,4.7487,0.0967,0.0066
0.005,32.7182,1.3713,0.5382,2.2663,4.7494,0.1430,0.0068
0.005,32.7296,1.3714,0.5496,2.2900,4.7503,0.1902,0.0071
0.005,32.7412,1.3715,0.5612,2.3138,4.7515,0.2383,0.0073
0.005,32.7529,1.3716,0.5729,2.3376,4.7530,0.2873,0.0076
0.005,32.7647,1.3717,0.5847,2.3613,4.7546,0.3372,0.0079
0.005,32.7766,1.3718,0.5966,2.3851,4.7566,0.3879,0.0081
0.005,32.7887,1.3719,0.6087,2.4089,4.7588,0.4394,0.0084
0.005,32.8008,1.3720,0.6208,2.4327,4.7612,0.4917,0.0087
0.005,32.8131,1.3721,0.6331,2.4565,4.7640,0.5448,0.0090
0.005,32.8255,1.3722,0.6455,2.4804,4.7670,0.5985,0.0093
0.005,32.8380,1.3723,0.6580,2.5042,4.7702,0.6530,0.0096
0.005,32.8507,1.3724,0.6707,2.5281,4.7738,0.7082,0.0099
0.005,32.8634,1.3725,0.6834,2.5520,4.7776,0.7639,0.0102
0.005,32.8763,1.3727,0.6963,2.5759,4.7817,0.8203,0.0105
0.005,32.8893,1.3728,0.7093,2.5998,4.7861,0.8773,0.0108
0.005,32.9024,1.3730,0.7224,2.6238,4.7907,0.9348,0.0111
0.005,32.9157,1.3731,0.7357,2.6477,4.7957,0.9928,0.0114
0.005,32.9290,1.3733,0.7490,2.6717,4.8010,1.0512,0.0117
0.005,32.9425,1.3734,0.7625,2.6958,4.8065,1.1101,0.0121
0.005,32.9561,1.3736,0.7761,2.7198,4.8124,1.1694,0.0124
0.005,32.9698,1.3738,0.7898,2.7439,4.8185,1.2290,0.0127
0.005,32.9836,1.3739,0.8037,2.7681,4.8249,1.2889,0.0131
0.005,32.9976,1.3741,0.8176,2.7922,4.8317,1.3491,0.0134
0.005,33.0117,1.3743,0.8317,2.8164,4.8387,1.4095,0.0138
0.005,33.0259,1.3745,0.8459,2.8406,4.8461,1.4701,0.0141
0.005,33.0402,1.3747,0.8602,2.8649,4.8537,1.5307,0.0145
0.005,33.0547,1.3749,0.8747,2.8892,4.8617,1.5915,0.0148
0.005,33.0692,1.3752,0.8893,2.9136,4.8700,1.6523,0.0152
0.005,33.0839,1.3754,0.9039,2.9380,4.8785,1.7130,0.0156
0.005,33.0987,1.3756,0.9188,2.9624,4.8874,1.7737,0.0159
0.005,33.1137,1.3759,0.9337,2.9869,4.8966,1.8343,0.0163
0.005,33.1287,1.3761,0.9487,3.0114,4.9060,1.8946,0.0167
0.005,33.1439,1.3764,0.9639,3.0360,4.9158,1.9547,0.0170
0.005,33.1592,1.3766,0.9792,3.0606,4.9259,2.0146,0.0174
0.005,33.1746,1.3769,0.9947,3.0853,4.9363,2.0740,0.0178
0.005,33.1902,1.3772,1.0102,3.1100,4.9469,2.1331,0.0182
0.005,33.2058,1.3775,1.0259,3.1348,4.9579,2.1916,0.0185
0.005,33.2216,1.3778,1.0417,3.1597,4.9691,2.2496,0.0189
0.005,33.2375,1.3781,1.0576,3.1846,4.9807,2.3071,0.0193
0.005,33.2536,1.3784,1.0736,3.2095,4.9925,2.3638,0.0197
0.005,33.2698,1.3787,1.0898,3.2346,5.0046,2.4198,0.0200
0.005,33.2861,1.3790,1.1061,3.2596,5.0170,2.4750,0.0204
0.005,33.3025,1.3794,1.1225,3.2848,5.0296,2.5293,0.0208
0.005,33.3190,1.3797,1.1391,3.3100,5.0425,2.5827,0.0212
0.005,33.3357,1.3801,1.1558,3.3353,5.0557,2.6351,0.0215
0.005,33.3525,1.3804,1.1726,3.3606,5.0691,2.6864,0.0219
0.005,33.3694,1.3808,1.1895,3.3860,5.0828,2.7365,0.0223
0.005,33.3865,1.3812,1.2066,3.4115,5.0967,2.7854,0.0227
0.005,33.4037,1.3816,1.2237,3.4371,5.1109,2.8329,0.0230
0.005,33.4210,1.3820,1.2411,3.4627,5.1253,2.8791,0.0234
0.005,33.4384,1.3824,1.2585,3.4884,5.1399,2.9238,0.0238
0.005,33.4560,1.3828,1.2761,3.5142,5.1547,2.9669,0.0241
0.005,33.4737,1.3832,1.2938,3.5400,5.1698,3.0084,0.0245
0.005,33.4915,1.3837,1.3116,3.5660,5.1850,3.0482,0.0248
0.005,33.5094,1.3841,1.3296,3.5920,5.2005,3.0861,0.0252
0.005,33.5275,1.3846,1.3477,3.6180,5.2161,3.1222,0.0255
0.005,33.5457,1.3851,1.3659,3.6442,5.2319,3.1563,0.0258
