dt,x,y,position,velocity,acceleration,jerk,heading
0.005,32.1801,-1.0300,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,32.1804,-1.0300,0.0004,0.0500,5.0002,0.0365,0.0000
0.005,32.1808,-1.0300,0.0008,0.0750,5.0004,0.0502,0.0000
0.005,32.1813,-1.0300,0.0013,0.1000,5.0008,0.0821,0.0000
0.005,32.1819,-1.0300,0.0019,0.1250,5.0014,0.1093,0.0000
0.005,32.1826,-1.0300,0.0026,0.1500,5.0021,0.1365,0.0000
0.005,32.1835,-1.0300,0.0035,0.1750,5.0029,0.1635,0.0000
0.005,32.1845,-1.0300,0.0045,0.2001,5.0038,0.1903,0.0000
0.005,32.1856,-1.0300,0.0056,0.2251,5.0049,0.2170,0.0000
0.005,32.1869,-1.0300,0.0069,0.2501,5.0061,0.2435,0.0000
0.005,32.1883,-1.0300,0.0083,0.2752,5.0075,0.2698,0.0000
0.005,32.1898,-1.0300,0.0098,0.3002,5.0090,0.2958,0.0000
0.005,32.1914,-1.0300,0.0114,0.3252,5.0106,0.3216,0.0000
0.005,32.1931,-1.0300,0.0131,0.3503,5.0123,0.3470,0.0000
0.005,32.1950,-1.0300,0.0150,0.3754,5.0142,0.3721,0.0000
0.005,32.1970,-1.0300,0.0170,0.4005,5.0162,0.3969,0.0000
0.005,32.1991,-1.0300,0.0191,0.4256,5.0183,0.4213,0.0000
0.005,32.2014,-1.0300,0.0214,0.4507,5.0205,0.4454,0.0000
0.005,32.2038,-1.0300,0.0238,0.4758,5.0228,0.4690,0.0000
0.005,32.2063,-1.0300,0.0263,0.5009,5.0253,0.4921,0.0000
0.005,32.2089,-1.0300,0.0289,0.5260,5.0279,0.5148,0.0000
0.005,32.2117,-1.0300,0.0317,0.5512,5.0306,0.5370,0.0000
0.005,32.2145,-1.0300,0.0345,0.5764,5.0334,0.5587,0.0000
0.005,32.2176,-1.0300,0.0376,0.6015,5.0363,0.5799,0.0000
0.005,32.2207,-1.0300,0.0407,0.6267,5.0393,0.6005,0.0000
0.005,32.2239,-1.0300,0.0439,0.6519,5.0424,0.6205,0.0001
0.005,32.2273,-1.0300,0.0473,0.6772,5.0456,0.6400,0.0001
0.005,32.2308,-1.0300,0.0508,0.7024,5.0489,0.6588,0.0001
0.005,32.2345,-1.0300,0.0545,0.7277,5.0522,0.6770,0.0001
0.005,32.2382,-1.0300,0.0582,0.7530,5.0557,0.6945,0.0001
0.005,32.2421,-1.0300,0.0621,0.7783,5.0593,0.7113,0.0001
0.005,32.2462,-1.0300,0.0662,0.8036,5.0629,0.7275,0.0001
0.005,32.2503,-1.0300,0.0703,0.8289,5.0666,0.7429,0.0001
0.005,32.2546,-1.0300,0.0746,0.8543,5.0704,0.7576,0.0002
0.005,32.2590,-1.0300,0.0790,0.8796,5.0743,0.7715,0.0002
0.005,32.2635,-1.0300,0.0835,0.9050,5.0782,0.7846,0.0002
0.005,32.2681,-1.0300,0.0881,0.9304,5.0822,0.7969,0.0002
0.005,32.2729,-1.0300,0.0929,0.9559,5.0862,0.8084,0.0002
0.005,32.2778,-1.0300,0.0978,0.9813,5.0903,0.8191,0.0003
