dt,x,y,position,velocity,acceleration,jerk,heading
0.02,32.2020,0.8400,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,32.2060,0.8400,0.0060,0.2000,5.0000,0.0000,0.0000
0.02,32.2120,0.8400,0.0120,0.3000,5.0000,0.0000,0.0000
0.02,32.2200,0.8400,0.0200,0.4000,5.0000,0.0000,0.0000
0.02,32.2300,0.8400,0.0300,0.5000,5.0000,0.0000,0.0000
0.02,32.2420,0.8400,0.0420,0.6000,5.0000,0.0000,0.0000
0.02,32.2560,0.8400,0.0560,0.7000,5.0000,0.0000,0.0000
0.02,32.2720,0.8400,0.0720,0.8000,5.0000,0.0000,0.0000
0.02,32.2900,0.8400,0.0900,0.9000,5.0000,0.0000,0.0000
0.02,32.3100,0.8400,0.1100,1.0000,5.0000,0.0000,0.0000
0.02,32.3320,0.8400,0.1320,1.1000,5.0000,0.0000,0.0000
0.02,32.3560,0.8400,0.1560,1.2000,5.0000,0.0000,0.0000
0.02,32.3820,0.8400,0.1820,1.3000,5.0000,0.0000,0.0000
0.02,32.4100,0.8400,0.2100,1.4000,5.0000,0.0000,0.0000
0.02,32.4400,0.8400,0.2400,1.5000,5.0000,0.0000,0.0000
0.02,32.4720,0.8400,0.2720,1.6000,5.0000,0.0000,0.0000
0.02,32.5060,0.8400,0.3060,1.7000,5.0000,0.0000,0.0000
0.02,32.5420,0.8400,0.3420,1.8000,5.0000,0.0000,0.0000
0.02,32.5800,0.8400,0.3800,1.9000,5.0000,0.0000,0.0000
0.02,32.6200,0.8400,0.4200,2.0000,5.0000,0.0000,0.0000
0.02,32.6620,0.8400,0.4620,2.1000,5.0000,0.0000,0.0000
0.02,32.7060,0.8400,0.5060,2.2000,5.0000,0.0000,0.0000
0.02,32.7520,0.8400,0.5520,2.3000,5.0000,0.0000,0.0000
0.02,32.8000,0.8400,0.6000,2.4000,5.0000,0.0000,0.0000
0.02,32.8500,0.8400,0.6500,2.5000,5.0000,0.0000,0.0000
0.02,32.9020,0.8400,0.7020,2.6000,5.0000,0.0000,0.0000
0.02,32.9560,0.8400,0.7560,2.7000,5.0000,0.0000,0.0000
0.02,33.0120,0.8400,0.8120,2.8000,5.0000,0.0000,0.0000
0.02,33.0700,0.8400,0.8700,2.9000,5.0000,0.0000,0.0000
0.02,33.1300,0.8400,0.9300,3.0000,5.0000,0.0000,0.0000
0.02,33.1920,0.8400,0.9920,3.1000,5.0000,0.0000,0.0000
0.02,33.2560,0.8400,1.0560,3.2000,5.0000,0.0000,0.0000
0.02,33.3220,0.8400,1.1220,3.3000,5.0000,0.0000,0.0000
0.02,33.3900,0.8400,1.1900,3.4000,5.0000,0.0000,0.0000
0.02,33.4600,0.8400,1.2600,3.5000,5.0000,0.0000,0.0000
0.02,33.5320,0.8400,1.3320,3.6000,5.0000,0.0000,0.0000
0.02,33.6060,0.8400,1.4060,3.7000,5.0000,0.0000,0.0000
0.02,33.6820,0.8400,1.4820,3.8000,5.0000,0.0000,0.0000
0.02,33.7600,0.8400,1.5600,3.9000,5.0000,0.0000,0.0000
0.02,33.8360,0.8400,1.6360,3.8000,-5.0000,-500.0000,0.0000
0.02,33.9100,0.8400,1.7100,3.7000,-5.0000,0.0000,0.0000
