dt,x,y,position,velocity,acceleration,jerk,heading
0.005,21.7101,11.1299,0.0001,0.0250,5.0000,0.0000,-1.0783
0.005,21.7102,11.1297,0.0004,0.0500,5.0000,0.0000,-1.0783
0.005,21.7104,11.1293,0.0008,0.0750,5.0000,0.0000,-1.0783
0.005,21.7106,11.1289,0.0013,0.1000,5.0000,0.0000,-1.0783
0.005,21.7109,11.1283,0.0019,0.1250,5.0000,0.0000,-1.0783
0.005,21.7112,11.1277,0.0026,0.1500,5.0000,0.0000,-1.0783
0.005,21.7117,11.1269,0.0035,0.1750,5.0000,0.0000,-1.0783
0.005,21.7121,11.1260,0.0045,0.2000,5.0000,0.0000,-1.0783
0.005,21.7127,11.1250,0.0056,0.2250,5.0000,0.0000,-1.0783
0.005,21.7133,11.1239,0.0069,0.2500,5.0000,0.0000,-1.0783
0.005,21.7139,11.1227,0.0082,0.2750,5.0000,0.0000,-1.0783
0.005,21.7146,11.1214,0.0097,0.3000,5.0000,0.0000,-1.0783
0.005,21.7154,11.1200,0.0114,0.3250,5.0000,0.0000,-1.0783
0.005,21.7162,11.1184,0.0131,0.3500,5.0000,0.0000,-1.0783
0.005,21.7171,11.1168,0.0150,0.3750,5.0000,0.0000,-1.0783
0.005,21.7180,11.1150,0.0170,0.4000,5.0000,0.0000,-1.0783
0.005,21.7190,11.1131,0.0191,0.4250,5.0000,0.0000,-1.0783
0.005,21.7201,11.1112,0.0214,0.4500,5.0000,0.0000,-1.0783
0.005,21.7212,11.1091,0.0238,0.4750,5.0000,0.0000,-1.0783
0.005,21.7224,11.1069,0.0263,0.5000,5.0000,0.0000,-1.0783
0.005,21.7237,11.1046,0.0289,0.5250,5.0000,0.0000,-1.0783
0.005,21.7250,11.1021,0.0316,0.5500,5.0000,0.0000,-1.0783
0.005,21.7263,11.0996,0.0345,0.5750,5.0000,0.0000,-1.0783
0.005,21.7277,11.0970,0.0375,0.6000,5.0000,0.0000,-1.0783
0.005,21.7292,11.0942,0.0406,0.6250,5.0000,0.0000,-1.0783
0.005,21.7307,11.0913,0.0439,0.6500,5.0000,0.0000,-1.0783
0.005,21.7323,11.0884,0.0473,0.6750,5.0000,0.0000,-1.0783
0.005,21.7340,11.0853,0.0508,0.7000,5.0000,0.0000,-1.0783
0.005,21.7357,11.0821,0.0544,0.7250,5.0000,0.0000,-1.0784
0.005,21.7375,11.0788,0.0581,0.7500,5.0000,0.0000,-1.0784
0.005,21.7393,11.0754,0.0620,0.7750,5.0000,0.0000,-1.0784
0.005,21.7412,11.0718,0.0660,0.8000,5.0000,0.0000,-1.0784
0.005,21.7432,11.0682,0.0701,0.8250,5.0000,0.0000,-1.0784
0.005,21.7452,11.0645,0.0744,0.8500,5.0000,0.0000,-1.0784
