dt,x,y,position,velocity,acceleration,jerk,heading
0.005,22.7675,11.6973,0.0001,0.0250,5.0000,0.0000,-1.0783
0.005,22.7676,11.6971,0.0004,0.0500,5.0001,0.0183,-1.0783
0.005,22.7677,11.6967,0.0008,0.0750,5.0002,0.0251,-1.0783
0.005,22.7680,11.6963,0.0013,0.1000,5.0004,0.0411,-1.0783
0.005,22.7683,11.6957,0.0019,0.1250,5.0007,0.0547,-1.0783
0.005,22.7686,11.6951,0.0026,0.1500,5.0010,0.0683,-1.0783
0.005,22.7690,11.6943,0.0035,0.1750,5.0014,0.0819,-1.0783
0.005,22.7695,11.6934,0.0045,0.2000,5.0019,0.0954,-1.0783
0.005,22.7701,11.6924,0.0056,0.2250,5.0025,0.1088,-1.0783
0.005,22.7706,11.6913,0.0069,0.2501,5.0031,0.1222,-1.0783
0.005,22.7713,11.6901,0.0083,0.2751,5.0038,0.1355,-1.0783
0.005,22.7720,11.6888,0.0098,0.3001,5.0045,0.1486,-1.0783
0.005,22.7728,11.6874,0.0114,0.3251,5.0053,0.1617,-1.0783
0.005,22.7736,11.6858,0.0131,0.3502,5.0062,0.1747,-1.0783
0.005,22.7745,11.6842,0.0150,0.3752,5.0071,0.1875,-1.0783
0.005,22.7754,11.6824,0.0170,0.4002,5.0081,0.2002,-1.0783
0.005,22.7764,11.6805,0.0191,0.4253,5.0092,0.2128,-1.0783
0.005,22.7775,11.6785,0.0214,0.4503,5.0103,0.2252,-1.0783
0.005,22.7786,11.6764,0.0238,0.4754,5.0115,0.2374,-1.0783
0.005,22.7798,11.6742,0.0263,0.5005,5.0127,0.2495,-1.0783
0.005,22.7811,11.6719,0.0289,0.5255,5.0141,0.2614,-1.0783
0.005,22.7824,11.6695,0.0316,0.5506,5.0154,0.2731,-1.0783
0.005,22.7837,11.6670,0.0345,0.5757,5.0168,0.2847,-1.0783
0.005,22.7851,11.6643,0.0375,0.6008,5.0183,0.2960,-1.0783
0.005,22.7866,11.6616,0.0407,0.6259,5.0199,0.3071,-1.0783
0.005,22.7882,11.6587,0.0439,0.6510,5.0214,0.3180,-1.0783
0.005,22.7898,11.6557,0.0473,0.6761,5.0231,0.3286,-1.0783
0.005,22.7914,11.6526,0.0508,0.7012,5.0248,0.3390,-1.0783
0.005,22.7931,11.6494,0.0544,0.7264,5.0265,0.3492,-1.0784
0.005,22.7949,11.6461,0.0582,0.7515,5.0283,0.3591,-1.0784
0.005,22.7967,11.6427,0.0621,0.7766,5.0302,0.3687,-1.0784
0.005,22.7986,11.6392,0.0661,0.8018,5.0321,0.3781,-1.0784
0.005,22.8006,11.6355,0.0702,0.8270,5.0340,0.3872,-1.0784
0.005,22.8026,11.6318,0.0745,0.8522,5.0360,0.3960,-1.0784
0.005,22.8047,11.6279,0.0789,0.8773,5.0380,0.4045,-1.0784
0.005,22.8068,11.6239,0.0834,0.9025,5.0401,0.4127,-1.0784
0.005,22.8090,11.6198,0.0880,0.9278,5.0422,0.4205,-1.0784
0.005,22.8113,11.6156,0.0928,0.9530,5.0443,0.4281,-1.0784
0.005,22.8136,11.6113,0.0977,0.9782,5.0465,0.4353,-1.0785
0.005,22.8159,11.6069,0.1027,1.0035,5.0487,0.4422,-1.0785
0.005,22.8184,11.6024,0.1078,1.0287,5.0509,0.4488,-1.0785
0.005,22.8209,11.5977,0.1131,1.0540,5.0532,0.4550,-1.0785
0.005,22.8234,11.5930,0.1185,1.0793,5.0555,0.4609,-1.0785
0.005,22.8260,11.5881,0.1240,1.1045,5.0578,0.4664,-1.0785
