dt,x,y,position,velocity,acceleration,jerk,heading
0.005,20.6527,10.5625,0.0001,0.0250,5.0000,0.0000,-1.0783
0.005,20.6528,10.5623,0.0004,0.0500,4.9999,-0.0183,-1.0783
0.005,20.6530,10.5620,0.0007,0.0750,4.9998,-0.0251,-1.0783
0.005,20.6532,10.5615,0.0012,0.1000,4.9996,-0.0411,-1.0783
0.005,20.6535,10.5610,0.0019,0.1250,4.9993,-0.0547,-1.0783
0.005,20.6538,10.5603,0.0026,0.1500,4.9990,-0.0683,-1.0783
0.005,20.6543,10.5595,0.0035,0.1750,4.9986,-0.0819,-1.0783
0.005,20.6547,10.5587,0.0045,0.2000,4.9981,-0.0954,-1.0783
0.005,20.6553,10.5577,0.0056,0.2250,4.9975,-0.1088,-1.0783
0.005,20.6559,10.5566,0.0069,0.2499,4.9969,-0.1222,-1.0783
0.005,20.6565,10.5554,0.0082,0.2749,4.9962,-0.1355,-1.0783
0.005,20.6572,10.5540,0.0097,0.2999,4.9955,-0.1486,-1.0783
0.005,20.6580,10.5526,0.0114,0.3249,4.9947,-0.1617,-1.0783
0.005,20.6588,10.5511,0.0131,0.3498,4.9938,-0.1747,-1.0783
0.005,20.6597,10.5494,0.0150,0.3748,4.9929,-0.1875,-1.0783
0.005,20.6606,10.5476,0.0170,0.3998,4.9919,-0.2002,-1.0783
0.005,20.6616,10.5458,0.0191,0.4247,4.9908,-0.2128,-1.0783
0.005,20.6627,10.5438,0.0214,0.4497,4.9897,-0.2252,-1.0783
0.005,20.6638,10.5417,0.0237,0.4746,4.9885,-0.2374,-1.0783
0.005,20.6650,10.5395,0.0262,0.4995,4.9873,-0.2495,-1.0783
0.005,20.6663,10.5372,0.0289,0.5245,4.9859,-0.2614,-1.0783
0.005,20.6676,10.5348,0.0316,0.5494,4.9846,-0.2731,-1.0783
0.005,20.6689,10.5322,0.0345,0.5743,4.9832,-0.2847,-1.0783
0.005,20.6703,10.5296,0.0375,0.5992,4.9817,-0.2960,-1.0783
0.005,20.6718,10.5268,0.0406,0.6241,4.9801,-0.3071,-1.0783
0.005,20.6733,10.5240,0.0438,0.6490,4.9786,-0.3180,-1.0783
0.005,20.6749,10.5210,0.0472,0.6739,4.9769,-0.3286,-1.0783
0.005,20.6766,10.5179,0.0507,0.6988,4.9752,-0.3390,-1.0783
0.005,20.6783,10.5148,0.0543,0.7236,4.9735,-0.3492,-1.0784
0.005,20.6801,10.5115,0.0581,0.7485,4.9717,-0.3591,-1.0784
0.005,20.6819,10.5080,0.0619,0.7734,4.9698,-0.3687,-1.0784
0.005,20.6838,10.5045,0.0659,0.7982,4.9679,-0.3781,-1.0784
0.005,20.6857,10.5009,0.0700,0.8230,4.9660,-0.3872,-1.0784
0.005,20.6877,10.4972,0.0743,0.8478,4.9640,-0.3960,-1.0784
0.005,20.6898,10.4933,0.0786,0.8727,4.9620,-0.4045,-1.0784
0.005,20.6919,10.4894,0.0831,0.8975,4.9599,-0.4127,-1.0784
0.005,20.6941,10.4853,0.0877,0.9222,4.9578,-0.4205,-1.0784
0.005,20.6963,10.4811,0.0925,0.9470,4.9557,-0.4281,-1.0784
0.005,20.6986,10.4769,0.0973,0.9718,4.9535,-0.4353,-1.0785
0.005,20.7010,10.4725,0.1023,0.9965,4.9513,-0.4422,-1.0785
0.005,20.7034,10.4680,0.1074,1.0213,4.9491,-0.4488,-1.0785
0.005,20.7059,10.4634,0.1127,1.0460,4.9468,-0.4550,-1.0785
0.005,20.7084,10.4586,0.1180,1.0707,4.9445,-0.4609,-1.0785
0.005,20.7110,10.4538,0.1235,1.0955,4.9422,-0.4664,-1.0785
0.005,20.7136,10.4489,0.1291,1.1202,4.9398,-0.4715,-1.0786
0.005,20.7163,10.4438,0.1348,1.1448,4.9374,-0.4762,-1.0786
0.005,20.7191,10.4387,0.1407,1.1695,4.9350,-0.4806,-1.0786
0.005,20.7219,10.4334,0.1466,1.1942,4.9326,-0.4846,-1.0786
0.005,20.7248,10.4280,0.1527,1.2188,4.9301,-0.4881,-1.0786
0.005,20.7277,10.4226,0.1589,1.2435,4.9277,-0.4913,-1.0787
0.005,20.7307,10.4170,0.1653,1.2681,4.9252,-0.4941,-1.0787
0.005,20.7338,10.4113,0.1717,1.2927,4.9227,-0.4965,-1.0787
0.005,20.7369,10.4055,0.1783,1.3173,4.9202,-0.4984,-1.0788
0.005,20.7401,10.3996,0.1850,1.3419,4.9177,-0.4999,-1.0788
0.005,20.7433,10.3935,0.1919,1.3665,4.9152,-0.5010,-1.0788
0.005,20.7466,10.3874,0.1988,1.3910,4.9127,-0.5017,-1.0789
0.005,20.7499,10.3812,0.2059,1.4156,4.9102,-0.5019,-1.0789
0.005,20.7533,10.3748,0.2131,1.4401,4.9077,-0.5017,-1.0790
0.005,20.7568,10.3684,0.2204,1.4647,4.9052,-0.5010,-1.0790
0.005,20.7603,10.3618,0.2279,1.4892,4.9027,-0.4999,-1.0790
0.005,20.7639,10.3551,0.2354,1.5137,4.9002,-0.4983,-1.0791
0.005,20.7675,10.3483,0.2431,1.5382,4.8977,-0.4963,-1.0791
0.005,20.7712,10.3415,0.2509,1.5626,4.8953,-0.4938,-1.0792
0.005,20.7749,10.3345,0.2589,1.5871,4.8928,-0.4908,-1.0792
0.005,20.7787,10.3274,0.2669,1.6116,4.8904,-0.4873,-1.0793
0.005,20.7826,10.3201,0.2751,1.6360,4.8880,-0.4834,-1.0794
0.005,20.7865,10.3128,0.2834,1.6604,4.8856,-0.4790,-1.0794
0.005,20.7905,10.3054,0.2918,1.6848,4.8832,-0.4742,-1.0795
0.005,20.7945,10.2979,0.3004,1.7092,4.8809,-0.4688,-1.0795
0.005,20.7986,10.2902,0.3091,1.7336,4.8785,-0.4630,-1.0796
0.005,20.8028,10.2825,0.3178,1.7580,4.8763,-0.4567,-1.0797
0.005,20.8070,10.2746,0.3268,1.7824,4.8740,-0.4499,-1.0798
0.005,20.8112,10.2666,0.3358,1.8067,4.8718,-0.4426,-1.0798
0.005,20.8155,10.2586,0.3450,1.8311,4.8696,-0.4348,-1.0799
0.005,20.8199,10.2504,0.3542,1.8554,4.8675,-0.4265,-1.0800
0.005,20.8243,10.2421,0.3636,1.8798,4.8654,-0.4177,-1.0801
0.005,20.8288,10.2337,0.3731,1.9041,4.8634,-0.4085,-1.0802
0.005,20.8334,10.2252,0.3828,1.9284,4.8614,-0.3987,-1.0803
0.005,20.8380,10.2166,0.3926,1.9527,4.8594,-0.3884,-1.0804
0.005,20.8426,10.2079,0.4024,1.9770,4.8575,-0.3777,-1.0804
0.005,20.8473,10.1990,0.4124,2.0012,4.8557,-0.3664,-1.0805
0.005,20.8521,10.1901,0.4226,2.0255,4.8539,-0.3547,-1.0806
0.005,20.8569,10.1811,0.4328,2.0498,4.8522,-0.3424,-1.0808
0.005,20.8618,10.1719,0.4432,2.0740,4.8506,-0.3297,-1.0809
0.005,20.8667,10.1627,0.4537,2.0983,4.8490,-0.3165,-1.0810
0.005,20.8717,10.1533,0.4643,2.1225,4.8475,-0.3028,-1.0811
0.005,20.8768,10.1438,0.4750,2.1467,4.8460,-0.2885,-1.0812
0.005,20.8819,10.1342,0.4859,2.1710,4.8447,-0.2739,-1.0813
0.005,20.8871,10.1245,0.4969,2.1952,4.8434,-0.2587,-1.0814
0.005,20.8923,10.1148,0.5080,2.2194,4.8421,-0.2430,-1.0816
0.005,20.8975,10.1049,0.5192,2.2436,4.8410,-0.2269,-1.0817
0.005,20.9029,10.0948,0.5305,2.2678,4.8400,-0.2103,-1.0818
0.005,20.9082,10.0847,0.5420,2.2920,4.8390,-0.1932,-1.0820
0.005,20.9137,10.0745,0.5536,2.3162,4.8381,-0.1756,-1.0821
0.005,20.9192,10.0642,0.5653,2.3404,4.8373,-0.1576,-1.0823
0.005,20.9247,10.0537,0.5771,2.3646,4.8366,-0.1391,-1.0824
0.005,20.9303,10.0432,0.5890,2.3887,4.8360,-0.1202,-1.0826
0.005,20.9360,10.0325,0.6011,2.4129,4.8355,-0.1008,-1.0827
0.005,20.9417,10.0218,0.6133,2.4371,4.8351,-0.0810,-1.0829
0.005,20.9475,10.0109,0.6256,2.4613,4.8348,-0.0607,-1.0830
0.005,20.9533,9.9999,0.6380,2.4854,4.8346,-0.0400,-1.0832
0.005,20.9592,9.9888,0.6506,2.5096,4.8345,-0.0188,-1.0834
0.005,20.9651,9.9776,0.6632,2.5338,4.8345,0.0027,-1.0835
0.005,20.9711,9.9663,0.6760,2.5579,4.8347,0.0247,-1.0837
0.005,20.9771,9.9549,0.6889,2.5821,4.8349,0.0471,-1.0839
0.005,20.9832,9.9434,0.7020,2.6063,4.8352,0.0699,-1.0841
0.005,20.9894,9.9318,0.7151,2.6305,4.8357,0.0930,-1.0843
0.005,20.9956,9.9200,0.7284,2.6547,4.8363,0.1166,-1.0845
0.005,21.0018,9.9082,0.7418,2.6788,4.8370,0.1406,-1.0846
0.005,21.0082,9.8963,0.7553,2.7030,4.8378,0.1649,-1.0848
0.005,21.0145,9.8842,0.7689,2.7272,4.8388,0.1895,-1.0850
0.005,21.0209,9.8720,0.7827,2.7514,4.8398,0.2145,-1.0852
0.005,21.0274,9.8598,0.7966,2.7756,4.8410,0.2399,-1.0854
0.005,21.0339,9.8474,0.8106,2.7998,4.8424,0.2656,-1.0857
0.005,21.0405,9.8349,0.8247,2.8241,4.8438,0.2916,-1.0859
0.005,21.0472,9.8223,0.8389,2.8483,4.8454,0.3179,-1.0861
0.005,21.0539,9.8096,0.8533,2.8725,4.8471,0.3445,-1.0863
0.005,21.0606,9.7968,0.8678,2.8968,4.8490,0.3714,-1.0865
0.005,21.0674,9.7838,0.8824,2.9210,4.8510,0.3985,-1.0867
0.005,21.0743,9.7708,0.8971,2.9453,4.8531,0.4260,-1.0870
0.005,21.0812,9.7576,0.9119,2.9696,4.8554,0.4536,-1.0872
0.005,21.0881,9.7444,0.9269,2.9939,4.8578,0.4815,-1.0874
0.005,21.0951,9.7310,0.9420,3.0182,4.8603,0.5096,-1.0877
0.005,21.1022,9.7176,0.9572,3.0425,4.8630,0.5380,-1.0879
0.005,21.1093,9.7040,0.9726,3.0668,4.8659,0.5665,-1.0882
0.005,21.1165,9.6903,0.9880,3.0911,4.8688,0.5952,-1.0884
0.005,21.1237,9.6765,1.0036,3.1155,4.8720,0.6240,-1.0887
0.005,21.1310,9.6626,1.0193,3.1399,4.8752,0.6530,-1.0889
0.005,21.1383,9.6486,1.0351,3.1643,4.8786,0.6822,-1.0892
0.005,21.1457,9.6344,1.0511,3.1887,4.8822,0.7114,-1.0894
0.005,21.1531,9.6202,1.0671,3.2131,4.8859,0.7407,-1.0897
0.005,21.1606,9.6058,1.0833,3.2376,4.8898,0.7702,-1.0899
0.005,21.1682,9.5914,1.0996,3.2620,4.8937,0.7996,-1.0902
0.005,21.1758,9.5768,1.1160,3.2865,4.8979,0.8292,-1.0905
0.005,21.1834,9.5621,1.1326,3.3110,4.9022,0.8587,-1.0907
0.005,21.1911,9.5473,1.1493,3.3356,4.9066,0.8882,-1.0910
0.005,21.1989,9.5324,1.1661,3.3601,4.9112,0.9178,-1.0913
0.005,21.2067,9.5174,1.1830,3.3847,4.9160,0.9473,-1.0915
0.005,21.2145,9.5023,1.2001,3.4093,4.9208,0.9767,-1.0918
0.005,21.2224,9.4870,1.2172,3.4339,4.9259,1.0061,-1.0921
0.005,21.2304,9.4717,1.2345,3.4586,4.9310,1.0354,-1.0924
0.005,21.2384,9.4562,1.2519,3.4833,4.9364,1.0645,-1.0926
0.005,21.2465,9.4406,1.2695,3.5080,4.9418,1.0935,-1.0929
0.005,21.2546,9.4250,1.2871,3.5327,4.9474,1.1224,-1.0932
0.005,21.2628,9.4092,1.3049,3.5575,4.9532,1.1511,-1.0935
0.005,21.2710,9.3933,1.3228,3.5823,4.9591,1.1795,-1.0938
0.005,21.2793,9.3772,1.3409,3.6071,4.9651,1.2077,-1.0940
0.005,21.2876,9.3611,1.3590,3.6320,4.9713,1.2357,-1.0943
0.005,21.2960,9.3448,1.3773,3.6569,4.9776,1.2634,-1.0946
0.005,21.3044,9.3285,1.3957,3.6818,4.9841,1.2908,-1.0949
0.005,21.3129,9.3120,1.4143,3.7067,4.9907,1.3178,-1.0952
0.005,21.3215,9.2954,1.4329,3.7317,4.9974,1.3445,-1.0955
0.005,21.3301,9.2787,1.4517,3.7567,5.0043,1.3708,-1.0958
0.005,21.3387,9.2619,1.4706,3.7818,5.0112,1.3967,-1.0960
0.005,21.3474,9.2450,1.4896,3.8069,5.0183,1.4221,-1.0963
0.005,21.3562,9.2279,1.5088,3.8320,5.0256,1.4471,-1.0966
0.005,21.3650,9.2108,1.5281,3.8572,5.0329,1.4716,-1.0969
0.005,21.3738,9.1935,1.5475,3.8824,5.0404,1.4956,-1.0972
0.005,21.3827,9.1761,1.5670,3.9076,5.0480,1.5189,-1.0974
0.005,21.3917,9.1586,1.5867,3.9329,5.0557,1.5418,-1.0977
0.005,21.4007,9.1410,1.6065,3.9582,5.0635,1.5640,-1.0980
0.005,21.4098,9.1232,1.6264,3.9836,5.0715,1.5855,-1.0983
0.005,21.4189,9.1054,1.6465,4.0090,5.0795,1.6064,-1.0986
0.005,21.4281,9.0874,1.6666,4.0344,5.0876,1.6265,-1.0988
0.005,21.4373,9.0693,1.6869,4.0599,5.0959,1.6459,-1.0991
0.005,21.4466,9.0511,1.7074,4.0854,5.1042,1.6646,-1.0994
0.005,21.4559,9.0328,1.7279,4.1110,5.1126,1.6824,-1.0996
0.005,21.4653,9.0144,1.7486,4.1366,5.1211,1.6994,-1.0999
0.005,21.4747,8.9959,1.7694,4.1622,5.1297,1.7155,-1.1002
0.005,21.4842,8.9772,1.7903,4.1879,5.1383,1.7307,-1.1004
0.005,21.4938,8.9584,1.8114,4.2137,5.1471,1.7450,-1.1007
0.005,21.5034,8.9395,1.8326,4.2394,5.1558,1.7582,-1.1009
0.005,21.5130,8.9205,1.8539,4.2653,5.1647,1.7705,-1.1012
0.005,21.5227,8.9014,1.8754,4.2911,5.1736,1.7817,-1.1014
