dt,x,y,position,velocity,acceleration,jerk,heading
0.005,31.9199,-5.5800,0.0001,0.0250,5.0000,0.0000,-2.9640
0.005,31.9196,-5.5801,0.0004,0.0500,5.0000,0.0000,-2.9640
0.005,31.9193,-5.5801,0.0008,0.0750,5.0000,0.0000,-2.9640
0.005,31.9188,-5.5802,0.0013,0.1000,5.0000,0.0000,-2.9640
0.005,31.9182,-5.5803,0.0019,0.1250,5.0000,0.0000,-2.9640
0.005,31.9174,-5.5805,0.0026,0.1500,5.0000,0.0000,-2.9640
0.005,31.9166,-5.5806,0.0035,0.1750,5.0000,0.0000,-2.9640
0.005,31.9156,-5.5808,0.0045,0.2000,5.0000,0.0000,-2.9640
0.005,31.9145,-5.5810,0.0056,0.2250,5.0000,0.0000,-2.9640
0.005,31.9132,-5.5812,0.0069,0.2500,5.0000,0.0000,-2.9640
0.005,31.9119,-5.5815,0.0082,0.2750,5.0000,0.0000,-2.9640
0.005,31.9104,-5.5817,0.0097,0.3000,5.0000,0.0000,-2.9640
0.005,31.9088,-5.5820,0.0114,0.3250,5.0000,0.0000,-2.9640
0.005,31.9071,-5.5823,0.0131,0.3500,5.0000,0.0000,-2.9640
0.005,31.9052,-5.5826,0.0150,0.3750,5.0000,0.0000,-2.9640
0.005,31.9033,-5.5830,0.0170,0.4000,5.0000,0.0000,-2.9640
0.005,31.9012,-5.5834,0.0191,0.4250,5.0000,0.0000,-2.9640
0.005,31.8990,-5.5838,0.0214,0.4500,5.0000,0.0000,-2.9640
0.005,31.8966,-5.5842,0.0238,0.4750,5.0000,0.0000,-2.9640
0.005,31.8942,-5.5846,0.0263,0.5000,5.0000,0.0000,-2.9641
0.005,31.8916,-5.5851,0.0289,0.5250,5.0000,0.0000,-2.9641
0.005,31.8889,-5.5856,0.0316,0.5500,5.0000,0.0000,-2.9641
0.005,31.8860,-5.5861,0.0345,0.5750,5.0000,0.0000,-2.9641
0.005,31.8831,-5.5866,0.0375,0.6000,5.0000,0.0000,-2.9641
0.005,31.8800,-5.5872,0.0406,0.6250,5.0000,0.0000,-2.9641
0.005,31.8768,-5.5877,0.0439,0.6500,5.0000,0.0000,-2.9642
0.005,31.8735,-5.5883,0.0473,0.6750,5.0000,0.0000,-2.9642
0.005,31.8700,-5.5890,0.0508,0.7000,5.0000,0.0000,-2.9642
0.005,31.8665,-5.5896,0.0544,0.7250,5.0000,0.0000,-2.9642
0.005,31.8628,-5.5903,0.0581,0.7500,5.0000,0.0000,-2.9643
0.005,31.8590,-5.5909,0.0620,0.7750,5.0000,0.0000,-2.9643
0.005,31.8550,-5.5917,0.0660,0.8000,5.0000,0.0000,-2.9644
0.005,31.8510,-5.5924,0.0701,0.8250,5.0000,0.0000,-2.9644
0.005,31.8468,-5.5931,0.0744,0.8500,5.0000,0.0000,-2.9644
0.005,31.8425,-5.5939,0.0788,0.8750,5.0000,0.0000,-2.9645
0.005,31.8381,-5.5947,0.0833,0.9000,5.0000,0.0000,-2.9646
0.005,31.8335,-5.5955,0.0879,0.9250,5.0000,0.0000,-2.9646
0.005,31.8288,-5.5963,0.0926,0.9500,5.0000,0.0000,-2.9647
0.005,31.8240,-5.5972,0.0975,0.9750,5.0000,0.0000,-2.9648
0.005,31.8191,-5.5981,0.1025,1.0000,5.0000,0.0000,-2.9648
0.005,31.8141,-5.5990,0.1076,1.0250,5.0000,0.0000,-2.9649
0.005,31.8089,-5.5999,0.1129,1.0500,5.0000,0.0000,-2.9650
0.005,31.8036,-5.6008,0.1183,1.0750,5.0000,0.0000,-2.9651
0.005,31.7982,-5.6018,0.1238,1.1000,5.0000,0.0000,-2.9652
0.005,31.7926,-5.6028,0.1294,1.1250,5.0000,0.0000,-2.9653
0.005,31.7870,-5.6038,0.1351,1.1500,5.0000,0.0000,-2.9654
