dt,x,y,position,velocity,acceleration,jerk,heading
0.005,31.1556,-6.3504,0.0001,0.0250,5.0000,0.0000,2.4070
0.005,31.1554,-6.3503,0.0004,0.0500,5.0024,0.4779,2.4070
0.005,31.1551,-6.3500,0.0008,0.0750,5.0057,0.6567,2.4070
0.005,31.1547,-6.3497,0.0013,0.1001,5.0110,1.0739,2.4070
0.005,31.1543,-6.3493,0.0019,0.1252,5.0182,1.4302,2.4070
0.005,31.1537,-6.3488,0.0026,0.1503,5.0271,1.7852,2.4070
0.005,31.1531,-6.3482,0.0035,0.1755,5.0378,2.1385,2.4070
0.005,31.1523,-6.3475,0.0045,0.2008,5.0503,2.4897,2.4070
0.005,31.1515,-6.3467,0.0056,0.2261,5.0645,2.8386,2.4070
0.005,31.1505,-6.3459,0.0069,0.2515,5.0804,3.1847,2.4070
0.005,31.1495,-6.3450,0.0083,0.2770,5.0980,3.5278,2.4070
0.005,31.1484,-6.3440,0.0098,0.3026,5.1174,3.8675,2.4070
0.005,31.1472,-6.3429,0.0114,0.3283,5.1384,4.2035,2.4069
0.005,31.1459,-6.3417,0.0132,0.3541,5.1610,4.5355,2.4069
0.005,31.1444,-6.3404,0.0151,0.3800,5.1854,4.8632,2.4069
0.005,31.1429,-6.3390,0.0171,0.4060,5.2113,5.1863,2.4069
0.005,31.1413,-6.3376,0.0193,0.4322,5.2388,5.5044,2.4069
0.005,31.1396,-6.3361,0.0216,0.4586,5.2679,5.8173,2.4068
0.005,31.1378,-6.3344,0.0240,0.4851,5.2985,6.1246,2.4068
0.005,31.1359,-6.3327,0.0266,0.5117,5.3307,6.4262,2.4067
0.005,31.1339,-6.3309,0.0293,0.5385,5.3643,6.7216,2.4067
0.005,31.1318,-6.3290,0.0321,0.5655,5.3993,7.0108,2.4066
0.005,31.1296,-6.3270,0.0351,0.5927,5.4358,7.2932,2.4065
0.005,31.1273,-6.3249,0.0382,0.6201,5.4736,7.5688,2.4064
0.005,31.1249,-6.3228,0.0414,0.6477,5.5128,7.8372,2.4064
0.005,31.1224,-6.3205,0.0448,0.6754,5.5533,8.0982,2.4062
0.005,31.1198,-6.3181,0.0483,0.7034,5.5951,8.3516,2.4061
0.005,31.1171,-6.3157,0.0519,0.7316,5.6381,8.5971,2.4060
0.005,31.1143,-6.3131,0.0557,0.7600,5.6822,8.8345,2.4059
0.005,31.1114,-6.3105,0.0597,0.7886,5.7275,9.0635,2.4057
0.005,31.1083,-6.3077,0.0638,0.8175,5.7740,9.2840,2.4055
0.005,31.1052,-6.3049,0.0680,0.8466,5.8214,9.4957,2.4053
0.005,31.1020,-6.3020,0.0724,0.8760,5.8699,9.6985,2.4051
0.005,31.0986,-6.2989,0.0769,0.9056,5.9194,9.8920,2.4049
