dt,x,y,position,velocity,acceleration,jerk,heading
0.005,32.7643,-4.5694,0.0001,0.0250,5.0000,0.0000,2.4070
0.005,32.7641,-4.5692,0.0004,0.0500,4.9976,-0.4779,2.4070
0.005,32.7638,-4.5690,0.0007,0.0750,4.9943,-0.6567,2.4070
0.005,32.7634,-4.5686,0.0012,0.0999,4.9890,-1.0739,2.4070
0.005,32.7630,-4.5682,0.0019,0.1248,4.9818,-1.4302,2.4070
0.005,32.7624,-4.5677,0.0026,0.1497,4.9729,-1.7852,2.4070
0.005,32.7618,-4.5671,0.0035,0.1745,4.9622,-2.1385,2.4070
0.005,32.7610,-4.5665,0.0045,0.1992,4.9497,-2.4897,2.4070
0.005,32.7602,-4.5657,0.0056,0.2239,4.9355,-2.8386,2.4070
0.005,32.7593,-4.5649,0.0069,0.2485,4.9196,-3.1847,2.4070
0.005,32.7582,-4.5640,0.0082,0.2730,4.9020,-3.5278,2.4070
0.005,32.7571,-4.5630,0.0097,0.2974,4.8826,-3.8675,2.4070
0.005,32.7559,-4.5619,0.0113,0.3217,4.8616,-4.2035,2.4069
0.005,32.7547,-4.5607,0.0130,0.3459,4.8390,-4.5355,2.4069
0.005,32.7533,-4.5595,0.0149,0.3700,4.8146,-4.8632,2.4069
0.005,32.7518,-4.5582,0.0169,0.3940,4.7887,-5.1863,2.4069
0.005,32.7503,-4.5568,0.0190,0.4178,4.7612,-5.5044,2.4069
0.005,32.7486,-4.5553,0.0212,0.4414,4.7321,-5.8173,2.4068
0.005,32.7469,-4.5537,0.0235,0.4649,4.7015,-6.1246,2.4068
0.005,32.7451,-4.5521,0.0259,0.4883,4.6693,-6.4262,2.4067
0.005,32.7432,-4.5504,0.0285,0.5115,4.6357,-6.7217,2.4067
0.005,32.7412,-4.5486,0.0312,0.5345,4.6007,-7.0107,2.4066
0.005,32.7392,-4.5467,0.0339,0.5573,4.5642,-7.2932,2.4065
0.005,32.7370,-4.5448,0.0368,0.5799,4.5264,-7.5688,2.4064
0.005,32.7348,-4.5428,0.0399,0.6023,4.4872,-7.8372,2.4064
0.005,32.7325,-4.5407,0.0430,0.6246,4.4467,-8.0982,2.4062
0.005,32.7301,-4.5385,0.0462,0.6466,4.4049,-8.3516,2.4061
0.005,32.7276,-4.5363,0.0496,0.6684,4.3619,-8.5971,2.4060
0.005,32.7250,-4.5339,0.0530,0.6900,4.3178,-8.8345,2.4059
0.005,32.7224,-4.5315,0.0566,0.7114,4.2725,-9.0635,2.4057
0.005,32.7197,-4.5291,0.0602,0.7325,4.2260,-9.2840,2.4055
0.005,32.7169,-4.5266,0.0640,0.7534,4.1786,-9.4957,2.4053
0.005,32.7140,-4.5240,0.0679,0.7740,4.1301,-9.6984,2.4051
0.005,32.7111,-4.5213,0.0718,0.7944,4.0806,-9.8920,2.4049
0.005,32.7081,-4.5186,0.0759,0.8146,4.0302,-10.0762,2.4046
0.005,32.7050,-4.5158,0.0801,0.8345,3.9790,-10.2508,2.4044
0.005,32.7018,-4.5129,0.0843,0.8541,3.9269,-10.4156,2.4041
0.005,32.6986,-4.5099,0.0887,0.8735,3.8740,-10.5705,2.4037
0.005,32.6953,-4.5069,0.0932,0.8926,3.8205,-10.7152,2.4034
0.005,32.6919,-4.5039,0.0977,0.9114,3.7662,-10.8496,2.4030
0.005,32.6885,-4.5007,0.1024,0.9300,3.7114,-10.9735,2.4026
0.005,32.6850,-4.4975,0.1071,0.9483,3.6559,-11.0868,2.4022
0.005,32.6814,-4.4943,0.1120,0.9663,3.6000,-11.1891,2.4018
0.005,32.6778,-4.4910,0.1169,0.9840,3.5436,-11.2804,2.4013
0.005,32.6741,-4.4876,0.1219,1.0014,3.4868,-11.3605,2.4008
