dt,x,y,position,velocity,acceleration,jerk,heading
0.02,32.1780,11.0600,0.0020,0.1000,5.0000,0.0000,3.1416
0.02,32.1740,11.0600,0.0060,0.2000,5.0000,0.0000,3.1416
0.02,32.1680,11.0600,0.0120,0.3000,5.0000,0.0000,3.1416
0.02,32.1600,11.0600,0.0200,0.4000,5.0000,0.0000,3.1416
0.02,32.1500,11.0600,0.0300,0.5000,5.0000,0.0000,3.1416
0.02,32.1380,11.0600,0.0420,0.6000,5.0000,0.0000,3.1416
0.02,32.1240,11.0600,0.0560,0.7000,5.0000,0.0000,3.1416
0.02,32.1080,11.0600,0.0720,0.8000,5.0000,0.0000,3.1416
0.02,32.0900,11.0600,0.0900,0.9000,5.0000,0.0000,3.1416
0.02,32.0700,11.0600,0.1100,1.0000,5.0000,0.0000,3.1416
0.02,32.0480,11.0600,0.1320,1.1000,5.0000,0.0000,3.1416
0.02,32.0240,11.0600,0.1560,1.2000,5.0000,0.0000,3.1416
0.02,31.9980,11.0600,0.1820,1.3000,5.0000,0.0000,3.1416
0.02,31.9700,11.0600,0.2100,1.4000,5.0000,0.0000,3.1415
0.02,31.9400,11.0600,0.2400,1.5000,5.0000,0.0000,3.1415
0.02,31.9080,11.0600,0.2720,1.6000,5.0000,0.0000,3.1415
0.02,31.8740,11.0600,0.3060,1.7000,5.0000,0.0000,3.1415
0.02,31.8380,11.0600,0.3420,1.8000,5.0000,0.0000,3.1415
0.02,31.8000,11.0600,0.3800,1.9000,5.0000,0.0000,3.1414
0.02,31.7600,11.0600,0.4200,2.0000,5.0000,0.0000,3.1414
0.02,31.7180,11.0600,0.4620,2.1000,5.0000,0.0000,3.1413
0.02,31.6740,11.0601,0.5060,2.2000,5.0000,0.0000,3.1413
0.02,31.6280,11.0601,0.5520,2.3000,5.0000,0.0000,3.1412
0.02,31.5800,11.0601,0.6000,2.4000,5.0000,0.0000,3.1412
0.02,31.5300,11.0601,0.6500,2.5000,5.0000,0.0000,3.1411
0.02,31.4780,11.0601,0.7020,2.6000,5.0000,0.0000,3.1410
0.02,31.4240,11.0602,0.7560,2.7000,5.0000,0.0000,3.1410
0.02,31.3680,11.0602,0.8120,2.8000,5.0000,0.0000,3.1409
0.02,31.3100,11.0602,0.8700,2.9000,5.0000,0.0000,3.1408
0.02,31.2500,11.0603,0.9300,3.0000,5.0000,0.0000,3.1407
0.02,31.1880,11.0604,0.9920,3.1000,5.0000,0.0000,3.1406
0.02,31.1240,11.0604,1.0560,3.2000,5.0000,0.0000,3.1404
0.02,31.0580,11.0605,1.1220,3.3000,5.0000,0.0000,3.1403
0.02,30.9900,11.0606,1.1900,3.4000,5.0000,0.0000,3.1402
0.02,30.9200,11.0607,1.2600,3.5000,5.0000,0.0000,3.1400
0.02,30.8480,11.0608,1.3320,3.6000,5.0000,0.0000,3.1399
