dt,x,y,position,velocity,acceleration,jerk,heading
0.01,32.1795,9.8600,0.0005,0.0500,5.0000,0.0000,3.1416
0.01,32.1785,9.8600,0.0015,0.1000,5.0000,0.0031,3.1416
0.01,32.1770,9.8600,0.0030,0.1500,5.0001,0.0043,3.1416
0.01,32.1750,9.8600,0.0050,0.2000,5.0001,0.0070,3.1416
0.01,32.1725,9.8600,0.0075,0.2500,5.0002,0.0093,3.1416
0.01,32.1695,9.8600,0.0105,0.3000,5.0004,0.0115,3.1416
0.01,32.1660,9.8600,0.0140,0.3500,5.0005,0.0138,3.1416
0.01,32.1620,9.8600,0.0180,0.4000,5.0006,0.0161,3.1416
0.01,32.1575,9.8600,0.0225,0.4500,5.0008,0.0183,3.1416
0.01,32.1525,9.8600,0.0275,0.5000,5.0010,0.0205,3.1416
0.01,32.1470,9.8600,0.0330,0.5501,5.0013,0.0226,3.1416
0.01,32.1410,9.8600,0.0390,0.6001,5.0015,0.0248,3.1416
0.01,32.1345,9.8600,0.0455,0.6501,5.0018,0.0269,3.1416
0.01,32.1275,9.8600,0.0525,0.7001,5.0021,0.0289,3.1416
0.01,32.1200,9.8600,0.0600,0.7501,5.0024,0.0309,3.1416
0.01,32.1120,9.8600,0.0680,0.8002,5.0027,0.0329,3.1416
0.01,32.1035,9.8600,0.0765,0.8502,5.0031,0.0348,3.1416
0.01,32.0945,9.8600,0.0855,0.9002,5.0034,0.0366,3.1416
0.01,32.0850,9.8600,0.0950,0.9503,5.0038,0.0384,3.1416
0.01,32.0750,9.8600,0.1050,1.0003,5.0042,0.0401,3.1416
0.01,32.0645,9.8600,0.1155,1.0503,5.0046,0.0418,3.1416
0.01,32.0535,9.8600,0.1265,1.1004,5.0051,0.0434,3.1416
0.01,32.0420,9.8600,0.1380,1.1505,5.0055,0.0449,3.1416
0.01,32.0300,9.8600,0.1500,1.2005,5.0060,0.0463,3.1416
0.01,32.0175,9.8600,0.1625,1.2506,5.0064,0.0477,3.1416
0.01,32.0045,9.8600,0.1755,1.3006,5.0069,0.0490,3.1416
0.01,31.9909,9.8600,0.1891,1.3507,5.0074,0.0502,3.1415
0.01,31.9769,9.8600,0.2031,1.4008,5.0079,0.0513,3.1415
0.01,31.9624,9.8600,0.2176,1.4509,5.0085,0.0523,3.1415
0.01,31.9474,9.8600,0.2326,1.5010,5.0090,0.0533,3.1415
0.01,31.9319,9.8600,0.2481,1.5511,5.0095,0.0541,3.1415
0.01,31.9159,9.8600,0.2641,1.6012,5.0101,0.0549,3.1415
0.01,31.8994,9.8600,0.2806,1.6513,5.0107,0.0555,3.1415
0.01,31.8824,9.8600,0.2976,1.7014,5.0112,0.0561,3.1415
0.01,31.8649,9.8600,0.3151,1.7515,5.0118,0.0566,3.1415
0.01,31.8468,9.8600,0.3332,1.8016,5.0123,0.0569,3.1415
0.01,31.8283,9.8600,0.3517,1.8518,5.0129,0.0572,3.1414
0.01,31.8093,9.8600,0.3707,1.9019,5.0135,0.0573,3.1414
0.01,31.7898,9.8600,0.3902,1.9520,5.0141,0.0573,3.1414
0.01,31.7698,9.8600,0.4102,2.0022,5.0146,0.0572,3.1414
0.01,31.7492,9.8600,0.4308,2.0523,5.0152,0.0570,3.1414
0.01,31.7282,9.8600,0.4518,2.1025,5.0158,0.0567,3.1414
0.01,31.7067,9.8600,0.4733,2.1527,5.0163,0.0563,3.1413
0.01,31.6847,9.8600,0.4953,2.2028,5.0169,0.0557,3.1413
0.01,31.6621,9.8601,0.5179,2.2530,5.0174,0.0550,3.1413
0.01,31.6391,9.8601,0.5409,2.3032,5.0180,0.0542,3.1413
0.01,31.6156,9.8601,0.5644,2.3534,5.0185,0.0533,3.1412
0.01,31.5915,9.8601,0.5885,2.4036,5.0190,0.0523,3.1412
0.01,31.5670,9.8601,0.6130,2.4537,5.0196,0.0511,3.1412
