dt,x,y,position,velocity,acceleration,jerk,heading
0.02,32.1780,12.2600,0.0020,0.1000,5.0000,0.0000,3.1416
0.02,32.1740,12.2600,0.0060,0.2000,4.9999,-0.0062,3.1416
0.02,32.1680,12.2600,0.0120,0.3000,4.9997,-0.0085,3.1416
0.02,32.1600,12.2600,0.0200,0.4000,4.9994,-0.0138,3.1416
0.02,32.1500,12.2600,0.0300,0.5000,4.9991,-0.0183,3.1416
0.02,32.1380,12.2600,0.0420,0.5999,4.9986,-0.0226,3.1416
0.02,32.1240,12.2600,0.0560,0.6999,4.9981,-0.0268,3.1416
0.02,32.1080,12.2600,0.0720,0.7998,4.9975,-0.0309,3.1416
0.02,32.0900,12.2600,0.0900,0.8998,4.9968,-0.0347,3.1416
0.02,32.0700,12.2600,0.1100,0.9997,4.9960,-0.0384,3.1416
0.02,32.0480,12.2600,0.1320,1.0996,4.9952,-0.0417,3.1416
0.02,32.0240,12.2600,0.1560,1.1995,4.9943,-0.0449,3.1416
0.02,31.9980,12.2600,0.1820,1.2994,4.9933,-0.0477,3.1416
0.02,31.9701,12.2600,0.2099,1.3992,4.9923,-0.0502,3.1415
0.02,31.9401,12.2600,0.2399,1.4990,4.9913,-0.0523,3.1415
0.02,31.9081,12.2600,0.2719,1.5988,4.9902,-0.0541,3.1415
0.02,31.8741,12.2600,0.3059,1.6986,4.9891,-0.0555,3.1415
0.02,31.8382,12.2600,0.3418,1.7984,4.9879,-0.0565,3.1415
0.02,31.8002,12.2600,0.3798,1.8981,4.9868,-0.0571,3.1414
0.02,31.7603,12.2600,0.4197,1.9978,4.9857,-0.0573,3.1414
0.02,31.7183,12.2600,0.4617,2.0975,4.9845,-0.0570,3.1413
0.02,31.6744,12.2601,0.5056,2.1972,4.9834,-0.0562,3.1413
0.02,31.6284,12.2601,0.5516,2.2968,4.9823,-0.0550,3.1412
0.02,31.5805,12.2601,0.5995,2.3964,4.9812,-0.0533,3.1412
0.02,31.5306,12.2601,0.6494,2.4961,4.9802,-0.0511,3.1411
0.02,31.4787,12.2601,0.7013,2.5956,4.9792,-0.0484,3.1410
0.02,31.4248,12.2602,0.7552,2.6952,4.9783,-0.0452,3.1410
0.02,31.3689,12.2602,0.8111,2.7948,4.9775,-0.0415,3.1409
0.02,31.3110,12.2602,0.8690,2.8943,4.9768,-0.0373,3.1408
0.02,31.2511,12.2603,0.9289,2.9938,4.9761,-0.0326,3.1407
0.02,31.1892,12.2604,0.9908,3.0933,4.9756,-0.0274,3.1406
0.02,31.1254,12.2604,1.0546,3.1928,4.9751,-0.0217,3.1404
0.02,31.0595,12.2605,1.1205,3.2923,4.9748,-0.0156,3.1403
0.02,30.9917,12.2606,1.1883,3.3918,4.9746,-0.0089,3.1402
0.02,30.9219,12.2607,1.2581,3.4913,4.9746,-0.0019,3.1400
0.02,30.8500,12.2608,1.3300,3.5908,4.9747,0.0057,3.1399
0.02,30.7762,12.2610,1.4038,3.6903,4.9750,0.0136,3.1397
