dt,x,y,position,velocity,acceleration,jerk,heading
0.01,4.6605,-2.1200,0.0005,0.0500,5.0000,0.0000,0.0000
0.01,4.6615,-2.1200,0.0015,0.1000,5.0000,0.0000,0.0000
0.01,4.6630,-2.1200,0.0030,0.1500,5.0000,0.0000,0.0000
0.01,4.6650,-2.1200,0.0050,0.2000,5.0000,0.0000,0.0000
0.01,4.6675,-2.1200,0.0075,0.2500,5.0000,0.0000,0.0000
0.01,4.6705,-2.1200,0.0105,0.3000,5.0000,0.0000,0.0000
0.01,4.6740,-2.1200,0.0140,0.3500,5.0000,0.0000,0.0000
0.01,4.6780,-2.1200,0.0180,0.4000,5.0000,0.0000,-0.0001
0.01,4.6825,-2.1200,0.0225,0.4500,5.0000,0.0000,-0.0001
0.01,4.6875,-2.1200,0.0275,0.5000,5.0000,0.0000,-0.0001
0.01,4.6930,-2.1200,0.0330,0.5500,5.0000,0.0000,-0.0002
0.01,4.6990,-2.1200,0.0390,0.6000,5.0000,0.0000,-0.0003
0.01,4.7055,-2.1200,0.0455,0.6500,5.0000,0.0000,-0.0004
0.01,4.7125,-2.1200,0.0525,0.7000,5.0000,0.0000,-0.0005
0.01,4.7200,-2.1200,0.0600,0.7500,5.0000,0.0000,-0.0007
0.01,4.7280,-2.1200,0.0680,0.8000,5.0000,0.0000,-0.0009
0.01,4.7365,-2.1200,0.0765,0.8500,5.0000,0.0000,-0.0011
0.01,4.7455,-2.1200,0.0855,0.9000,5.0000,0.0000,-0.0014
0.01,4.7550,-2.1201,0.0950,0.9500,5.0000,0.0000,-0.0017
0.01,4.7650,-2.1201,0.1050,1.0000,5.0000,0.0000,-0.0020
0.01,4.7755,-2.1201,0.1155,1.0500,5.0000,0.0000,-0.0025
0.01,4.7865,-2.1201,0.1265,1.1000,5.0000,0.0000,-0.0030
0.01,4.7980,-2.1202,0.1380,1.1500,5.0000,0.0000,-0.0035
0.01,4.8100,-2.1202,0.1500,1.2000,5.0000,0.0000,-0.0041
0.01,4.8225,-2.1203,0.1625,1.2500,5.0000,0.0000,-0.0048
0.01,4.8355,-2.1203,0.1755,1.3000,5.0000,0.0000,-0.0056
0.01,4.8490,-2.1204,0.1890,1.3500,5.0000,0.0000,-0.0065
0.01,4.8630,-2.1205,0.2030,1.4000,5.0000,0.0000,-0.0074
0.01,4.8775,-2.1206,0.2175,1.4500,5.0000,0.0000,-0.0085
0.01,4.8925,-2.1208,0.2325,1.5000,5.0000,0.0000,-0.0097
0.01,4.9080,-2.1209,0.2480,1.5500,5.0000,0.0000,-0.0109
0.01,4.9240,-2.1211,0.2640,1.6000,5.0000,0.0000,-0.0123
0.01,4.9405,-2.1213,0.2805,1.6500,5.0000,0.0000,-0.0138
0.01,4.9575,-2.1216,0.2975,1.7000,5.0000,0.0000,-0.0155
0.01,4.9750,-2.1219,0.3150,1.7500,5.0000,0.0000,-0.0173
0.01,4.9930,-2.1222,0.3330,1.8000,5.0000,0.0000,-0.0192
0.01,5.0115,-2.1226,0.3515,1.8500,5.0000,0.0000,-0.0213
0.01,5.0305,-2.1230,0.3705,1.9000,5.0000,0.0000,-0.0235
0.01,5.0500,-2.1235,0.3900,1.9500,5.0000,0.0000,-0.0258
0.01,5.0700,-2.1240,0.4100,2.0000,5.0000,0.0000,-0.0284
0.01,5.0905,-2.1246,0.4305,2.0500,5.0000,0.0000,-0.0311
0.01,5.1114,-2.1253,0.4515,2.1000,5.0000,0.0000,-0.0339
0.01,5.1329,-2.1261,0.4730,2.1500,5.0000,0.0000,-0.0370
0.01,5.1549,-2.1269,0.4950,2.2000,5.0000,0.0000,-0.0402
0.01,5.1774,-2.1279,0.5175,2.2500,5.0000,0.0000,-0.0436
0.01,5.2004,-2.1289,0.5405,2.3000,5.0000,0.0000,-0.0472
0.01,5.2238,-2.1301,0.5640,2.3500,5.0000,0.0000,-0.0510
0.01,5.2478,-2.1313,0.5880,2.4000,5.0000,0.0000,-0.0550
0.01,5.2723,-2.1327,0.6125,2.4500,5.0000,0.0000,-0.0592
0.01,5.2972,-2.1343,0.6375,2.5000,5.0000,0.0000,-0.0636
0.01,5.3227,-2.1359,0.6630,2.5500,5.0000,0.0000,-0.0681
0.01,5.3486,-2.1378,0.6890,2.6000,5.0000,0.0000,-0.0729
0.01,5.3750,-2.1398,0.7155,2.6500,5.0000,0.0000,-0.0779
0.01,5.4019,-2.1419,0.7425,2.7000,5.0000,0.0000,-0.0831
0.01,5.4293,-2.1443,0.7700,2.7500,5.0000,0.0000,-0.0884
0.01,5.4572,-2.1468,0.7980,2.8000,5.0000,0.0000,-0.0940
0.01,5.4856,-2.1496,0.8265,2.8500,5.0000,0.0000,-0.0998
0.01,5.5144,-2.1526,0.8555,2.9000,5.0000,0.0000,-0.1058
0.01,5.5438,-2.1558,0.8850,2.9500,5.0000,0.0000,-0.1120
0.01,5.5736,-2.1592,0.9150,3.0000,5.0000,0.0000,-0.1183
0.01,5.6038,-2.1629,0.9455,3.0500,5.0000,0.0000,-0.1249
0.01,5.6346,-2.1669,0.9765,3.1000,5.0000,0.0000,-0.1316
0.01,5.6658,-2.1711,1.0080,3.1500,5.0000,0.0000,-0.1385
0.01,5.6975,-2.1757,1.0400,3.2000,5.0000,0.0000,-0.1456
0.01,5.7296,-2.1805,1.0725,3.2500,5.0000,0.0000,-0.1528
0.01,5.7622,-2.1856,1.1055,3.3000,5.0000,0.0000,-0.1602
0.01,5.7953,-2.1911,1.1390,3.3500,5.0000,0.0000,-0.1678
0.01,5.8288,-2.1969,1.1730,3.4000,5.0000,0.0000,-0.1755
0.01,5.8627,-2.2031,1.2075,3.4500,5.0000,0.0000,-0.1833
0.01,5.8971,-2.2096,1.2425,3.5000,5.0000,0.0000,-0.1912
0.01,5.9319,-2.2165,1.2780,3.5500,5.0000,0.0000,-0.1993
0.01,5.9672,-2.2237,1.3140,3.6000,5.0000,0.0000,-0.2074
0.01,6.0029,-2.2314,1.3505,3.6500,5.0000,0.0000,-0.2156
0.01,6.0390,-2.2395,1.3875,3.7000,5.0000,0.0000,-0.2240
0.01,6.0755,-2.2479,1.4250,3.7500,5.0000,0.0000,-0.2323
0.01,6.1124,-2.2569,1.4630,3.8000,5.0000,0.0000,-0.2407
0.01,6.1498,-2.2662,1.5015,3.8500,5.0000,0.0000,-0.2492
0.01,6.1875,-2.2760,1.5405,3.9000,5.0000,0.0000,-0.2577
0.01,6.2257,-2.2862,1.5800,3.9500,5.0000,0.0000,-0.2662
0.01,6.2642,-2.2969,1.6200,4.0000,5.0000,0.0000,-0.2747
0.01,6.3032,-2.3080,1.6605,4.0500,5.0000,0.0000,-0.2831
0.01,6.3425,-2.3197,1.7015,4.1000,5.0000,0.0000,-0.2916
0.01,6.3822,-2.3317,1.7430,4.1500,5.0000,0.0000,-0.3000
0.01,6.4223,-2.3443,1.7850,4.2000,5.0000,0.0000,-0.3083
0.01,6.4627,-2.3574,1.8275,4.2500,5.0000,0.0000,-0.3166
