dt,x,y,position,velocity,acceleration,jerk,heading
0.01,4.6605,-0.9200,0.0005,0.0500,5.0000,0.0000,0.0000
0.01,4.6615,-0.9200,0.0015,0.1000,5.0046,0.4595,0.0000
0.01,4.6630,-0.9200,0.0030,0.1502,5.0109,0.6310,0.0000
0.01,4.6650,-0.9200,0.0050,0.2004,5.0212,1.0307,0.0000
0.01,4.6675,-0.9200,0.0075,0.2507,5.0349,1.3708,0.0000
0.01,4.6705,-0.9200,0.0105,0.3012,5.0520,1.7078,0.0000
0.01,4.6740,-0.9200,0.0140,0.3520,5.0724,2.0410,0.0000
0.01,4.6781,-0.9200,0.0181,0.4029,5.0961,2.3696,-0.0001
0.01,4.6826,-0.9200,0.0226,0.4542,5.1230,2.6930,-0.0001
0.01,4.6877,-0.9200,0.0277,0.5057,5.1531,3.0104,-0.0001
0.01,4.6932,-0.9200,0.0332,0.5575,5.1863,3.3209,-0.0002
0.01,4.6993,-0.9200,0.0393,0.6098,5.2226,3.6239,-0.0003
0.01,4.7060,-0.9200,0.0460,0.6624,5.2618,3.9187,-0.0004
0.01,4.7131,-0.9200,0.0531,0.7154,5.3038,4.2044,-0.0005
0.01,4.7208,-0.9200,0.0608,0.7689,5.3486,4.4804,-0.0007
0.01,4.7290,-0.9200,0.0690,0.8229,5.3961,4.7460,-0.0009
0.01,4.7378,-0.9200,0.0778,0.8773,5.4461,5.0004,-0.0011
0.01,4.7471,-0.9200,0.0871,0.9323,5.4985,5.2429,-0.0014
0.01,4.7570,-0.9201,0.0970,0.9879,5.5532,5.4727,-0.0017
0.01,4.7675,-0.9201,0.1075,1.0440,5.6101,5.6893,-0.0020
0.01,4.7785,-0.9201,0.1185,1.1006,5.6691,5.8919,-0.0025
0.01,4.7900,-0.9201,0.1300,1.1579,5.7298,6.0797,-0.0030
0.01,4.8022,-0.9202,0.1422,1.2159,5.7924,6.2522,-0.0035
0.01,4.8149,-0.9202,0.1549,1.2744,5.8565,6.4085,-0.0041
0.01,4.8283,-0.9203,0.1683,1.3337,5.9219,6.5481,-0.0048
0.01,4.8422,-0.9204,0.1822,1.3935,5.9886,6.6703,-0.0056
0.01,4.8568,-0.9204,0.1968,1.4541,6.0564,6.7742,-0.0065
0.01,4.8719,-0.9205,0.2119,1.5154,6.1250,6.8594,-0.0074
0.01,4.8877,-0.9207,0.2277,1.5773,6.1942,6.9250,-0.0085
0.01,4.9041,-0.9208,0.2441,1.6399,6.2639,6.9703,-0.0097
0.01,4.9211,-0.9210,0.2611,1.7033,6.3339,6.9947,-0.0109
0.01,4.9388,-0.9212,0.2788,1.7673,6.4039,6.9975,-0.0123
