dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.6620,-3.3200,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,4.6660,-3.3200,0.0060,0.1996,4.9816,-0.9177,0.0000
0.02,4.6720,-3.3200,0.0120,0.2988,4.9565,-1.2550,0.0000
0.02,4.6799,-3.3200,0.0199,0.3971,4.9158,-2.0396,-0.0001
0.02,4.6898,-3.3200,0.0298,0.4943,4.8619,-2.6912,-0.0002
0.02,4.7016,-3.3200,0.0416,0.5902,4.7956,-3.3187,-0.0003
0.02,4.7153,-3.3200,0.0553,0.6846,4.7172,-3.9160,-0.0006
0.02,4.7308,-3.3200,0.0708,0.7771,4.6277,-4.4773,-0.0010
0.02,4.7482,-3.3200,0.0882,0.8677,4.5278,-4.9968,-0.0015
0.02,4.7673,-3.3201,0.1073,0.9560,4.4184,-5.4688,-0.0022
0.02,4.7881,-3.3201,0.1282,1.0421,4.3006,-5.8875,-0.0032
0.02,4.8107,-3.3202,0.1507,1.1256,4.1757,-6.2474,-0.0044
0.02,4.8348,-3.3203,0.1748,1.2065,4.0448,-6.5430,-0.0060
0.02,4.8605,-3.3205,0.2005,1.2847,3.9094,-6.7687,-0.0079
0.02,4.8877,-3.3208,0.2277,1.3601,3.7711,-6.9190,-0.0103
0.02,4.9163,-3.3211,0.2563,1.4327,3.6313,-6.9884,-0.0131
0.02,4.9464,-3.3215,0.2864,1.5025,3.4919,-6.9712,-0.0163
0.02,4.9778,-3.3221,0.3178,1.5696,3.3546,-6.8617,-0.0202
0.02,5.0104,-3.3228,0.3505,1.6341,3.2216,-6.6539,-0.0246
0.02,5.0444,-3.3238,0.3844,1.6960,3.0947,-6.3420,-0.0297
0.02,5.0794,-3.3249,0.4195,1.7555,2.9763,-5.9199,-0.0354
0.02,5.1157,-3.3263,0.4558,1.8129,2.8687,-5.3822,-0.0419
0.02,5.1530,-3.3280,0.4931,1.8683,2.7742,-4.7236,-0.0491
0.02,5.1914,-3.3300,0.5316,1.9223,2.6954,-3.9400,-0.0570
0.02,5.2308,-3.3325,0.5711,1.9750,2.6348,-3.0287,-0.0658
0.02,5.2713,-3.3353,0.6116,2.0269,2.5950,-1.9894,-0.0753
0.02,5.3127,-3.3387,0.6532,2.0784,2.5786,-0.8246,-0.0857
0.02,5.3551,-3.3425,0.6958,2.1302,2.5877,0.4594,-0.0969
0.02,5.3985,-3.3470,0.7394,2.1827,2.6248,1.8517,-0.1088
0.02,5.4430,-3.3522,0.7842,2.2365,2.6915,3.3360,-0.1215
0.02,5.4884,-3.3580,0.8300,2.2923,2.7893,4.8903,-0.1350
0.02,5.5350,-3.3647,0.8770,2.3507,2.9190,6.4865,-0.1492
0.02,5.5826,-3.3722,0.9253,2.4123,3.0809,8.0914,-0.1639
0.02,5.6315,-3.3807,0.9748,2.4778,3.2742,9.6669,-0.1793
0.02,5.6815,-3.3902,1.0258,2.5477,3.4976,11.1721,-0.1952
0.02,5.7329,-3.4007,1.0782,2.6227,3.7489,12.5651,-0.2115
0.02,5.7857,-3.4125,1.1323,2.7032,4.0251,13.8062,-0.2281
0.02,5.8399,-3.4256,1.1881,2.7897,4.3223,14.8597,-0.2449
0.02,5.8957,-3.4401,1.2457,2.8824,4.6362,15.6978,-0.2619
0.02,5.9532,-3.4560,1.3054,2.9816,4.9623,16.3023,-0.2789
0.02,6.0124,-3.4735,1.3671,3.0875,5.2956,16.6663,-0.2957
0.02,6.0735,-3.4927,1.4311,3.2002,5.6315,16.7956,-0.3124
0.02,6.1365,-3.5136,1.4975,3.3195,5.9657,16.7082,-0.3287
