dt,x,y,position,velocity,acceleration,jerk,heading
0.005,32.3299,-12.4500,0.0001,0.0250,5.0000,0.0000,3.1416
0.005,32.3296,-12.4500,0.0004,0.0500,5.0000,0.0000,3.1416
0.005,32.3293,-12.4500,0.0007,0.0750,5.0000,0.0000,3.1416
0.005,32.3287,-12.4500,0.0013,0.1000,5.0000,0.0000,3.1416
0.005,32.3281,-12.4500,0.0019,0.1250,5.0000,0.0000,3.1416
0.005,32.3274,-12.4500,0.0026,0.1500,5.0000,0.0000,3.1416
0.005,32.3265,-12.4500,0.0035,0.1750,5.0000,0.0000,3.1416
0.005,32.3255,-12.4500,0.0045,0.2000,5.0000,0.0000,3.1416
0.005,32.3244,-12.4500,0.0056,0.2250,5.0000,0.0000,3.1416
0.005,32.3231,-12.4500,0.0069,0.2500,5.0000,0.0000,3.1416
0.005,32.3218,-12.4500,0.0082,0.2750,5.0000,0.0000,3.1416
0.005,32.3203,-12.4500,0.0097,0.3000,5.0000,0.0000,3.1416
0.005,32.3186,-12.4500,0.0114,0.3250,5.0000,0.0000,3.1416
0.005,32.3169,-12.4500,0.0131,0.3500,5.0000,0.0000,3.1416
0.005,32.3150,-12.4500,0.0150,0.3750,5.0000,0.0000,3.1416
0.005,32.3130,-12.4500,0.0170,0.4000,5.0000,0.0000,3.1416
0.005,32.3109,-12.4500,0.0191,0.4250,5.0000,0.0000,3.1416
0.005,32.3086,-12.4500,0.0214,0.4500,5.0000,0.0000,3.1416
0.005,32.3062,-12.4500,0.0238,0.4750,5.0000,0.0000,3.1416
0.005,32.3038,-12.4500,0.0263,0.5000,5.0000,0.0000,3.1416
0.005,32.3011,-12.4500,0.0289,0.5250,5.0000,0.0000,3.1416
0.005,32.2984,-12.4500,0.0316,0.5500,5.0000,0.0000,3.1416
0.005,32.2955,-12.4500,0.0345,0.5750,5.0000,0.0000,3.1416
0.005,32.2925,-12.4500,0.0375,0.6000,5.0000,0.0000,3.1416
0.005,32.2894,-12.4500,0.0406,0.6250,5.0000,0.0000,3.1416
0.005,32.2861,-12.4500,0.0439,0.6500,5.0000,0.0000,3.1416
0.005,32.2828,-12.4500,0.0473,0.6750,5.0000,0.0000,3.1416
0.005,32.2792,-12.4500,0.0508,0.7000,5.0000,0.0000,3.1416
0.005,32.2756,-12.4500,0.0544,0.7250,5.0000,0.0000,3.1416
0.005,32.2719,-12.4500,0.0581,0.7500,5.0000,0.0000,3.1416
0.005,32.2680,-12.4500,0.0620,0.7750,5.0000,0.0000,3.1416
0.005,32.2640,-12.4500,0.0660,0.8000,5.0000,0.0000,3.1416
0.005,32.2599,-12.4500,0.0701,0.8250,5.0000,0.0000,3.1416
0.005,32.2556,-12.4500,0.0744,0.8500,5.0000,0.0000,3.1416
0.005,32.2512,-12.4500,0.0788,0.8750,5.0000,0.0000,3.1416
0.005,32.2467,-12.4500,0.0833,0.9000,5.0000,0.0000,3.1416
0.005,32.2421,-12.4500,0.0879,0.9250,5.0000,0.0000,3.1416
0.005,32.2374,-12.4500,0.0926,0.9500,5.0000,0.0000,3.1416
0.005,32.2325,-12.4500,0.0975,0.9750,5.0000,0.0000,3.1416
0.005,32.2275,-12.4500,0.1025,1.0000,5.0000,0.0000,3.1416
0.005,32.2224,-12.4500,0.1076,1.0250,5.0000,0.0000,3.1416
0.005,32.2171,-12.4500,0.1129,1.0500,5.0000,0.0000,3.1416
0.005,32.2117,-12.4500,0.1183,1.0750,5.0000,0.0000,3.1416
0.005,32.2062,-12.4500,0.1238,1.1000,5.0000,0.0000,3.1416
0.005,32.2006,-12.4500,0.1294,1.1250,5.0000,0.0000,3.1416
0.005,32.1949,-12.4500,0.1351,1.1500,5.0000,0.0000,3.1416
0.005,32.1890,-12.4500,0.1410,1.1750,5.0000,0.0000,3.1416
0.005,32.1830,-12.4500,0.1470,1.2000,5.0000,0.0000,3.1416
0.005,32.1769,-12.4500,0.1531,1.2250,5.0000,0.0000,3.1416
0.005,32.1706,-12.4500,0.1594,1.2500,5.0000,0.0000,3.1416
0.005,32.1642,-12.4500,0.1658,1.2750,5.0000,0.0000,3.1416
0.005,32.1577,-12.4500,0.1723,1.3000,5.0000,0.0000,3.1416
0.005,32.1511,-12.4500,0.1789,1.3250,5.0000,0.0000,3.1416
0.005,32.1444,-12.4500,0.1856,1.3500,5.0000,0.0000,3.1416
0.005,32.1375,-12.4500,0.1925,1.3750,5.0000,0.0000,3.1416
0.005,32.1305,-12.4500,0.1995,1.4000,5.0000,0.0000,3.1416
0.005,32.1234,-12.4500,0.2066,1.4250,5.0000,0.0000,3.1416
0.005,32.1161,-12.4500,0.2139,1.4500,5.0000,0.0000,3.1416
0.005,32.1087,-12.4500,0.2213,1.4750,5.0000,0.0000,3.1416
0.005,32.1012,-12.4500,0.2288,1.5000,5.0000,0.0000,3.1416
0.005,32.0936,-12.4500,0.2364,1.5250,5.0000,0.0000,3.1416
0.005,32.0859,-12.4500,0.2441,1.5500,5.0000,0.0000,3.1416
0.005,32.0780,-12.4500,0.2520,1.5750,5.0000,0.0000,3.1416
0.005,32.0700,-12.4500,0.2600,1.6000,5.0000,0.0000,3.1416
0.005,32.0619,-12.4500,0.2681,1.6250,5.0000,0.0000,3.1416
0.005,32.0536,-12.4500,0.2764,1.6500,5.0000,0.0000,3.1416
0.005,32.0452,-12.4500,0.2848,1.6750,5.0000,0.0000,3.1416
0.005,32.0367,-12.4500,0.2933,1.7000,5.0000,0.0000,3.1416
