dt,x,y,position,velocity,acceleration,jerk,heading
0.005,7.5101,-2.2000,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,7.5104,-2.2000,0.0004,0.0500,4.9986,-0.2755,0.0000
0.005,7.5107,-2.2000,0.0007,0.0750,4.9967,-0.3786,0.0000
0.005,7.5112,-2.2000,0.0012,0.0999,4.9936,-0.6194,0.0000
0.005,7.5119,-2.2000,0.0019,0.1249,4.9895,-0.8254,0.0000
0.005,7.5126,-2.2000,0.0026,0.1498,4.9844,-1.0310,0.0000
0.005,7.5135,-2.2000,0.0035,0.1747,4.9782,-1.2361,0.0000
0.005,7.5145,-2.2000,0.0045,0.1996,4.9710,-1.4406,0.0000
0.005,7.5156,-2.2000,0.0056,0.2244,4.9627,-1.6445,0.0000
0.005,7.5169,-2.2000,0.0069,0.2491,4.9535,-1.8476,0.0000
0.005,7.5182,-2.2000,0.0082,0.2739,4.9433,-2.0499,0.0000
0.005,7.5197,-2.2000,0.0097,0.2985,4.9320,-2.2512,0.0000
0.005,7.5213,-2.2000,0.0113,0.3231,4.9197,-2.4516,0.0000
0.005,7.5231,-2.2000,0.0131,0.3476,4.9065,-2.6508,0.0000
0.005,7.5249,-2.2000,0.0149,0.3721,4.8922,-2.8490,0.0001
0.005,7.5269,-2.2000,0.0169,0.3965,4.8770,-3.0459,0.0001
0.005,7.5290,-2.2000,0.0190,0.4208,4.8608,-3.2414,0.0001
0.005,7.5312,-2.2000,0.0212,0.4450,4.8436,-3.4358,0.0001
0.005,7.5336,-2.2000,0.0236,0.4691,4.8255,-3.6287,0.0001
0.005,7.5361,-2.2000,0.0261,0.4932,4.8064,-3.8202,0.0002
0.005,7.5386,-2.2000,0.0286,0.5171,4.7863,-4.0102,0.0002
0.005,7.5414,-2.2000,0.0314,0.5409,4.7653,-4.1989,0.0002
0.005,7.5442,-2.2000,0.0342,0.5647,4.7434,-4.3858,0.0003
0.005,7.5471,-2.2000,0.0371,0.5883,4.7206,-4.5714,0.0003
0.005,7.5502,-2.2000,0.0402,0.6117,4.6968,-4.7553,0.0004
0.005,7.5534,-2.2000,0.0434,0.6351,4.6721,-4.9378,0.0004
0.005,7.5566,-2.2000,0.0466,0.6583,4.6465,-5.1184,0.0005
0.005,7.5600,-2.2000,0.0500,0.6814,4.6200,-5.2980,0.0006
0.005,7.5636,-2.2000,0.0536,0.7044,4.5926,-5.4756,0.0007
0.005,7.5672,-2.2000,0.0572,0.7272,4.5644,-5.6520,0.0008
0.005,7.5710,-2.2000,0.0610,0.7499,4.5352,-5.8266,0.0009
0.005,7.5748,-2.2000,0.0648,0.7724,4.5052,-6.0004,0.0010
0.005,7.5788,-2.2000,0.0688,0.7948,4.4744,-6.1720,0.0011
0.005,7.5829,-2.2000,0.0729,0.8170,4.4427,-6.3427,0.0012
0.005,7.5871,-2.2000,0.0771,0.8391,4.4101,-6.5122,0.0014
0.005,7.5914,-2.2000,0.0814,0.8609,4.3767,-6.6804,0.0016
0.005,7.5958,-2.2000,0.0858,0.8827,4.3425,-6.8470,0.0017
0.005,7.6003,-2.1999,0.0903,0.9042,4.3074,-7.0135,0.0019
0.005,7.6049,-2.1999,0.0949,0.9255,4.2715,-7.1785,0.0021
0.005,7.6097,-2.1999,0.0997,0.9467,4.2348,-7.3424,0.0024
0.005,7.6145,-2.1999,0.1045,0.9677,4.1973,-7.5057,0.0026
0.005,7.6195,-2.1999,0.1095,0.9885,4.1589,-7.6692,0.0029
0.005,7.6245,-2.1999,0.1145,1.0091,4.1198,-7.8308,0.0031
0.005,7.6296,-2.1999,0.1196,1.0295,4.0798,-7.9931,0.0034
0.005,7.6349,-2.1998,0.1249,1.0497,4.0390,-8.1543,0.0037
0.005,7.6402,-2.1998,0.1302,1.0697,3.9974,-8.3161,0.0041
0.005,7.6457,-2.1998,0.1357,1.0895,3.9551,-8.4776,0.0044
0.005,7.6512,-2.1998,0.1412,1.1090,3.9119,-8.6392,0.0048
0.005,7.6569,-2.1997,0.1469,1.1284,3.8678,-8.8014,0.0052
0.005,7.6626,-2.1997,0.1526,1.1475,3.8230,-8.9637,0.0056
0.005,7.6684,-2.1997,0.1584,1.1664,3.7774,-9.1269,0.0061
0.005,7.6744,-2.1996,0.1644,1.1850,3.7309,-9.2918,0.0066
0.005,7.6804,-2.1996,0.1704,1.2034,3.6837,-9.4556,0.0071
0.005,7.6865,-2.1996,0.1765,1.2216,3.6355,-9.6226,0.0076
0.005,7.6927,-2.1995,0.1827,1.2395,3.5866,-9.7908,0.0082
0.005,7.6990,-2.1995,0.1890,1.2572,3.5368,-9.9592,0.0088
0.005,7.7054,-2.1994,0.1954,1.2747,3.4861,-10.1311,0.0094
0.005,7.7118,-2.1993,0.2018,1.2918,3.4346,-10.3035,0.0101
0.005,7.7184,-2.1993,0.2084,1.3087,3.3822,-10.4799,0.0107
0.005,7.7250,-2.1992,0.2150,1.3254,3.3289,-10.6565,0.0115
0.005,7.7317,-2.1991,0.2217,1.3418,3.2748,-10.8382,0.0122
0.005,7.7385,-2.1990,0.2285,1.3579,3.2196,-11.0205,0.0130
0.005,7.7453,-2.1989,0.2354,1.3737,3.1636,-11.2078,0.0139
0.005,7.7523,-2.1988,0.2423,1.3892,3.1066,-11.3962,0.0148
0.005,7.7593,-2.1987,0.2493,1.4044,3.0487,-11.5904,0.0157
0.005,7.7664,-2.1986,0.2564,1.4194,2.9897,-11.7869,0.0166
0.005,7.7736,-2.1985,0.2636,1.4340,2.9298,-11.9882,0.0176
0.005,7.7808,-2.1984,0.2708,1.4484,2.8688,-12.1928,0.0187
0.005,7.7881,-2.1982,0.2781,1.4624,2.8068,-12.4025,0.0198
0.005,7.7955,-2.1981,0.2855,1.4761,2.7437,-12.6157,0.0209
0.005,7.8030,-2.1979,0.2930,1.4895,2.6796,-12.8357,0.0221
0.005,7.8105,-2.1977,0.3005,1.5026,2.6143,-13.0587,0.0233
0.005,7.8180,-2.1976,0.3081,1.5154,2.5478,-13.2883,0.0246
0.005,7.8257,-2.1974,0.3157,1.5278,2.4802,-13.5223,0.0260
0.005,7.8334,-2.1972,0.3234,1.5398,2.4114,-13.7630,0.0274
0.005,7.8411,-2.1969,0.3312,1.5515,2.3414,-14.0079,0.0288
0.005,7.8489,-2.1967,0.3390,1.5629,2.2701,-14.2608,0.0303
0.005,7.8568,-2.1965,0.3468,1.5739,2.1975,-14.5175,0.0319
0.005,7.8647,-2.1962,0.3548,1.5845,2.1236,-14.7830,0.0335
0.005,7.8727,-2.1959,0.3627,1.5947,2.0483,-15.0519,0.0352
0.005,7.8807,-2.1956,0.3708,1.6046,1.9716,-15.3310,0.0370
0.005,7.8888,-2.1953,0.3788,1.6140,1.8936,-15.6123,0.0388
0.005,7.8969,-2.1950,0.3869,1.6231,1.8141,-15.9044,0.0407
0.005,7.9050,-2.1947,0.3951,1.6318,1.7331,-16.2006,0.0426
0.005,7.9132,-2.1943,0.4033,1.6400,1.6505,-16.5036,0.0446
0.005,7.9215,-2.1939,0.4115,1.6479,1.5665,-16.8154,0.0467
0.005,7.9297,-2.1935,0.4198,1.6553,1.4808,-17.1310,0.0489
0.005,7.9380,-2.1931,0.4281,1.6622,1.3935,-17.4558,0.0511
0.005,7.9464,-2.1927,0.4365,1.6688,1.3046,-17.7850,0.0535
0.005,7.9547,-2.1922,0.4448,1.6748,1.2140,-18.1216,0.0559
0.005,7.9631,-2.1918,0.4532,1.6804,1.1217,-18.4642,0.0583
0.005,7.9715,-2.1913,0.4617,1.6856,1.0276,-18.8120,0.0609
0.005,7.9800,-2.1907,0.4701,1.6902,0.9318,-19.1654,0.0635
0.005,7.9884,-2.1902,0.4786,1.6944,0.8342,-19.5256,0.0663
0.005,7.9969,-2.1896,0.4871,1.6981,0.7347,-19.8866,0.0691
0.005,8.0054,-2.1890,0.4956,1.7012,0.6334,-20.2557,0.0720
0.005,8.0139,-2.1884,0.5041,1.7039,0.5303,-20.6260,0.0750
0.005,8.0224,-2.1877,0.5126,1.7060,0.4253,-20.9980,0.0781
0.005,8.0309,-2.1871,0.5212,1.7076,0.3185,-21.3745,0.0813
0.005,8.0394,-2.1863,0.5297,1.7087,0.2097,-21.7503,0.0846
0.005,8.0479,-2.1856,0.5383,1.7092,0.0991,-22.1256,0.0880
0.005,8.0564,-2.1848,0.5468,1.7091,-0.0134,-22.4988,0.0915
0.005,8.0649,-2.1840,0.5554,1.7085,-0.1278,-22.8719,0.0951
0.005,8.0734,-2.1832,0.5639,1.7072,-0.2440,-23.2386,0.0988
0.005,8.0819,-2.1824,0.5724,1.7054,-0.3620,-23.5976,0.1027
0.005,8.0904,-2.1815,0.5809,1.7030,-0.4817,-23.9540,0.1066
0.005,8.0988,-2.1805,0.5894,1.7000,-0.6032,-24.2935,0.1107
0.005,8.1072,-2.1796,0.5979,1.6964,-0.7263,-24.6277,0.1149
0.005,8.1157,-2.1786,0.6064,1.6921,-0.8510,-24.9421,0.1192
0.005,8.1240,-2.1776,0.6148,1.6872,-0.9772,-25.2411,0.1236
0.005,8.1324,-2.1765,0.6232,1.6817,-1.1048,-25.5198,0.1281
0.005,8.1407,-2.1754,0.6316,1.6755,-1.2337,-25.7745,0.1328
0.005,8.1489,-2.1743,0.6399,1.6687,-1.3637,-26.0010,0.1376
0.005,8.1572,-2.1732,0.6483,1.6612,-1.4947,-26.1987,0.1426
0.005,8.1653,-2.1720,0.6565,1.6531,-1.6265,-26.3595,0.1477
0.005,8.1735,-2.1707,0.6647,1.6443,-1.7589,-26.4808,0.1529
0.005,8.1815,-2.1695,0.6729,1.6349,-1.8917,-26.5576,0.1583
0.005,8.1896,-2.1682,0.6810,1.6247,-2.0246,-26.5858,0.1638
0.005,8.1975,-2.1668,0.6891,1.6139,-2.1574,-26.5580,0.1695
0.005,8.2054,-2.1654,0.6971,1.6025,-2.2898,-26.4676,0.1753
0.005,8.2132,-2.1640,0.7051,1.5904,-2.4213,-26.3141,0.1813
0.005,8.2210,-2.1626,0.7130,1.5776,-2.5518,-26.0826,0.1874
0.005,8.2287,-2.1611,0.7208,1.5642,-2.6806,-25.7712,0.1937
0.005,8.2363,-2.1596,0.7285,1.5502,-2.8075,-25.3735,0.2002
0.005,8.2438,-2.1580,0.7362,1.5355,-2.9319,-24.8775,0.2068
0.005,8.2512,-2.1565,0.7438,1.5203,-3.0533,-24.2785,0.2136
0.005,8.2586,-2.1548,0.7513,1.5044,-3.1711,-23.5672,0.2206
0.005,8.2658,-2.1532,0.7588,1.4880,-3.2848,-22.7360,0.2277
0.005,8.2730,-2.1515,0.7661,1.4710,-3.3936,-21.7739,0.2350
0.005,8.2801,-2.1498,0.7734,1.4535,-3.4970,-20.6742,0.2425
0.005,8.2870,-2.1480,0.7806,1.4356,-3.5942,-19.4280,0.2501
0.005,8.2939,-2.1462,0.7877,1.4171,-3.6843,-18.0238,0.2580
0.005,8.3006,-2.1444,0.7947,1.3983,-3.7666,-16.4573,0.2660
0.005,8.3073,-2.1426,0.8015,1.3791,-3.8401,-14.7156,0.2742
0.005,8.3138,-2.1407,0.8083,1.3596,-3.9041,-12.7928,0.2826
0.005,8.3202,-2.1388,0.8150,1.3398,-3.9575,-10.6814,0.2912
0.005,8.3265,-2.1369,0.8216,1.3198,-3.9994,-8.3731,0.3000
0.005,8.3327,-2.1350,0.8281,1.2997,-4.0287,-5.8636,0.3089
0.005,8.3388,-2.1330,0.8345,1.2794,-4.0444,-3.1462,0.3181
0.005,8.3448,-2.1310,0.8408,1.2592,-4.0455,-0.2184,0.3274
0.005,8.3507,-2.1290,0.8470,1.2391,-4.0309,2.9233,0.3370
0.005,8.3564,-2.1269,0.8531,1.2191,-3.9995,6.2782,0.3467
0.005,8.3620,-2.1249,0.8591,1.1993,-3.9503,9.8459,0.3566
0.005,8.3675,-2.1228,0.8650,1.1799,-3.8822,13.6233,0.3666
0.005,8.3730,-2.1207,0.8708,1.1609,-3.7941,17.6037,0.3769
0.005,8.3783,-2.1185,0.8765,1.1425,-3.6852,21.7794,0.3874
0.005,8.3835,-2.1164,0.8822,1.1247,-3.5545,26.1389,0.3980
0.005,8.3885,-2.1142,0.8877,1.1077,-3.4012,30.6692,0.4088
0.005,8.3935,-2.1120,0.8932,1.0916,-3.2244,35.3519,0.4198
0.005,8.3984,-2.1098,0.8985,1.0765,-3.0236,40.1678,0.4309
0.005,8.4033,-2.1075,0.9039,1.0625,-2.7981,45.0940,0.4422
0.005,8.4080,-2.1053,0.9091,1.0497,-2.5476,50.1032,0.4537
0.005,8.4126,-2.1030,0.9143,1.0384,-2.2718,55.1667,0.4653
0.005,8.4172,-2.1006,0.9194,1.0285,-1.9705,60.2524,0.4770
0.005,8.4217,-2.0983,0.9245,1.0203,-1.6439,65.3246,0.4889
0.005,8.4262,-2.0959,0.9296,1.0139,-1.2922,70.3470,0.5010
0.005,8.4306,-2.0934,0.9347,1.0093,-0.9158,75.2805,0.5131
0.005,8.4350,-2.0909,0.9397,1.0067,-0.5153,80.0839,0.5254
0.005,8.4393,-2.0884,0.9447,1.0062,-0.0918,84.7165,0.5377
0.005,8.4436,-2.0858,0.9498,1.0080,0.3539,89.1366,0.5502
0.005,8.4479,-2.0831,0.9548,1.0121,0.8204,93.3023,0.5628
0.005,8.4522,-2.0803,0.9599,1.0186,1.3063,97.1739,0.5754
0.005,8.4565,-2.0775,0.9650,1.0277,1.8099,100.7126,0.5881
0.005,8.4608,-2.0746,0.9702,1.0393,2.3293,103.8824,0.6008
0.005,8.4651,-2.0716,0.9755,1.0537,2.8625,106.6506,0.6136
0.005,8.4695,-2.0685,0.9809,1.0707,3.4075,108.9879,0.6265
0.005,8.4739,-2.0653,0.9863,1.0905,3.9618,110.8697,0.6393
0.005,8.4783,-2.0619,0.9919,1.1131,4.5232,112.2765,0.6522
0.005,8.4829,-2.0584,0.9976,1.1386,5.0892,113.1937,0.6650
0.005,8.4874,-2.0548,1.0034,1.1668,5.6572,113.6127,0.6779
0.005,8.4921,-2.0510,1.0094,1.1980,6.2249,113.5309,0.6907
0.005,8.4968,-2.0471,1.0156,1.2319,6.7896,112.9509,0.7035
0.005,8.5016,-2.0429,1.0219,1.2687,7.3491,111.8818,0.7162
0.005,8.5065,-2.0386,1.0284,1.3082,7.9007,110.3387,0.7289
0.005,8.5115,-2.0341,1.0352,1.3504,8.4424,108.3405,0.7415
0.005,8.5166,-2.0293,1.0422,1.3952,8.9720,105.9129,0.7540
0.005,8.5218,-2.0244,1.0494,1.4427,9.4874,103.0852,0.7664
0.005,8.5272,-2.0191,1.0569,1.4926,9.9869,99.8894,0.7788
0.005,8.5327,-2.0137,1.0646,1.5450,10.4687,96.3630,0.7910
0.005,8.5382,-2.0080,1.0726,1.5996,10.9314,92.5440,0.8031
0.005,8.5440,-2.0020,1.0809,1.6565,11.3738,88.4722,0.8150
0.005,8.5498,-1.9957,1.0894,1.7155,11.7947,84.1914,0.8268
0.005,8.5558,-1.9891,1.0983,1.7764,12.1934,79.7398,0.8385
0.005,8.5619,-1.9822,1.1075,1.8393,12.5693,75.1629,0.8500
0.005,8.5681,-1.9751,1.1170,1.9039,12.9217,70.4980,0.8613
0.005,8.5745,-1.9676,1.1269,1.9701,13.2507,65.7870,0.8725
0.005,8.5810,-1.9597,1.1371,2.0379,13.5560,61.0646,0.8835
0.005,8.5877,-1.9515,1.1476,2.1071,13.8378,56.3693,0.8943
0.005,8.5944,-1.9430,1.1585,2.1776,14.0965,51.7300,0.9049
0.005,8.6013,-1.9341,1.1697,2.2492,14.3324,47.1788,0.9153
0.005,8.6084,-1.9249,1.1814,2.3220,14.5461,42.7420,0.9255
0.005,8.6155,-1.9153,1.1933,2.3957,14.7383,38.4423,0.9356
0.005,8.6228,-1.9053,1.2057,2.4702,14.9098,34.3015,0.9454
0.005,8.6302,-1.8949,1.2184,2.5455,15.0615,30.3355,0.9550
0.005,8.6377,-1.8842,1.2315,2.6215,15.1943,26.5614,0.9644
0.005,8.6454,-1.8731,1.2450,2.6980,15.3092,22.9882,0.9735
0.005,8.6531,-1.8616,1.2589,2.7751,15.4074,19.6268,0.9825
0.005,8.6610,-1.8497,1.2731,2.8525,15.4898,16.4823,0.9912
0.005,8.6689,-1.8374,1.2878,2.9303,15.5576,13.5602,0.9998
0.005,8.6770,-1.8247,1.3028,3.0084,15.6119,10.8612,1.0080
0.005,8.6852,-1.8116,1.3183,3.0866,15.6538,8.3884,1.0161
0.005,8.6935,-1.7981,1.3341,3.1651,15.6845,6.1357,1.0240
0.005,8.7019,-1.7842,1.3503,3.2436,15.7051,4.1063,1.0316
0.005,8.7103,-1.7700,1.3669,3.3222,15.7165,2.2897,1.0390
0.005,8.7189,-1.7553,1.3839,3.4008,15.7199,0.6876,1.0462
0.005,8.7276,-1.7402,1.4013,3.4794,15.7164,-0.7104,1.0532
0.005,8.7363,-1.7247,1.4191,3.5579,15.7068,-1.9093,1.0599
0.005,8.7451,-1.7088,1.4373,3.6364,15.6923,-2.9169,1.0664
0.005,8.7541,-1.6925,1.4559,3.7147,15.6736,-3.7359,1.0727
0.005,8.7631,-1.6758,1.4748,3.7930,15.6517,-4.3814,1.0788
0.005,8.7722,-1.6587,1.4942,3.8711,15.6274,-4.8523,1.0846
0.005,8.7814,-1.6413,1.5139,3.9491,15.6016,-5.1633,1.0903
0.005,8.7906,-1.6234,1.5341,4.0270,15.5750,-5.3170,1.0957
0.005,8.8000,-1.6051,1.5546,4.1047,15.5484,-5.3218,1.1009
0.005,8.8094,-1.5864,1.5755,4.1824,15.5225,-5.1853,1.1058
0.005,8.8189,-1.5674,1.5968,4.2598,15.4979,-4.9120,1.1106
0.005,8.8285,-1.5479,1.6185,4.3372,15.4754,-4.5110,1.1151
0.005,8.8381,-1.5281,1.6406,4.4145,15.4554,-3.9841,1.1194
0.005,8.8479,-1.5078,1.6630,4.4917,15.4387,-3.3406,1.1235
0.005,8.8577,-1.4872,1.6859,4.5688,15.4258,-2.5824,1.1274
0.005,8.8677,-1.4662,1.7091,4.6459,15.4172,-1.7150,1.1311
0.005,8.8777,-1.4448,1.7327,4.7230,15.4135,-0.7431,1.1345
0.005,8.8878,-1.4231,1.7567,4.8000,15.4152,0.3323,1.1377
0.005,8.8980,-1.4009,1.7811,4.8772,15.4227,1.5056,1.1407
0.005,8.9083,-1.3784,1.8059,4.9543,15.4366,2.7747,1.1435
0.005,8.9187,-1.3555,1.8310,5.0316,15.4573,4.1404,1.1461
0.005,8.9292,-1.3322,1.8566,5.1091,15.4853,5.5967,1.1485
0.005,8.9398,-1.3085,1.8825,5.1867,15.5210,7.1456,1.1506
0.005,8.9505,-1.2845,1.9088,5.2645,15.5649,8.7856,1.1525
0.005,8.9613,-1.2601,1.9355,5.3426,15.6175,10.5163,1.1542
0.005,8.9723,-1.2353,1.9626,5.4210,15.6792,12.3371,1.1557
0.005,8.9833,-1.2101,1.9901,5.4997,15.7504,14.2498,1.1570
0.005,8.9945,-1.1846,2.0180,5.5789,15.8317,16.2541,1.1580
0.005,9.0059,-1.1586,2.0463,5.6585,15.9235,18.3516,1.1588
0.005,9.0174,-1.1323,2.0750,5.7386,16.0262,20.5439,1.1594
0.005,9.0290,-1.1057,2.1041,5.8193,16.1404,22.8326,1.1597
0.005,9.0408,-1.0786,2.1336,5.9007,16.2665,25.2192,1.1598
0.005,9.0527,-1.0512,2.1635,5.9827,16.4050,27.7065,1.1597
0.005,9.0649,-1.0234,2.1939,6.0655,16.5565,30.2963,1.1593
0.005,9.0772,-0.9952,2.2246,6.1491,16.7214,32.9912,1.1587
0.005,9.0897,-0.9667,2.2558,6.2336,16.9004,35.7935,1.1578
0.005,9.1024,-0.9377,2.2874,6.3191,17.0939,38.7050,1.1567
0.005,9.1153,-0.9084,2.3194,6.4056,17.3026,41.7289,1.1553
0.005,9.1284,-0.8787,2.3519,6.4932,17.5269,44.8659,1.1536
0.005,9.1418,-0.8487,2.3848,6.5820,17.7675,48.1182,1.1517
0.005,9.1554,-0.8182,2.4181,6.6722,18.0249,51.4866,1.1496
0.005,9.1692,-0.7874,2.4520,6.7637,18.2998,54.9706,1.1471
0.005,9.1834,-0.7561,2.4862,6.8566,18.5926,58.5707,1.1444
0.005,9.1978,-0.7245,2.5210,6.9511,18.9040,62.2847,1.1414
0.005,9.2125,-0.6925,2.5562,7.0473,19.2346,66.1072,1.1380
0.005,9.2276,-0.6601,2.5920,7.1452,19.5848,70.0379,1.1344
0.005,9.2429,-0.6273,2.6282,7.2450,19.9551,74.0629,1.1305
0.005,9.2587,-0.5941,2.6649,7.3467,20.3460,78.1802,1.1262
0.005,9.2748,-0.5605,2.7022,7.4505,20.7578,82.3698,1.1216
0.005,9.2912,-0.5265,2.7400,7.5565,21.1909,86.6208,1.1167
