dt,x,y,position,velocity,acceleration,jerk,heading
0.005,22.8700,-5.4300,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,22.8701,-5.4300,0.0002,0.0200,2.0000,0.0000,0.0000
0.005,22.8703,-5.4300,0.0003,0.0300,2.0000,0.0000,0.0000
0.005,22.8705,-5.4300,0.0005,0.0400,2.0000,0.0000,0.0000
0.005,22.8707,-5.4300,0.0008,0.0500,2.0000,0.0000,0.0000
0.005,22.8710,-5.4300,0.0011,0.0600,2.0000,0.0000,0.0000
0.005,22.8714,-5.4300,0.0014,0.0700,2.0000,0.0000,0.0000
0.005,22.8718,-5.4300,0.0018,0.0800,2.0000,0.0000,0.0000
0.005,22.8722,-5.4300,0.0023,0.0900,2.0000,0.0000,0.0000
0.005,22.8727,-5.4300,0.0028,0.1000,2.0000,0.0000,0.0000
0.005,22.8733,-5.4300,0.0033,0.1100,2.0000,0.0000,0.0000
0.005,22.8739,-5.4300,0.0039,0.1200,2.0000,0.0000,0.0000
0.005,22.8745,-5.4300,0.0045,0.1300,2.0000,0.0000,0.0000
0.005,22.8752,-5.4300,0.0052,0.1400,2.0000,0.0000,0.0000
0.005,22.8760,-5.4300,0.0060,0.1500,2.0000,0.0000,0.0000
0.005,22.8768,-5.4300,0.0068,0.1600,2.0000,0.0000,0.0000
0.005,22.8776,-5.4300,0.0076,0.1700,2.0000,0.0000,0.0000
0.005,22.8785,-5.4300,0.0086,0.1800,2.0000,0.0000,0.0000
0.005,22.8795,-5.4300,0.0095,0.1900,2.0000,0.0000,0.0000
0.005,22.8805,-5.4300,0.0105,0.2000,2.0000,0.0000,0.0000
0.005,22.8815,-5.4300,0.0116,0.2100,2.0000,0.0000,0.0000
0.005,22.8826,-5.4300,0.0127,0.2200,2.0000,0.0000,0.0000
0.005,22.8838,-5.4300,0.0138,0.2300,2.0000,0.0000,0.0000
0.005,22.8850,-5.4300,0.0150,0.2400,2.0000,0.0000,0.0000
0.005,22.8862,-5.4300,0.0163,0.2500,2.0000,0.0000,0.0000
0.005,22.8875,-5.4300,0.0175,0.2600,2.0000,0.0000,0.0000
0.005,22.8889,-5.4300,0.0189,0.2700,2.0000,0.0000,0.0000
0.005,22.8903,-5.4300,0.0203,0.2800,2.0000,0.0000,0.0000
0.005,22.8917,-5.4300,0.0218,0.2900,2.0000,0.0000,0.0000
0.005,22.8932,-5.4300,0.0233,0.3000,2.0000,0.0000,0.0000
0.005,22.8948,-5.4300,0.0248,0.3100,2.0000,0.0000,0.0000
0.005,22.8964,-5.4300,0.0264,0.3200,2.0000,0.0000,0.0000
0.005,22.8980,-5.4300,0.0281,0.3300,2.0000,0.0000,0.0000
0.005,22.8997,-5.4300,0.0298,0.3400,2.0000,0.0000,0.0000
0.005,22.9015,-5.4300,0.0315,0.3500,2.0000,0.0000,0.0000
0.005,22.9033,-5.4300,0.0333,0.3600,2.0000,0.0000,0.0000
0.005,22.9051,-5.4300,0.0352,0.3700,2.0000,0.0000,0.0000
0.005,22.9070,-5.4300,0.0371,0.3800,2.0000,0.0000,0.0000
0.005,22.9090,-5.4300,0.0390,0.3900,2.0000,0.0000,0.0000
0.005,22.9110,-5.4300,0.0410,0.4000,2.0000,0.0000,0.0000
0.005,22.9130,-5.4300,0.0431,0.4100,2.0000,0.0000,-0.0001
0.005,22.9151,-5.4300,0.0452,0.4200,2.0000,0.0000,-0.0001
0.005,22.9173,-5.4300,0.0473,0.4300,2.0000,0.0000,-0.0001
0.005,22.9195,-5.4300,0.0495,0.4400,2.0000,0.0000,-0.0001
