dt,x,y,position,velocity,acceleration,jerk,heading
0.005,22.8701,-4.2300,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,22.8702,-4.2300,0.0002,0.0200,2.0000,0.0055,0.0000
0.005,22.8703,-4.2300,0.0003,0.0300,2.0001,0.0076,0.0000
0.005,22.8705,-4.2300,0.0005,0.0400,2.0001,0.0124,0.0000
0.005,22.8708,-4.2300,0.0008,0.0500,2.0002,0.0165,0.0000
0.005,22.8711,-4.2300,0.0011,0.0600,2.0003,0.0206,0.0000
0.005,22.8714,-4.2300,0.0014,0.0700,2.0004,0.0247,0.0000
0.005,22.8718,-4.2300,0.0018,0.0800,2.0006,0.0289,0.0000
0.005,22.8723,-4.2300,0.0023,0.0900,2.0007,0.0330,0.0000
0.005,22.8728,-4.2300,0.0028,0.1000,2.0009,0.0371,0.0000
0.005,22.8733,-4.2300,0.0033,0.1100,2.0011,0.0412,0.0000
0.005,22.8739,-4.2300,0.0039,0.1200,2.0014,0.0453,0.0000
0.005,22.8746,-4.2300,0.0046,0.1300,2.0016,0.0493,0.0000
0.005,22.8753,-4.2300,0.0053,0.1400,2.0019,0.0534,0.0000
0.005,22.8760,-4.2300,0.0060,0.1501,2.0022,0.0575,0.0000
0.005,22.8768,-4.2300,0.0068,0.1601,2.0025,0.0615,0.0000
0.005,22.8777,-4.2300,0.0077,0.1701,2.0028,0.0656,0.0000
0.005,22.8786,-4.2300,0.0086,0.1801,2.0031,0.0696,0.0000
0.005,22.8795,-4.2300,0.0095,0.1901,2.0035,0.0736,0.0000
0.005,22.8805,-4.2300,0.0105,0.2001,2.0039,0.0776,0.0000
0.005,22.8816,-4.2300,0.0116,0.2102,2.0043,0.0816,0.0000
0.005,22.8827,-4.2300,0.0127,0.2202,2.0047,0.0856,0.0000
0.005,22.8838,-4.2300,0.0138,0.2302,2.0052,0.0896,0.0000
0.005,22.8850,-4.2300,0.0150,0.2402,2.0057,0.0935,0.0000
0.005,22.8863,-4.2300,0.0163,0.2503,2.0061,0.0975,0.0000
0.005,22.8876,-4.2300,0.0176,0.2603,2.0066,0.1014,0.0000
0.005,22.8889,-4.2300,0.0189,0.2703,2.0072,0.1052,0.0000
0.005,22.8903,-4.2300,0.0203,0.2804,2.0077,0.1092,0.0000
0.005,22.8918,-4.2300,0.0218,0.2904,2.0083,0.1130,0.0000
0.005,22.8933,-4.2300,0.0233,0.3005,2.0089,0.1169,0.0000
0.005,22.8948,-4.2300,0.0248,0.3105,2.0095,0.1207,0.0000
0.005,22.8964,-4.2300,0.0264,0.3206,2.0101,0.1245,0.0000
0.005,22.8981,-4.2300,0.0281,0.3306,2.0107,0.1283,0.0000
0.005,22.8998,-4.2300,0.0298,0.3407,2.0114,0.1320,0.0000
0.005,22.9015,-4.2300,0.0315,0.3507,2.0121,0.1357,0.0000
0.005,22.9033,-4.2300,0.0333,0.3608,2.0128,0.1394,0.0000
0.005,22.9052,-4.2300,0.0352,0.3709,2.0135,0.1431,0.0000
0.005,22.9071,-4.2300,0.0371,0.3809,2.0142,0.1468,0.0000
0.005,22.9091,-4.2300,0.0391,0.3910,2.0150,0.1504,0.0000
0.005,22.9111,-4.2300,0.0411,0.4011,2.0157,0.1540,0.0000
0.005,22.9131,-4.2300,0.0431,0.4112,2.0165,0.1576,-0.0001
0.005,22.9152,-4.2300,0.0452,0.4213,2.0173,0.1611,-0.0001
0.005,22.9174,-4.2300,0.0474,0.4313,2.0182,0.1647,-0.0001
0.005,22.9196,-4.2300,0.0496,0.4414,2.0190,0.1681,-0.0001
0.005,22.9218,-4.2300,0.0518,0.4515,2.0199,0.1716,-0.0001
0.005,22.9241,-4.2300,0.0541,0.4616,2.0207,0.1750,-0.0001
0.005,22.9265,-4.2300,0.0565,0.4718,2.0216,0.1784,-0.0001
0.005,22.9289,-4.2300,0.0589,0.4819,2.0225,0.1817,-0.0001
0.005,22.9314,-4.2300,0.0614,0.4920,2.0235,0.1852,-0.0001
0.005,22.9339,-4.2300,0.0639,0.5021,2.0244,0.1883,-0.0001
0.005,22.9364,-4.2300,0.0664,0.5122,2.0254,0.1917,-0.0001
0.005,22.9391,-4.2300,0.0691,0.5224,2.0263,0.1948,-0.0001
0.005,22.9417,-4.2300,0.0717,0.5325,2.0273,0.1981,-0.0001
0.005,22.9444,-4.2300,0.0744,0.5426,2.0283,0.2011,-0.0002
0.005,22.9472,-4.2300,0.0772,0.5528,2.0294,0.2043,-0.0002
0.005,22.9500,-4.2300,0.0800,0.5629,2.0304,0.2073,-0.0002
0.005,22.9529,-4.2300,0.0829,0.5731,2.0314,0.2103,-0.0002
0.005,22.9558,-4.2300,0.0858,0.5833,2.0325,0.2134,-0.0002
0.005,22.9588,-4.2300,0.0888,0.5934,2.0336,0.2162,-0.0002
