dt,x,y,position,velocity,acceleration,jerk,heading
0.005,22.8700,-6.6300,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,22.8701,-6.6300,0.0001,0.0200,2.0000,-0.0055,0.0000
0.005,22.8703,-6.6300,0.0003,0.0300,1.9999,-0.0076,0.0000
0.005,22.8705,-6.6300,0.0005,0.0400,1.9999,-0.0124,0.0000
0.005,22.8707,-6.6300,0.0007,0.0500,1.9998,-0.0165,0.0000
0.005,22.8710,-6.6300,0.0010,0.0600,1.9997,-0.0206,0.0000
0.005,22.8714,-6.6300,0.0014,0.0700,1.9996,-0.0247,0.0000
0.005,22.8718,-6.6300,0.0018,0.0800,1.9994,-0.0289,0.0000
0.005,22.8722,-6.6300,0.0022,0.0900,1.9993,-0.0330,0.0000
0.005,22.8727,-6.6300,0.0027,0.1000,1.9991,-0.0371,0.0000
0.005,22.8733,-6.6300,0.0033,0.1100,1.9989,-0.0412,0.0000
0.005,22.8739,-6.6300,0.0039,0.1200,1.9986,-0.0452,0.0000
0.005,22.8745,-6.6300,0.0045,0.1300,1.9984,-0.0493,0.0000
0.005,22.8752,-6.6300,0.0052,0.1400,1.9981,-0.0534,0.0000
0.005,22.8760,-6.6300,0.0060,0.1499,1.9978,-0.0575,0.0000
0.005,22.8768,-6.6300,0.0068,0.1599,1.9975,-0.0615,0.0000
0.005,22.8776,-6.6300,0.0076,0.1699,1.9972,-0.0656,0.0000
0.005,22.8785,-6.6300,0.0085,0.1799,1.9969,-0.0696,0.0000
0.005,22.8795,-6.6300,0.0095,0.1899,1.9965,-0.0736,0.0000
0.005,22.8805,-6.6300,0.0105,0.1999,1.9961,-0.0776,0.0000
0.005,22.8815,-6.6300,0.0115,0.2098,1.9957,-0.0816,0.0000
0.005,22.8826,-6.6300,0.0126,0.2198,1.9953,-0.0856,0.0000
0.005,22.8838,-6.6300,0.0138,0.2298,1.9948,-0.0896,0.0000
0.005,22.8850,-6.6300,0.0150,0.2398,1.9943,-0.0935,0.0000
0.005,22.8862,-6.6300,0.0162,0.2497,1.9939,-0.0974,0.0000
0.005,22.8875,-6.6300,0.0175,0.2597,1.9934,-0.1014,0.0000
0.005,22.8889,-6.6300,0.0189,0.2697,1.9928,-0.1053,0.0000
0.005,22.8903,-6.6300,0.0203,0.2796,1.9923,-0.1091,0.0000
0.005,22.8917,-6.6300,0.0217,0.2896,1.9917,-0.1130,0.0000
0.005,22.8932,-6.6300,0.0232,0.2995,1.9911,-0.1168,0.0000
0.005,22.8948,-6.6300,0.0248,0.3095,1.9905,-0.1207,0.0000
0.005,22.8964,-6.6300,0.0264,0.3194,1.9899,-0.1245,0.0000
0.005,22.8980,-6.6300,0.0280,0.3294,1.9893,-0.1282,0.0000
0.005,22.8997,-6.6300,0.0297,0.3393,1.9886,-0.1320,0.0000
0.005,22.9015,-6.6300,0.0315,0.3493,1.9879,-0.1357,0.0000
0.005,22.9033,-6.6300,0.0333,0.3592,1.9872,-0.1395,0.0000
0.005,22.9051,-6.6300,0.0351,0.3691,1.9865,-0.1431,0.0000
0.005,22.9070,-6.6300,0.0370,0.3791,1.9858,-0.1467,0.0000
0.005,22.9089,-6.6300,0.0389,0.3890,1.9850,-0.1505,0.0000
0.005,22.9109,-6.6300,0.0409,0.3989,1.9843,-0.1540,0.0000
0.005,22.9130,-6.6300,0.0430,0.4088,1.9835,-0.1575,-0.0001
0.005,22.9151,-6.6300,0.0451,0.4187,1.9827,-0.1612,-0.0001
0.005,22.9172,-6.6300,0.0472,0.4287,1.9818,-0.1646,-0.0001
0.005,22.9194,-6.6300,0.0494,0.4386,1.9810,-0.1681,-0.0001
0.005,22.9217,-6.6300,0.0517,0.4485,1.9801,-0.1716,-0.0001
0.005,22.9240,-6.6300,0.0540,0.4584,1.9793,-0.1750,-0.0001
0.005,22.9263,-6.6300,0.0563,0.4682,1.9784,-0.1784,-0.0001
0.005,22.9287,-6.6300,0.0587,0.4781,1.9775,-0.1818,-0.0001
0.005,22.9311,-6.6300,0.0611,0.4880,1.9765,-0.1850,-0.0001
0.005,22.9336,-6.6300,0.0636,0.4979,1.9756,-0.1884,-0.0001
0.005,22.9362,-6.6300,0.0662,0.5078,1.9746,-0.1916,-0.0001
0.005,22.9387,-6.6300,0.0687,0.5176,1.9737,-0.1949,-0.0001
0.005,22.9414,-6.6300,0.0714,0.5275,1.9727,-0.1980,-0.0001
0.005,22.9441,-6.6300,0.0741,0.5374,1.9717,-0.2012,-0.0002
0.005,22.9468,-6.6300,0.0768,0.5472,1.9706,-0.2042,-0.0002
0.005,22.9496,-6.6300,0.0796,0.5571,1.9696,-0.2074,-0.0002
0.005,22.9524,-6.6300,0.0824,0.5669,1.9686,-0.2104,-0.0002
0.005,22.9553,-6.6300,0.0853,0.5767,1.9675,-0.2132,-0.0002
0.005,22.9582,-6.6300,0.0882,0.5866,1.9664,-0.2163,-0.0002
0.005,22.9612,-6.6300,0.0912,0.5964,1.9653,-0.2191,-0.0002
0.005,22.9642,-6.6300,0.0942,0.6062,1.9642,-0.2221,-0.0003
0.005,22.9673,-6.6300,0.0973,0.6160,1.9631,-0.2248,-0.0003
0.005,22.9705,-6.6300,0.1005,0.6258,1.9619,-0.2275,-0.0003
0.005,22.9736,-6.6300,0.1036,0.6356,1.9608,-0.2303,-0.0003
0.005,22.9769,-6.6300,0.1069,0.6454,1.9596,-0.2330,-0.0003
0.005,22.9801,-6.6300,0.1101,0.6552,1.9584,-0.2356,-0.0003
0.005,22.9835,-6.6300,0.1135,0.6650,1.9573,-0.2381,-0.0004
0.005,22.9868,-6.6300,0.1168,0.6748,1.9561,-0.2408,-0.0004
0.005,22.9903,-6.6300,0.1203,0.6846,1.9548,-0.2431,-0.0004
0.005,22.9937,-6.6300,0.1237,0.6943,1.9536,-0.2458,-0.0004
0.005,22.9973,-6.6300,0.1273,0.7041,1.9524,-0.2479,-0.0005
0.005,23.0008,-6.6300,0.1308,0.7139,1.9511,-0.2503,-0.0005
0.005,23.0044,-6.6300,0.1344,0.7236,1.9499,-0.2526,-0.0005
0.005,23.0081,-6.6300,0.1381,0.7334,1.9486,-0.2548,-0.0005
0.005,23.0118,-6.6300,0.1418,0.7431,1.9473,-0.2569,-0.0006
0.005,23.0156,-6.6300,0.1456,0.7528,1.9460,-0.2591,-0.0006
0.005,23.0194,-6.6300,0.1494,0.7625,1.9447,-0.2610,-0.0006
0.005,23.0233,-6.6300,0.1533,0.7723,1.9434,-0.2632,-0.0007
0.005,23.0272,-6.6300,0.1572,0.7820,1.9421,-0.2650,-0.0007
0.005,23.0311,-6.6300,0.1611,0.7917,1.9407,-0.2667,-0.0007
0.005,23.0351,-6.6300,0.1651,0.8014,1.9394,-0.2689,-0.0008
0.005,23.0392,-6.6300,0.1692,0.8111,1.9380,-0.2704,-0.0008
0.005,23.0433,-6.6300,0.1733,0.8207,1.9367,-0.2722,-0.0008
0.005,23.0474,-6.6301,0.1774,0.8304,1.9353,-0.2738,-0.0009
0.005,23.0516,-6.6301,0.1816,0.8401,1.9339,-0.2754,-0.0009
0.005,23.0559,-6.6301,0.1859,0.8498,1.9325,-0.2770,-0.0010
0.005,23.0602,-6.6301,0.1902,0.8594,1.9311,-0.2784,-0.0010
0.005,23.0645,-6.6301,0.1945,0.8691,1.9297,-0.2796,-0.0010
0.005,23.0689,-6.6301,0.1989,0.8787,1.9283,-0.2811,-0.0011
0.005,23.0734,-6.6301,0.2034,0.8883,1.9269,-0.2822,-0.0011
0.005,23.0779,-6.6301,0.2079,0.8980,1.9255,-0.2839,-0.0012
0.005,23.0824,-6.6301,0.2124,0.9076,1.9241,-0.2843,-0.0012
0.005,23.0870,-6.6301,0.2170,0.9172,1.9227,-0.2857,-0.0013
0.005,23.0916,-6.6301,0.2216,0.9268,1.9212,-0.2870,-0.0014
0.005,23.0963,-6.6301,0.2263,0.9364,1.9198,-0.2872,-0.0014
0.005,23.1010,-6.6301,0.2310,0.9460,1.9183,-0.2886,-0.0015
0.005,23.1058,-6.6301,0.2358,0.9556,1.9169,-0.2890,-0.0015
0.005,23.1106,-6.6301,0.2406,0.9652,1.9154,-0.2901,-0.0016
0.005,23.1155,-6.6301,0.2455,0.9747,1.9140,-0.2903,-0.0017
0.005,23.1204,-6.6301,0.2504,0.9843,1.9125,-0.2911,-0.0017
0.005,23.1254,-6.6302,0.2554,0.9938,1.9111,-0.2914,-0.0018
0.005,23.1304,-6.6302,0.2604,1.0034,1.9096,-0.2921,-0.0019
0.005,23.1355,-6.6302,0.2655,1.0129,1.9082,-0.2921,-0.0019
0.005,23.1406,-6.6302,0.2706,1.0225,1.9067,-0.2926,-0.0020
0.005,23.1458,-6.6302,0.2758,1.0320,1.9052,-0.2927,-0.0021
0.005,23.1510,-6.6302,0.2810,1.0415,1.9038,-0.2929,-0.0022
0.005,23.1562,-6.6302,0.2862,1.0510,1.9023,-0.2928,-0.0022
0.005,23.1615,-6.6302,0.2915,1.0605,1.9008,-0.2928,-0.0023
0.005,23.1669,-6.6302,0.2969,1.0700,1.8994,-0.2926,-0.0024
0.005,23.1723,-6.6303,0.3023,1.0795,1.8979,-0.2923,-0.0025
0.005,23.1777,-6.6303,0.3077,1.0890,1.8965,-0.2925,-0.0026
0.005,23.1832,-6.6303,0.3132,1.0985,1.8950,-0.2914,-0.0027
0.005,23.1887,-6.6303,0.3187,1.1079,1.8935,-0.2916,-0.0028
0.005,23.1943,-6.6303,0.3243,1.1174,1.8921,-0.2905,-0.0028
0.005,23.2000,-6.6303,0.3300,1.1269,1.8906,-0.2904,-0.0029
0.005,23.2056,-6.6303,0.3357,1.1363,1.8892,-0.2891,-0.0030
0.005,23.2114,-6.6304,0.3414,1.1457,1.8877,-0.2892,-0.0031
0.005,23.2172,-6.6304,0.3472,1.1552,1.8863,-0.2876,-0.0032
0.005,23.2230,-6.6304,0.3530,1.1646,1.8849,-0.2868,-0.0034
0.005,23.2288,-6.6304,0.3588,1.1740,1.8834,-0.2860,-0.0035
0.005,23.2348,-6.6304,0.3648,1.1834,1.8820,-0.2847,-0.0036
0.005,23.2407,-6.6305,0.3707,1.1928,1.8806,-0.2835,-0.0037
0.005,23.2467,-6.6305,0.3767,1.2022,1.8792,-0.2824,-0.0038
