dt,x,y,position,velocity,acceleration,jerk,heading
0.005,31.6901,-5.5400,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,31.6904,-5.5400,0.0004,0.0500,5.0000,0.0000,0.0000
0.005,31.6908,-5.5400,0.0008,0.0750,5.0000,0.0000,0.0000
0.005,31.6913,-5.5400,0.0013,0.1000,5.0000,0.0000,0.0000
0.005,31.6919,-5.5400,0.0019,0.1250,5.0000,0.0000,0.0000
0.005,31.6926,-5.5400,0.0026,0.1500,5.0000,0.0000,0.0000
0.005,31.6935,-5.5400,0.0035,0.1750,5.0000,0.0000,0.0000
0.005,31.6945,-5.5400,0.0045,0.2000,5.0000,0.0000,0.0000
0.005,31.6956,-5.5400,0.0056,0.2250,5.0000,0.0000,0.0000
0.005,31.6969,-5.5400,0.0069,0.2500,5.0000,0.0000,0.0000
0.005,31.6983,-5.5400,0.0082,0.2750,5.0000,0.0000,0.0000
0.005,31.6998,-5.5400,0.0097,0.3000,5.0000,0.0000,0.0000
0.005,31.7014,-5.5400,0.0114,0.3250,5.0000,0.0000,0.0000
0.005,31.7031,-5.5400,0.0131,0.3500,5.0000,0.0000,0.0000
0.005,31.7050,-5.5400,0.0150,0.3750,5.0000,0.0000,0.0000
0.005,31.7070,-5.5400,0.0170,0.4000,5.0000,0.0000,0.0000
0.005,31.7091,-5.5400,0.0191,0.4250,5.0000,0.0000,0.0000
0.005,31.7114,-5.5400,0.0214,0.4500,5.0000,0.0000,0.0000
0.005,31.7138,-5.5400,0.0238,0.4750,5.0000,0.0000,0.0000
0.005,31.7163,-5.5400,0.0263,0.5000,5.0000,0.0000,0.0000
0.005,31.7189,-5.5400,0.0289,0.5250,5.0000,0.0000,0.0000
0.005,31.7216,-5.5400,0.0316,0.5500,5.0000,0.0000,0.0000
0.005,31.7245,-5.5400,0.0345,0.5750,5.0000,0.0000,0.0000
0.005,31.7275,-5.5400,0.0375,0.6000,5.0000,0.0000,0.0000
0.005,31.7306,-5.5400,0.0406,0.6250,5.0000,0.0000,0.0000
0.005,31.7339,-5.5400,0.0439,0.6500,5.0000,0.0000,0.0000
0.005,31.7373,-5.5400,0.0473,0.6750,5.0000,0.0000,0.0000
0.005,31.7408,-5.5400,0.0508,0.7000,5.0000,0.0000,0.0000
0.005,31.7444,-5.5400,0.0544,0.7250,5.0000,0.0000,0.0000
0.005,31.7481,-5.5400,0.0581,0.7500,5.0000,0.0000,0.0000
0.005,31.7520,-5.5400,0.0620,0.7750,5.0000,0.0000,0.0000
0.005,31.7560,-5.5400,0.0660,0.8000,5.0000,0.0000,0.0000
0.005,31.7601,-5.5400,0.0701,0.8250,5.0000,0.0000,0.0000
0.005,31.7644,-5.5400,0.0744,0.8500,5.0000,0.0000,0.0000
0.005,31.7688,-5.5400,0.0788,0.8750,5.0000,0.0000,0.0000
0.005,31.7733,-5.5400,0.0833,0.9000,5.0000,0.0000,0.0000
0.005,31.7779,-5.5400,0.0879,0.9250,5.0000,0.0000,0.0000
0.005,31.7826,-5.5400,0.0926,0.9500,5.0000,0.0000,0.0000
0.005,31.7875,-5.5400,0.0975,0.9750,5.0000,0.0000,0.0000
0.005,31.7925,-5.5400,0.1025,1.0000,5.0000,0.0000,0.0000
0.005,31.7976,-5.5400,0.1076,1.0250,5.0000,0.0000,0.0000
0.005,31.8029,-5.5400,0.1129,1.0500,5.0000,0.0000,0.0000
0.005,31.8083,-5.5400,0.1183,1.0750,5.0000,0.0000,0.0000
0.005,31.8138,-5.5400,0.1238,1.1000,5.0000,0.0000,0.0000
0.005,31.8194,-5.5400,0.1294,1.1250,5.0000,0.0000,0.0000
0.005,31.8251,-5.5400,0.1351,1.1500,5.0000,0.0000,0.0000
