dt,x,y,position,velocity,acceleration,jerk,heading
0.005,15.0001,-11.0000,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,15.0004,-11.0000,0.0004,0.0500,5.0000,0.0000,0.0000
0.005,15.0007,-11.0000,0.0008,0.0750,5.0000,0.0000,0.0000
0.005,15.0012,-11.0000,0.0013,0.1000,5.0000,0.0000,0.0000
0.005,15.0019,-11.0000,0.0019,0.1250,5.0000,0.0000,0.0000
0.005,15.0026,-11.0000,0.0026,0.1500,5.0000,0.0000,0.0000
0.005,15.0035,-11.0000,0.0035,0.1750,5.0000,0.0000,0.0000
0.005,15.0045,-11.0000,0.0045,0.2000,5.0000,0.0000,0.0000
0.005,15.0056,-11.0000,0.0056,0.2250,5.0000,0.0000,0.0000
0.005,15.0069,-11.0000,0.0069,0.2500,5.0000,0.0000,0.0000
0.005,15.0082,-11.0000,0.0082,0.2750,5.0000,0.0000,0.0000
0.005,15.0097,-11.0000,0.0097,0.3000,5.0000,0.0000,0.0000
0.005,15.0114,-11.0000,0.0114,0.3250,5.0000,0.0000,0.0000
0.005,15.0131,-11.0000,0.0131,0.3500,5.0000,0.0000,0.0000
0.005,15.0150,-11.0000,0.0150,0.3750,5.0000,0.0000,0.0000
0.005,15.0170,-11.0000,0.0170,0.4000,5.0000,0.0000,0.0000
0.005,15.0191,-11.0000,0.0191,0.4250,5.0000,0.0000,0.0000
0.005,15.0214,-11.0000,0.0214,0.4500,5.0000,0.0000,0.0000
0.005,15.0237,-11.0000,0.0238,0.4750,5.0000,0.0000,0.0000
0.005,15.0262,-11.0000,0.0263,0.5000,5.0000,0.0000,0.0000
0.005,15.0289,-11.0000,0.0289,0.5250,5.0000,0.0000,0.0000
0.005,15.0316,-11.0000,0.0316,0.5500,5.0000,0.0000,0.0000
0.005,15.0345,-11.0000,0.0345,0.5750,5.0000,0.0000,0.0000
0.005,15.0375,-11.0000,0.0375,0.6000,5.0000,0.0000,0.0000
0.005,15.0406,-11.0000,0.0406,0.6250,5.0000,0.0000,0.0000
0.005,15.0439,-11.0000,0.0439,0.6500,5.0000,0.0000,0.0000
0.005,15.0472,-11.0000,0.0473,0.6750,5.0000,0.0000,0.0000
0.005,15.0507,-11.0000,0.0508,0.7000,5.0000,0.0000,0.0000
0.005,15.0544,-11.0000,0.0544,0.7250,5.0000,0.0000,0.0000
0.005,15.0581,-11.0000,0.0581,0.7500,5.0000,0.0000,0.0000
0.005,15.0620,-11.0000,0.0620,0.7750,5.0000,0.0000,0.0000
0.005,15.0660,-11.0000,0.0660,0.8000,5.0000,0.0000,0.0000
0.005,15.0701,-11.0000,0.0701,0.8250,5.0000,0.0000,0.0000
0.005,15.0744,-11.0000,0.0744,0.8500,5.0000,0.0000,-0.0001
0.005,15.0787,-11.0000,0.0788,0.8750,5.0000,0.0000,-0.0001
0.005,15.0832,-11.0000,0.0833,0.9000,5.0000,0.0000,-0.0001
0.005,15.0879,-11.0000,0.0879,0.9250,5.0000,0.0000,-0.0001
0.005,15.0926,-11.0000,0.0926,0.9500,5.0000,0.0000,-0.0001
0.005,15.0975,-11.0000,0.0975,0.9750,5.0000,0.0000,-0.0001
0.005,15.1025,-11.0000,0.1025,1.0000,5.0000,0.0000,-0.0001
0.005,15.1076,-11.0000,0.1076,1.0250,5.0000,0.0000,-0.0001
0.005,15.1129,-11.0000,0.1129,1.0500,5.0000,0.0000,-0.0001
0.005,15.1182,-11.0000,0.1183,1.0750,5.0000,0.0000,-0.0001
0.005,15.1237,-11.0000,0.1238,1.1000,5.0000,0.0000,-0.0001
0.005,15.1294,-11.0000,0.1294,1.1250,5.0000,0.0000,-0.0002
0.005,15.1351,-11.0000,0.1351,1.1500,5.0000,0.0000,-0.0002
0.005,15.1410,-11.0000,0.1410,1.1750,5.0000,0.0000,-0.0002
0.005,15.1470,-11.0000,0.1470,1.2000,5.0000,0.0000,-0.0002
0.005,15.1531,-11.0000,0.1531,1.2250,5.0000,0.0000,-0.0002
0.005,15.1594,-11.0000,0.1594,1.2500,5.0000,0.0000,-0.0002
0.005,15.1657,-11.0000,0.1658,1.2750,5.0000,0.0000,-0.0003
0.005,15.1722,-11.0000,0.1723,1.3000,5.0000,0.0000,-0.0003
0.005,15.1789,-11.0000,0.1789,1.3250,5.0000,0.0000,-0.0003
0.005,15.1856,-11.0000,0.1856,1.3500,5.0000,0.0000,-0.0003
0.005,15.1925,-11.0000,0.1925,1.3750,5.0000,0.0000,-0.0004
0.005,15.1995,-11.0000,0.1995,1.4000,5.0000,0.0000,-0.0004
0.005,15.2066,-11.0000,0.2066,1.4250,5.0000,0.0000,-0.0004
0.005,15.2139,-11.0000,0.2139,1.4500,5.0000,0.0000,-0.0004
0.005,15.2212,-11.0000,0.2213,1.4750,5.0000,0.0000,-0.0005
0.005,15.2287,-11.0000,0.2288,1.5000,5.0000,0.0000,-0.0005
0.005,15.2364,-11.0000,0.2364,1.5250,5.0000,0.0000,-0.0005
0.005,15.2441,-11.0000,0.2441,1.5500,5.0000,0.0000,-0.0006
0.005,15.2520,-11.0001,0.2520,1.5750,5.0000,0.0000,-0.0006
0.005,15.2600,-11.0001,0.2600,1.6000,5.0000,0.0000,-0.0006
0.005,15.2681,-11.0001,0.2681,1.6250,5.0000,0.0000,-0.0007
0.005,15.2764,-11.0001,0.2764,1.6500,5.0000,0.0000,-0.0007
0.005,15.2847,-11.0001,0.2847,1.6750,5.0000,0.0000,-0.0008
0.005,15.2932,-11.0001,0.2932,1.7000,5.0000,0.0000,-0.0008
0.005,15.3019,-11.0001,0.3019,1.7250,5.0000,0.0000,-0.0009
0.005,15.3106,-11.0001,0.3106,1.7500,5.0000,0.0000,-0.0009
0.005,15.3195,-11.0001,0.3195,1.7750,5.0000,0.0000,-0.0010
0.005,15.3285,-11.0001,0.3285,1.8000,5.0000,0.0000,-0.0010
0.005,15.3376,-11.0001,0.3376,1.8250,5.0000,0.0000,-0.0011
0.005,15.3469,-11.0001,0.3469,1.8500,5.0000,0.0000,-0.0011
0.005,15.3562,-11.0001,0.3562,1.8750,5.0000,0.0000,-0.0012
0.005,15.3657,-11.0002,0.3657,1.9000,5.0000,0.0000,-0.0012
0.005,15.3754,-11.0002,0.3754,1.9250,5.0000,0.0000,-0.0013
0.005,15.3851,-11.0002,0.3851,1.9500,5.0000,0.0000,-0.0014
0.005,15.3950,-11.0002,0.3950,1.9750,5.0000,0.0000,-0.0014
0.005,15.4050,-11.0002,0.4050,2.0000,5.0000,0.0000,-0.0015
0.005,15.4151,-11.0002,0.4151,2.0250,5.0000,0.0000,-0.0016
0.005,15.4254,-11.0002,0.4254,2.0500,5.0000,0.0000,-0.0017
0.005,15.4357,-11.0003,0.4357,2.0750,5.0000,0.0000,-0.0017
0.005,15.4462,-11.0003,0.4462,2.1000,5.0000,0.0000,-0.0018
0.005,15.4569,-11.0003,0.4569,2.1250,5.0000,0.0000,-0.0019
0.005,15.4676,-11.0003,0.4676,2.1500,5.0000,0.0000,-0.0020
0.005,15.4785,-11.0003,0.4785,2.1750,5.0000,0.0000,-0.0021
0.005,15.4895,-11.0004,0.4895,2.2000,5.0000,0.0000,-0.0022
0.005,15.5006,-11.0004,0.5006,2.2250,5.0000,0.0000,-0.0023
0.005,15.5119,-11.0004,0.5119,2.2500,5.0000,0.0000,-0.0024
0.005,15.5232,-11.0004,0.5232,2.2750,5.0000,0.0000,-0.0025
0.005,15.5347,-11.0005,0.5347,2.3000,5.0000,0.0000,-0.0026
0.005,15.5464,-11.0005,0.5464,2.3250,5.0000,0.0000,-0.0027
0.005,15.5581,-11.0005,0.5581,2.3500,5.0000,0.0000,-0.0028
0.005,15.5700,-11.0006,0.5700,2.3750,5.0000,0.0000,-0.0029
0.005,15.5820,-11.0006,0.5820,2.4000,5.0000,0.0000,-0.0030
0.005,15.5941,-11.0006,0.5941,2.4250,5.0000,0.0000,-0.0032
0.005,15.6064,-11.0007,0.6064,2.4500,5.0000,0.0000,-0.0033
0.005,15.6187,-11.0007,0.6187,2.4750,5.0000,0.0000,-0.0034
0.005,15.6312,-11.0008,0.6312,2.5000,5.0000,0.0000,-0.0035
0.005,15.6439,-11.0008,0.6439,2.5250,5.0000,0.0000,-0.0037
0.005,15.6566,-11.0009,0.6566,2.5500,5.0000,0.0000,-0.0038
0.005,15.6695,-11.0009,0.6695,2.5750,5.0000,0.0000,-0.0040
0.005,15.6825,-11.0010,0.6825,2.6000,5.0000,0.0000,-0.0041
0.005,15.6956,-11.0010,0.6956,2.6250,5.0000,0.0000,-0.0043
0.005,15.7089,-11.0011,0.7089,2.6500,5.0000,0.0000,-0.0044
0.005,15.7222,-11.0011,0.7222,2.6750,5.0000,0.0000,-0.0046
0.005,15.7357,-11.0012,0.7357,2.7000,5.0000,0.0000,-0.0047
0.005,15.7494,-11.0013,0.7494,2.7250,5.0000,0.0000,-0.0049
0.005,15.7631,-11.0013,0.7631,2.7500,5.0000,0.0000,-0.0051
0.005,15.7770,-11.0014,0.7770,2.7750,5.0000,0.0000,-0.0052
0.005,15.7910,-11.0015,0.7910,2.8000,5.0000,0.0000,-0.0054
0.005,15.8051,-11.0016,0.8051,2.8250,5.0000,0.0000,-0.0056
0.005,15.8194,-11.0016,0.8194,2.8500,5.0000,0.0000,-0.0058
0.005,15.8337,-11.0017,0.8337,2.8750,5.0000,0.0000,-0.0060
0.005,15.8482,-11.0018,0.8482,2.9000,5.0000,0.0000,-0.0062
0.005,15.8629,-11.0019,0.8629,2.9250,5.0000,0.0000,-0.0064
0.005,15.8776,-11.0020,0.8776,2.9500,5.0000,0.0000,-0.0066
0.005,15.8925,-11.0021,0.8925,2.9750,5.0000,0.0000,-0.0068
0.005,15.9075,-11.0022,0.9075,3.0000,5.0000,0.0000,-0.0070
0.005,15.9226,-11.0023,0.9226,3.0250,5.0000,0.0000,-0.0072
0.005,15.9379,-11.0024,0.9379,3.0500,5.0000,0.0000,-0.0074
0.005,15.9532,-11.0025,0.9532,3.0750,5.0000,0.0000,-0.0077
0.005,15.9687,-11.0027,0.9687,3.1000,5.0000,0.0000,-0.0079
0.005,15.9844,-11.0028,0.9844,3.1250,5.0000,0.0000,-0.0081
0.005,16.0001,-11.0029,1.0001,3.1500,5.0000,0.0000,-0.0084
0.005,16.0160,-11.0030,1.0160,3.1750,5.0000,0.0000,-0.0086
0.005,16.0320,-11.0032,1.0320,3.2000,5.0000,0.0000,-0.0089
0.005,16.0481,-11.0033,1.0481,3.2250,5.0000,0.0000,-0.0091
0.005,16.0644,-11.0035,1.0644,3.2500,5.0000,0.0000,-0.0094
