dt,x,y,position,velocity,acceleration,jerk,heading
0.005,15.0001,-9.8000,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,15.0004,-9.8000,0.0004,0.0500,5.0001,0.0117,0.0000
0.005,15.0008,-9.8000,0.0008,0.0750,5.0001,0.0161,0.0000
0.005,15.0013,-9.8000,0.0013,0.1000,5.0003,0.0264,0.0000
0.005,15.0019,-9.8000,0.0019,0.1250,5.0004,0.0352,0.0000
0.005,15.0026,-9.8000,0.0026,0.1500,5.0007,0.0440,0.0000
0.005,15.0035,-9.8000,0.0035,0.1750,5.0009,0.0528,0.0000
0.005,15.0045,-9.8000,0.0045,0.2000,5.0012,0.0615,0.0000
0.005,15.0056,-9.8000,0.0056,0.2250,5.0016,0.0702,0.0000
0.005,15.0069,-9.8000,0.0069,0.2500,5.0020,0.0790,0.0000
0.005,15.0083,-9.8000,0.0083,0.2750,5.0024,0.0877,0.0000
0.005,15.0098,-9.8000,0.0098,0.3001,5.0029,0.0964,0.0000
0.005,15.0114,-9.8000,0.0114,0.3251,5.0034,0.1050,0.0000
0.005,15.0131,-9.8000,0.0131,0.3501,5.0040,0.1136,0.0000
0.005,15.0150,-9.8000,0.0150,0.3751,5.0046,0.1222,0.0000
0.005,15.0170,-9.8000,0.0170,0.4001,5.0053,0.1308,0.0000
0.005,15.0191,-9.8000,0.0191,0.4252,5.0060,0.1393,0.0000
0.005,15.0214,-9.8000,0.0214,0.4502,5.0067,0.1478,0.0000
0.005,15.0238,-9.8000,0.0238,0.4753,5.0075,0.1563,0.0000
0.005,15.0263,-9.8000,0.0263,0.5003,5.0083,0.1646,0.0000
0.005,15.0289,-9.8000,0.0289,0.5253,5.0092,0.1730,0.0000
0.005,15.0316,-9.8000,0.0316,0.5504,5.0101,0.1813,0.0000
0.005,15.0345,-9.8000,0.0345,0.5754,5.0110,0.1896,0.0000
0.005,15.0375,-9.8000,0.0375,0.6005,5.0120,0.1978,0.0000
0.005,15.0406,-9.8000,0.0406,0.6256,5.0130,0.2060,0.0000
0.005,15.0439,-9.8000,0.0439,0.6506,5.0141,0.2140,0.0000
0.005,15.0473,-9.8000,0.0473,0.6757,5.0152,0.2222,0.0000
0.005,15.0508,-9.8000,0.0508,0.7008,5.0164,0.2300,0.0000
0.005,15.0544,-9.8000,0.0544,0.7259,5.0176,0.2380,0.0000
0.005,15.0582,-9.8000,0.0582,0.7510,5.0188,0.2458,0.0000
0.005,15.0620,-9.8000,0.0620,0.7761,5.0201,0.2536,0.0000
0.005,15.0661,-9.8000,0.0661,0.8012,5.0214,0.2613,0.0000
0.005,15.0702,-9.8000,0.0702,0.8263,5.0227,0.2690,0.0000
0.005,15.0744,-9.8000,0.0744,0.8514,5.0241,0.2766,-0.0001
0.005,15.0788,-9.8000,0.0788,0.8765,5.0255,0.2839,-0.0001
0.005,15.0833,-9.8000,0.0833,0.9017,5.0270,0.2915,-0.0001
0.005,15.0880,-9.8000,0.0880,0.9268,5.0285,0.2986,-0.0001
0.005,15.0927,-9.8000,0.0927,0.9520,5.0300,0.3061,-0.0001
0.005,15.0976,-9.8000,0.0976,0.9771,5.0316,0.3130,-0.0001
0.005,15.1026,-9.8000,0.1026,1.0023,5.0332,0.3202,-0.0001
0.005,15.1078,-9.8000,0.1078,1.0275,5.0348,0.3271,-0.0001
0.005,15.1130,-9.8000,0.1130,1.0527,5.0365,0.3339,-0.0001
0.005,15.1184,-9.8000,0.1184,1.0778,5.0382,0.3407,-0.0001
0.005,15.1239,-9.8000,0.1239,1.1030,5.0399,0.3475,-0.0001
0.005,15.1296,-9.8000,0.1296,1.1283,5.0417,0.3539,-0.0002
0.005,15.1353,-9.8000,0.1353,1.1535,5.0435,0.3603,-0.0002
0.005,15.1412,-9.8000,0.1412,1.1787,5.0453,0.3668,-0.0002
0.005,15.1472,-9.8000,0.1472,1.2039,5.0472,0.3728,-0.0002
0.005,15.1534,-9.8000,0.1534,1.2292,5.0491,0.3792,-0.0002
