dt,x,y,position,velocity,acceleration,jerk,heading
0.005,15.0001,-12.2000,0.0001,0.0250,5.0000,0.0000,0.0000
0.005,15.0004,-12.2000,0.0004,0.0500,4.9999,-0.0117,0.0000
0.005,15.0007,-12.2000,0.0007,0.0750,4.9999,-0.0161,0.0000
0.005,15.0012,-12.2000,0.0012,0.1000,4.9997,-0.0264,0.0000
0.005,15.0019,-12.2000,0.0019,0.1250,4.9996,-0.0352,0.0000
0.005,15.0026,-12.2000,0.0026,0.1500,4.9993,-0.0440,0.0000
0.005,15.0035,-12.2000,0.0035,0.1750,4.9991,-0.0528,0.0000
0.005,15.0045,-12.2000,0.0045,0.2000,4.9988,-0.0615,0.0000
0.005,15.0056,-12.2000,0.0056,0.2250,4.9984,-0.0703,0.0000
0.005,15.0069,-12.2000,0.0069,0.2500,4.9980,-0.0790,0.0000
0.005,15.0082,-12.2000,0.0082,0.2750,4.9976,-0.0877,0.0000
0.005,15.0097,-12.2000,0.0097,0.2999,4.9971,-0.0963,0.0000
0.005,15.0114,-12.2000,0.0114,0.3249,4.9966,-0.1050,0.0000
0.005,15.0131,-12.2000,0.0131,0.3499,4.9960,-0.1136,0.0000
0.005,15.0150,-12.2000,0.0150,0.3749,4.9954,-0.1222,0.0000
0.005,15.0170,-12.2000,0.0170,0.3999,4.9947,-0.1308,0.0000
0.005,15.0191,-12.2000,0.0191,0.4248,4.9940,-0.1393,0.0000
0.005,15.0214,-12.2000,0.0214,0.4498,4.9933,-0.1478,0.0000
0.005,15.0237,-12.2000,0.0237,0.4747,4.9925,-0.1562,0.0000
0.005,15.0262,-12.2000,0.0262,0.4997,4.9917,-0.1647,0.0000
0.005,15.0289,-12.2000,0.0289,0.5247,4.9908,-0.1730,0.0000
0.005,15.0316,-12.2000,0.0316,0.5496,4.9899,-0.1813,0.0000
0.005,15.0345,-12.2000,0.0345,0.5746,4.9890,-0.1896,0.0000
0.005,15.0375,-12.2000,0.0375,0.5995,4.9880,-0.1978,0.0000
0.005,15.0406,-12.2000,0.0406,0.6244,4.9870,-0.2059,0.0000
0.005,15.0439,-12.2000,0.0439,0.6494,4.9859,-0.2141,0.0000
0.005,15.0472,-12.2000,0.0472,0.6743,4.9848,-0.2220,0.0000
0.005,15.0507,-12.2000,0.0507,0.6992,4.9836,-0.2301,0.0000
0.005,15.0543,-12.2000,0.0543,0.7241,4.9824,-0.2380,0.0000
0.005,15.0581,-12.2000,0.0581,0.7490,4.9812,-0.2458,0.0000
0.005,15.0620,-12.2000,0.0620,0.7739,4.9799,-0.2537,0.0000
0.005,15.0659,-12.2000,0.0659,0.7988,4.9786,-0.2613,0.0000
0.005,15.0701,-12.2000,0.0701,0.8237,4.9773,-0.2689,0.0000
0.005,15.0743,-12.2000,0.0743,0.8486,4.9759,-0.2765,-0.0001
0.005,15.0787,-12.2000,0.0787,0.8735,4.9745,-0.2841,-0.0001
0.005,15.0832,-12.2000,0.0832,0.8983,4.9730,-0.2913,-0.0001
0.005,15.0878,-12.2000,0.0878,0.9232,4.9715,-0.2989,-0.0001
0.005,15.0925,-12.2000,0.0925,0.9480,4.9700,-0.3058,-0.0001
0.005,15.0974,-12.2000,0.0974,0.9729,4.9684,-0.3132,-0.0001
0.005,15.1024,-12.2000,0.1024,0.9977,4.9668,-0.3201,-0.0001
0.005,15.1075,-12.2000,0.1075,1.0225,4.9652,-0.3271,-0.0001
0.005,15.1127,-12.2000,0.1127,1.0473,4.9635,-0.3340,-0.0001
0.005,15.1181,-12.2000,0.1181,1.0722,4.9618,-0.3407,-0.0001
0.005,15.1236,-12.2000,0.1236,1.0970,4.9601,-0.3473,-0.0001
0.005,15.1292,-12.2000,0.1292,1.1217,4.9583,-0.3540,-0.0002
0.005,15.1349,-12.2000,0.1349,1.1465,4.9565,-0.3604,-0.0002
0.005,15.1408,-12.2000,0.1408,1.1713,4.9547,-0.3666,-0.0002
0.005,15.1468,-12.2000,0.1468,1.1961,4.9528,-0.3731,-0.0002
0.005,15.1529,-12.2000,0.1529,1.2208,4.9509,-0.3790,-0.0002
0.005,15.1591,-12.2000,0.1591,1.2456,4.9490,-0.3851,-0.0002
0.005,15.1654,-12.2000,0.1654,1.2703,4.9470,-0.3910,-0.0003
0.005,15.1719,-12.2000,0.1719,1.2950,4.9451,-0.3966,-0.0003
0.005,15.1785,-12.2000,0.1785,1.3197,4.9431,-0.4024,-0.0003
0.005,15.1852,-12.2000,0.1852,1.3444,4.9410,-0.4078,-0.0003
0.005,15.1921,-12.2000,0.1921,1.3691,4.9389,-0.4132,-0.0004
0.005,15.1990,-12.2000,0.1990,1.3938,4.9369,-0.4186,-0.0004
0.005,15.2061,-12.2000,0.2061,1.4185,4.9347,-0.4232,-0.0004
0.005,15.2134,-12.2000,0.2134,1.4432,4.9326,-0.4288,-0.0004
0.005,15.2207,-12.2000,0.2207,1.4678,4.9304,-0.4330,-0.0005
0.005,15.2282,-12.2000,0.2282,1.4925,4.9282,-0.4384,-0.0005
0.005,15.2357,-12.2000,0.2357,1.5171,4.9260,-0.4424,-0.0005
0.005,15.2434,-12.2000,0.2434,1.5417,4.9238,-0.4469,-0.0006
0.005,15.2513,-12.2001,0.2513,1.5663,4.9215,-0.4513,-0.0006
0.005,15.2592,-12.2001,0.2592,1.5909,4.9193,-0.4553,-0.0006
0.005,15.2673,-12.2001,0.2673,1.6155,4.9170,-0.4593,-0.0007
0.005,15.2755,-12.2001,0.2755,1.6401,4.9146,-0.4628,-0.0007
0.005,15.2838,-12.2001,0.2838,1.6646,4.9123,-0.4667,-0.0008
0.005,15.2923,-12.2001,0.2923,1.6892,4.9100,-0.4701,-0.0008
0.005,15.3009,-12.2001,0.3009,1.7137,4.9076,-0.4733,-0.0009
0.005,15.3095,-12.2001,0.3095,1.7382,4.9052,-0.4765,-0.0009
0.005,15.3184,-12.2001,0.3184,1.7628,4.9028,-0.4795,-0.0010
0.005,15.3273,-12.2001,0.3273,1.7873,4.9004,-0.4820,-0.0010
0.005,15.3364,-12.2001,0.3364,1.8117,4.8980,-0.4852,-0.0011
0.005,15.3455,-12.2001,0.3455,1.8362,4.8955,-0.4874,-0.0011
0.005,15.3548,-12.2001,0.3548,1.8607,4.8931,-0.4892,-0.0012
0.005,15.3643,-12.2002,0.3643,1.8851,4.8906,-0.4918,-0.0012
0.005,15.3738,-12.2002,0.3738,1.9096,4.8882,-0.4936,-0.0013
0.005,15.3835,-12.2002,0.3835,1.9340,4.8857,-0.4950,-0.0014
0.005,15.3933,-12.2002,0.3933,1.9584,4.8832,-0.4971,-0.0014
0.005,15.4032,-12.2002,0.4032,1.9828,4.8807,-0.4977,-0.0015
0.005,15.4132,-12.2002,0.4132,2.0072,4.8782,-0.4995,-0.0016
0.005,15.4234,-12.2002,0.4234,2.0316,4.8757,-0.4999,-0.0017
0.005,15.4337,-12.2003,0.4337,2.0560,4.8732,-0.5008,-0.0017
0.005,15.4441,-12.2003,0.4441,2.0803,4.8707,-0.5017,-0.0018
0.005,15.4546,-12.2003,0.4546,2.1047,4.8682,-0.5017,-0.0019
0.005,15.4652,-12.2003,0.4652,2.1290,4.8657,-0.5016,-0.0020
0.005,15.4760,-12.2003,0.4760,2.1533,4.8632,-0.5018,-0.0021
0.005,15.4869,-12.2004,0.4869,2.1776,4.8607,-0.5020,-0.0022
0.005,15.4979,-12.2004,0.4979,2.2019,4.8582,-0.5005,-0.0023
0.005,15.5090,-12.2004,0.5090,2.2262,4.8557,-0.5011,-0.0024
0.005,15.5203,-12.2004,0.5203,2.2504,4.8532,-0.4987,-0.0025
0.005,15.5317,-12.2005,0.5317,2.2747,4.8507,-0.4991,-0.0026
0.005,15.5431,-12.2005,0.5431,2.2989,4.8482,-0.4963,-0.0027
0.005,15.5548,-12.2005,0.5548,2.3232,4.8457,-0.4958,-0.0028
0.005,15.5665,-12.2006,0.5665,2.3474,4.8432,-0.4936,-0.0029
0.005,15.5784,-12.2006,0.5784,2.3716,4.8408,-0.4916,-0.0030
0.005,15.5903,-12.2006,0.5903,2.3958,4.8383,-0.4898,-0.0032
0.005,15.6024,-12.2007,0.6024,2.4200,4.8359,-0.4868,-0.0033
0.005,15.6147,-12.2007,0.6147,2.4441,4.8335,-0.4845,-0.0034
0.005,15.6270,-12.2008,0.6270,2.4683,4.8311,-0.4821,-0.0035
0.005,15.6395,-12.2008,0.6395,2.4924,4.8287,-0.4775,-0.0037
0.005,15.6520,-12.2008,0.6520,2.5166,4.8263,-0.4760,-0.0038
0.005,15.6647,-12.2009,0.6647,2.5407,4.8240,-0.4707,-0.0040
0.005,15.6776,-12.2010,0.6776,2.5648,4.8216,-0.4688,-0.0041
0.005,15.6905,-12.2010,0.6905,2.5889,4.8193,-0.4632,-0.0043
0.005,15.7036,-12.2011,0.7036,2.6130,4.8170,-0.4594,-0.0044
0.005,15.7168,-12.2011,0.7168,2.6370,4.8147,-0.4553,-0.0046
0.005,15.7301,-12.2012,0.7301,2.6611,4.8125,-0.4500,-0.0047
0.005,15.7435,-12.2012,0.7435,2.6852,4.8102,-0.4454,-0.0049
0.005,15.7570,-12.2013,0.7570,2.7092,4.8080,-0.4403,-0.0051
0.005,15.7707,-12.2014,0.7707,2.7332,4.8059,-0.4342,-0.0052
0.005,15.7845,-12.2015,0.7845,2.7572,4.8037,-0.4300,-0.0054
0.005,15.7984,-12.2015,0.7984,2.7813,4.8016,-0.4225,-0.0056
0.005,15.8124,-12.2016,0.8124,2.8053,4.7995,-0.4174,-0.0058
0.005,15.8266,-12.2017,0.8266,2.8292,4.7975,-0.4106,-0.0060
0.005,15.8408,-12.2018,0.8408,2.8532,4.7954,-0.4046,-0.0062
0.005,15.8552,-12.2019,0.8552,2.8772,4.7935,-0.3967,-0.0064
0.005,15.8697,-12.2020,0.8697,2.9011,4.7915,-0.3910,-0.0066
0.005,15.8844,-12.2021,0.8844,2.9251,4.7896,-0.3824,-0.0068
0.005,15.8991,-12.2022,0.8991,2.9490,4.7877,-0.3753,-0.0070
0.005,15.9140,-12.2023,0.9140,2.9730,4.7859,-0.3685,-0.0072
0.005,15.9289,-12.2024,0.9289,2.9969,4.7841,-0.3598,-0.0074
0.005,15.9440,-12.2025,0.9441,3.0208,4.7823,-0.3505,-0.0077
0.005,15.9593,-12.2026,0.9593,3.0447,4.7806,-0.3434,-0.0079
0.005,15.9746,-12.2027,0.9746,3.0686,4.7789,-0.3345,-0.0081
0.005,15.9901,-12.2029,0.9901,3.0925,4.7773,-0.3249,-0.0084
0.005,16.0057,-12.2030,1.0057,3.1164,4.7757,-0.3171,-0.0086
0.005,16.0214,-12.2031,1.0214,3.1402,4.7742,-0.3059,-0.0089
0.005,16.0372,-12.2033,1.0372,3.1641,4.7727,-0.2983,-0.0091
0.005,16.0531,-12.2034,1.0531,3.1879,4.7713,-0.2865,-0.0094
0.005,16.0692,-12.2036,1.0692,3.2118,4.7699,-0.2780,-0.0096
0.005,16.0854,-12.2037,1.0854,3.2356,4.7685,-0.2669,-0.0099
0.005,16.1016,-12.2039,1.1017,3.2595,4.7673,-0.2562,-0.0102
0.005,16.1181,-12.2041,1.1181,3.2833,4.7660,-0.2469,-0.0105
0.005,16.1346,-12.2042,1.1346,3.3071,4.7649,-0.2348,-0.0107
0.005,16.1513,-12.2044,1.1513,3.3309,4.7637,-0.2232,-0.0110
0.005,16.1680,-12.2046,1.1680,3.3548,4.7627,-0.2123,-0.0113
0.005,16.1849,-12.2048,1.1849,3.3786,4.7617,-0.2021,-0.0116
0.005,16.2019,-12.2050,1.2019,3.4024,4.7607,-0.1886,-0.0119
0.005,16.2191,-12.2052,1.2191,3.4262,4.7598,-0.1764,-0.0122
0.005,16.2363,-12.2054,1.2363,3.4500,4.7590,-0.1659,-0.0125
0.005,16.2537,-12.2056,1.2537,3.4738,4.7583,-0.1517,-0.0129
0.005,16.2712,-12.2059,1.2712,3.4975,4.7576,-0.1405,-0.0132
0.005,16.2888,-12.2061,1.2888,3.5213,4.7569,-0.1268,-0.0135
0.005,16.3065,-12.2064,1.3065,3.5451,4.7563,-0.1145,-0.0138
0.005,16.3243,-12.2066,1.3244,3.5689,4.7558,-0.1006,-0.0142
0.005,16.3423,-12.2069,1.3423,3.5927,4.7554,-0.0883,-0.0145
0.005,16.3604,-12.2071,1.3604,3.6164,4.7550,-0.0731,-0.0149
0.005,16.3786,-12.2074,1.3786,3.6402,4.7547,-0.0619,-0.0152
0.005,16.3969,-12.2077,1.3969,3.6640,4.7545,-0.0457,-0.0156
0.005,16.4153,-12.2080,1.4154,3.6878,4.7543,-0.0322,-0.0159
0.005,16.4339,-12.2083,1.4339,3.7115,4.7542,-0.0188,-0.0163
0.005,16.4526,-12.2086,1.4526,3.7353,4.7542,-0.0033,-0.0167
0.005,16.4713,-12.2089,1.4714,3.7591,4.7543,0.0110,-0.0171
0.005,16.4903,-12.2092,1.4903,3.7828,4.7544,0.0248,-0.0175
0.005,16.5093,-12.2096,1.5093,3.8066,4.7546,0.0406,-0.0178
0.005,16.5284,-12.2099,1.5285,3.8304,4.7549,0.0560,-0.0182
0.005,16.5477,-12.2103,1.5478,3.8542,4.7552,0.0702,-0.0186
0.005,16.5671,-12.2106,1.5672,3.8779,4.7557,0.0861,-0.0190
0.005,16.5866,-12.2110,1.5867,3.9017,4.7562,0.1022,-0.0194
0.005,16.6062,-12.2114,1.6063,3.9255,4.7568,0.1156,-0.0199
0.005,16.6260,-12.2118,1.6260,3.9493,4.7574,0.1340,-0.0203
0.005,16.6458,-12.2122,1.6459,3.9731,4.7582,0.1489,-0.0207
0.005,16.6658,-12.2126,1.6659,3.9969,4.7590,0.1633,-0.0211
0.005,16.6859,-12.2130,1.6860,4.0207,4.7599,0.1828,-0.0216
0.005,16.7061,-12.2135,1.7062,4.0445,4.7609,0.1955,-0.0220
0.005,16.7265,-12.2139,1.7266,4.0683,4.7620,0.2148,-0.0225
0.005,16.7469,-12.2144,1.7470,4.0921,4.7631,0.2287,-0.0229
0.005,16.7675,-12.2149,1.7676,4.1159,4.7643,0.2476,-0.0234
0.005,16.7882,-12.2154,1.7883,4.1398,4.7656,0.2620,-0.0238
0.005,16.8090,-12.2159,1.8091,4.1636,4.7671,0.2810,-0.0243
0.005,16.8299,-12.2164,1.8300,4.1874,4.7685,0.2953,-0.0248
0.005,16.8510,-12.2169,1.8511,4.2113,4.7701,0.3151,-0.0252
0.005,16.8721,-12.2174,1.8723,4.2351,4.7718,0.3287,-0.0257
0.005,16.8934,-12.2180,1.8936,4.2590,4.7735,0.3493,-0.0262
0.005,16.9148,-12.2186,1.9150,4.2829,4.7753,0.3637,-0.0267
0.005,16.9364,-12.2191,1.9365,4.3068,4.7772,0.3820,-0.0272
0.005,16.9580,-12.2197,1.9582,4.3307,4.7792,0.4001,-0.0277
0.005,16.9798,-12.2203,1.9799,4.3546,4.7813,0.4150,-0.0282
0.005,17.0017,-12.2210,2.0018,4.3785,4.7835,0.4354,-0.0287
0.005,17.0237,-12.2216,2.0239,4.4024,4.7857,0.4504,-0.0292
0.005,17.0458,-12.2222,2.0460,4.4264,4.7881,0.4689,-0.0297
0.005,17.0680,-12.2229,2.0682,4.4503,4.7905,0.4867,-0.0302
0.005,17.0904,-12.2236,2.0906,4.4743,4.7930,0.5025,-0.0307
0.005,17.1129,-12.2243,2.1131,4.4983,4.7956,0.5225,-0.0313
0.005,17.1355,-12.2250,2.1357,4.5223,4.7983,0.5384,-0.0318
0.005,17.1582,-12.2257,2.1584,4.5463,4.8011,0.5553,-0.0323
0.005,17.1810,-12.2265,2.1813,4.5703,4.8040,0.5759,-0.0329
0.005,17.2040,-12.2272,2.2043,4.5943,4.8069,0.5904,-0.0334
0.005,17.2271,-12.2280,2.2274,4.6184,4.8100,0.6096,-0.0340
0.005,17.2503,-12.2288,2.2506,4.6424,4.8131,0.6271,-0.0345
0.005,17.2736,-12.2296,2.2739,4.6665,4.8163,0.6432,-0.0351
0.005,17.2970,-12.2305,2.2974,4.6906,4.8196,0.6633,-0.0356
0.005,17.3206,-12.2313,2.3209,4.7147,4.8230,0.6787,-0.0362
0.005,17.3443,-12.2322,2.3446,4.7389,4.8265,0.6965,-0.0368
0.005,17.3681,-12.2331,2.3684,4.7630,4.8301,0.7161,-0.0373
0.005,17.3920,-12.2340,2.3924,4.7872,4.8338,0.7306,-0.0379
0.005,17.4160,-12.2349,2.4164,4.8114,4.8375,0.7506,-0.0385
0.005,17.4402,-12.2358,2.4406,4.8356,4.8413,0.7664,-0.0391
0.005,17.4644,-12.2368,2.4649,4.8598,4.8453,0.7842,-0.0397
0.005,17.4888,-12.2377,2.4893,4.8840,4.8493,0.8022,-0.0402
0.005,17.5134,-12.2387,2.5139,4.9083,4.8534,0.8179,-0.0408
0.005,17.5380,-12.2397,2.5385,4.9326,4.8576,0.8376,-0.0414
0.005,17.5628,-12.2408,2.5633,4.9569,4.8618,0.8516,-0.0420
0.005,17.5877,-12.2418,2.5882,4.9812,4.8662,0.8726,-0.0426
0.005,17.6127,-12.2429,2.6133,5.0056,4.8706,0.8854,-0.0432
0.005,17.6378,-12.2440,2.6384,5.0300,4.8751,0.9070,-0.0438
0.005,17.6630,-12.2451,2.6637,5.0544,4.8797,0.9192,-0.0444
0.005,17.6884,-12.2463,2.6891,5.0788,4.8844,0.9407,-0.0450
0.005,17.7139,-12.2474,2.7146,5.1032,4.8892,0.9531,-0.0457
0.005,17.7395,-12.2486,2.7402,5.1277,4.8941,0.9738,-0.0463
0.005,17.7652,-12.2498,2.7660,5.1522,4.8990,0.9872,-0.0469
0.005,17.7911,-12.2510,2.7919,5.1767,4.9040,1.0062,-0.0475
0.005,17.8171,-12.2523,2.8179,5.2013,4.9091,1.0214,-0.0481
0.005,17.8432,-12.2535,2.8440,5.2258,4.9143,1.0377,-0.0487
0.005,17.8694,-12.2548,2.8703,5.2504,4.9196,1.0556,-0.0494
0.005,17.8957,-12.2561,2.8966,5.2751,4.9250,1.0689,-0.0500
0.005,17.9222,-12.2574,2.9231,5.2997,4.9304,1.0871,-0.0506
0.005,17.9488,-12.2588,2.9497,5.3244,4.9359,1.1041,-0.0513
0.005,17.9755,-12.2602,2.9765,5.3491,4.9415,1.1184,-0.0519
0.005,18.0023,-12.2616,3.0034,5.3738,4.9472,1.1341,-0.0525
0.005,18.0293,-12.2630,3.0304,5.3986,4.9529,1.1504,-0.0531
0.005,18.0564,-12.2645,3.0575,5.4234,4.9588,1.1669,-0.0538
0.005,18.0836,-12.2659,3.0847,5.4482,4.9647,1.1824,-0.0544
0.005,18.1109,-12.2674,3.1121,5.4731,4.9706,1.1952,-0.0550
0.005,18.1383,-12.2689,3.1396,5.4980,4.9767,1.2138,-0.0557
0.005,18.1659,-12.2705,3.1672,5.5229,4.9829,1.2288,-0.0563
0.005,18.1936,-12.2721,3.1949,5.5478,4.9891,1.2418,-0.0569
0.005,18.2214,-12.2737,3.2228,5.5728,4.9954,1.2599,-0.0576
0.005,18.2494,-12.2753,3.2508,5.5978,5.0017,1.2723,-0.0582
0.005,18.2774,-12.2769,3.2789,5.6228,5.0082,1.2893,-0.0588
0.005,18.3056,-12.2786,3.3071,5.6479,5.0147,1.3024,-0.0595
0.005,18.3339,-12.2803,3.3355,5.6730,5.0213,1.3191,-0.0601
0.005,18.3624,-12.2820,3.3640,5.6982,5.0279,1.3313,-0.0607
0.005,18.3909,-12.2838,3.3926,5.7233,5.0347,1.3488,-0.0614
0.005,18.4196,-12.2855,3.4213,5.7485,5.0415,1.3608,-0.0620
0.005,18.4484,-12.2873,3.4502,5.7738,5.0484,1.3756,-0.0626
0.005,18.4774,-12.2891,3.4792,5.7991,5.0553,1.3924,-0.0633
0.005,18.5064,-12.2910,3.5083,5.8244,5.0624,1.4046,-0.0639
0.005,18.5356,-12.2929,3.5376,5.8497,5.0694,1.4183,-0.0645
0.005,18.5649,-12.2948,3.5670,5.8751,5.0766,1.4330,-0.0651
0.005,18.5944,-12.2967,3.5965,5.9005,5.0839,1.4486,-0.0658
0.005,18.6239,-12.2987,3.6261,5.9260,5.0912,1.4611,-0.0664
0.005,18.6536,-12.3006,3.6558,5.9515,5.0985,1.4746,-0.0670
0.005,18.6835,-12.3027,3.6857,5.9770,5.1060,1.4906,-0.0676
0.005,18.7134,-12.3047,3.7157,6.0026,5.1135,1.5013,-0.0682
0.005,18.7435,-12.3068,3.7459,6.0282,5.1211,1.5190,-0.0688
0.005,18.7737,-12.3089,3.7762,6.0538,5.1287,1.5287,-0.0695
0.005,18.8040,-12.3110,3.8066,6.0795,5.1365,1.5464,-0.0701
0.005,18.8344,-12.3131,3.8371,6.1052,5.1442,1.5568,-0.0707
0.005,18.8650,-12.3153,3.8677,6.1310,5.1521,1.5728,-0.0713
0.005,18.8957,-12.3175,3.8985,6.1568,5.1600,1.5857,-0.0719
0.005,18.9266,-12.3197,3.9294,6.1826,5.1680,1.5983,-0.0725
0.005,18.9575,-12.3220,3.9605,6.2085,5.1761,1.6132,-0.0730
0.005,18.9886,-12.3243,3.9916,6.2344,5.1842,1.6272,-0.0736
0.005,19.0198,-12.3266,4.0229,6.2604,5.1924,1.6407,-0.0742
0.005,19.0512,-12.3289,4.0544,6.2864,5.2007,1.6522,-0.0748
0.005,19.0826,-12.3313,4.0859,6.3124,5.2090,1.6686,-0.0754
