dt,x,y,position,velocity,acceleration,jerk,heading
0.005,17.8701,4.9000,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,17.8702,4.9000,0.0002,0.0200,2.0000,0.0000,0.0000
0.005,17.8703,4.9000,0.0003,0.0300,2.0000,0.0000,0.0000
0.005,17.8705,4.9000,0.0005,0.0400,2.0000,0.0000,0.0000
0.005,17.8708,4.9000,0.0008,0.0500,2.0000,0.0000,0.0000
0.005,17.8711,4.9000,0.0011,0.0600,2.0000,0.0000,0.0000
0.005,17.8714,4.9000,0.0014,0.0700,2.0000,0.0000,0.0000
0.005,17.8718,4.9000,0.0018,0.0800,2.0000,0.0000,0.0000
0.005,17.8723,4.9000,0.0023,0.0900,2.0000,0.0000,0.0000
0.005,17.8727,4.9000,0.0028,0.1000,2.0000,0.0000,0.0000
0.005,17.8733,4.9000,0.0033,0.1100,2.0000,0.0000,0.0000
0.005,17.8739,4.9000,0.0039,0.1200,2.0000,0.0000,0.0000
0.005,17.8746,4.9000,0.0045,0.1300,2.0000,0.0000,0.0000
0.005,17.8753,4.9000,0.0052,0.1400,2.0000,0.0000,0.0000
0.005,17.8760,4.9000,0.0060,0.1500,2.0000,0.0000,0.0000
0.005,17.8768,4.9000,0.0068,0.1600,2.0000,0.0000,0.0000
0.005,17.8777,4.9000,0.0076,0.1700,2.0000,0.0000,0.0000
0.005,17.8786,4.9000,0.0086,0.1800,2.0000,0.0000,0.0000
0.005,17.8795,4.9000,0.0095,0.1900,2.0000,0.0000,0.0000
0.005,17.8805,4.9000,0.0105,0.2000,2.0000,0.0000,0.0000
0.005,17.8815,4.9000,0.0116,0.2100,2.0000,0.0000,0.0000
0.005,17.8826,4.9000,0.0127,0.2200,2.0000,0.0000,0.0000
0.005,17.8838,4.9000,0.0138,0.2300,2.0000,0.0000,0.0000
0.005,17.8850,4.9000,0.0150,0.2400,2.0000,0.0000,0.0000
0.005,17.8862,4.9000,0.0163,0.2500,2.0000,0.0000,0.0000
0.005,17.8875,4.9000,0.0175,0.2600,2.0000,0.0000,0.0000
0.005,17.8889,4.9000,0.0189,0.2700,2.0000,0.0000,0.0000
0.005,17.8903,4.9000,0.0203,0.2800,2.0000,0.0000,0.0000
