dt,x,y,position,velocity,acceleration,jerk,heading
0.005,17.8701,6.1000,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,17.8702,6.1000,0.0002,0.0200,2.0000,0.0033,0.0000
0.005,17.8703,6.1000,0.0003,0.0300,2.0000,0.0046,0.0000
0.005,17.8705,6.1000,0.0005,0.0400,2.0001,0.0075,0.0000
0.005,17.8708,6.1000,0.0008,0.0500,2.0001,0.0100,0.0000
0.005,17.8711,6.1000,0.0011,0.0600,2.0002,0.0125,0.0000
0.005,17.8714,6.1000,0.0014,0.0700,2.0003,0.0150,0.0000
0.005,17.8718,6.1000,0.0018,0.0800,2.0004,0.0175,0.0000
0.005,17.8723,6.1000,0.0023,0.0900,2.0005,0.0200,0.0000
0.005,17.8728,6.1000,0.0028,0.1000,2.0006,0.0224,0.0000
0.005,17.8733,6.1000,0.0033,0.1100,2.0007,0.0249,0.0000
0.005,17.8739,6.1000,0.0039,0.1200,2.0008,0.0274,0.0000
0.005,17.8746,6.1000,0.0046,0.1300,2.0010,0.0298,0.0000
0.005,17.8753,6.1000,0.0053,0.1400,2.0011,0.0322,0.0000
0.005,17.8760,6.1000,0.0060,0.1500,2.0013,0.0347,0.0000
0.005,17.8768,6.1000,0.0068,0.1600,2.0015,0.0371,0.0000
0.005,17.8777,6.1000,0.0077,0.1701,2.0017,0.0395,0.0000
0.005,17.8786,6.1000,0.0086,0.1801,2.0019,0.0419,0.0000
0.005,17.8795,6.1000,0.0095,0.1901,2.0021,0.0442,0.0000
0.005,17.8805,6.1000,0.0105,0.2001,2.0024,0.0466,0.0000
0.005,17.8816,6.1000,0.0116,0.2101,2.0026,0.0489,0.0000
0.005,17.8827,6.1000,0.0127,0.2201,2.0029,0.0512,0.0000
0.005,17.8838,6.1000,0.0138,0.2301,2.0031,0.0535,0.0000
0.005,17.8850,6.1000,0.0150,0.2401,2.0034,0.0558,0.0000
0.005,17.8863,6.1000,0.0163,0.2502,2.0037,0.0581,0.0000
0.005,17.8876,6.1000,0.0176,0.2602,2.0040,0.0603,0.0000
0.005,17.8889,6.1000,0.0189,0.2702,2.0043,0.0625,0.0000
0.005,17.8903,6.1000,0.0203,0.2802,2.0046,0.0647,0.0000
0.005,17.8918,6.1000,0.0218,0.2903,2.0050,0.0668,0.0000
0.005,17.8933,6.1000,0.0233,0.3003,2.0053,0.0690,0.0000
0.005,17.8948,6.1000,0.0248,0.3103,2.0057,0.0711,0.0000
0.005,17.8964,6.1000,0.0264,0.3203,2.0060,0.0732,0.0000
0.005,17.8981,6.1000,0.0281,0.3304,2.0064,0.0752,0.0000
0.005,17.8998,6.1000,0.0298,0.3404,2.0068,0.0773,0.0000
0.005,17.9015,6.1000,0.0315,0.3504,2.0072,0.0793,0.0000
0.005,17.9033,6.1000,0.0333,0.3605,2.0076,0.0812,0.0000
0.005,17.9052,6.1000,0.0352,0.3705,2.0080,0.0832,0.0000
0.005,17.9071,6.1000,0.0371,0.3806,2.0084,0.0851,0.0000
0.005,17.9090,6.1000,0.0390,0.3906,2.0089,0.0870,0.0000
0.005,17.9110,6.1000,0.0410,0.4006,2.0093,0.0888,0.0000
0.005,17.9131,6.1000,0.0431,0.4107,2.0098,0.0906,0.0000
0.005,17.9152,6.1000,0.0452,0.4207,2.0102,0.0924,0.0000
0.005,17.9173,6.1000,0.0473,0.4308,2.0107,0.0941,0.0000
0.005,17.9195,6.1000,0.0495,0.4409,2.0112,0.0958,0.0000
0.005,17.9218,6.1000,0.0518,0.4509,2.0117,0.0975,0.0000
0.005,17.9241,6.1000,0.0541,0.4610,2.0122,0.0991,0.0000
0.005,17.9265,6.1000,0.0565,0.4710,2.0127,0.1007,-0.0001
0.005,17.9289,6.1000,0.0589,0.4811,2.0132,0.1022,-0.0001
0.005,17.9313,6.1000,0.0613,0.4912,2.0137,0.1037,-0.0001
0.005,17.9338,6.1000,0.0638,0.5012,2.0142,0.1052,-0.0001
0.005,17.9364,6.1000,0.0664,0.5113,2.0148,0.1066,-0.0001
0.005,17.9390,6.1000,0.0690,0.5214,2.0153,0.1080,-0.0001
0.005,17.9417,6.1000,0.0717,0.5315,2.0158,0.1093,-0.0001
0.005,17.9444,6.1000,0.0744,0.5416,2.0164,0.1106,-0.0001
0.005,17.9471,6.1000,0.0771,0.5516,2.0170,0.1119,-0.0001
0.005,17.9499,6.1000,0.0799,0.5617,2.0175,0.1131,-0.0001
0.005,17.9528,6.1000,0.0828,0.5718,2.0181,0.1142,-0.0001
0.005,17.9557,6.1000,0.0857,0.5819,2.0187,0.1154,-0.0001
0.005,17.9587,6.1000,0.0887,0.5920,2.0193,0.1164,-0.0001
0.005,17.9617,6.1000,0.0917,0.6021,2.0198,0.1174,-0.0001
0.005,17.9647,6.1000,0.0947,0.6122,2.0204,0.1184,-0.0001
0.005,17.9678,6.1000,0.0978,0.6223,2.0210,0.1193,-0.0002
0.005,17.9710,6.1000,0.1010,0.6324,2.0216,0.1202,-0.0002
0.005,17.9742,6.1000,0.1042,0.6425,2.0222,0.1210,-0.0002
0.005,17.9775,6.1000,0.1075,0.6527,2.0228,0.1218,-0.0002
0.005,17.9808,6.1000,0.1108,0.6628,2.0235,0.1225,-0.0002
0.005,17.9842,6.1000,0.1142,0.6729,2.0241,0.1231,-0.0002
0.005,17.9876,6.1000,0.1176,0.6830,2.0247,0.1237,-0.0002
0.005,17.9910,6.1000,0.1210,0.6931,2.0253,0.1243,-0.0002
0.005,17.9946,6.1000,0.1246,0.7033,2.0259,0.1248,-0.0003
0.005,17.9981,6.1000,0.1281,0.7134,2.0266,0.1252,-0.0003
0.005,18.0017,6.1000,0.1317,0.7235,2.0272,0.1256,-0.0003
0.005,18.0054,6.1000,0.1354,0.7337,2.0278,0.1260,-0.0003
0.005,18.0091,6.1000,0.1391,0.7438,2.0284,0.1262,-0.0003
0.005,18.0129,6.1000,0.1429,0.7540,2.0291,0.1265,-0.0003
0.005,18.0167,6.1000,0.1467,0.7641,2.0297,0.1266,-0.0003
0.005,18.0206,6.1000,0.1506,0.7743,2.0303,0.1267,-0.0004
0.005,18.0245,6.1000,0.1545,0.7844,2.0310,0.1268,-0.0004
0.005,18.0285,6.1000,0.1585,0.7946,2.0316,0.1268,-0.0004
0.005,18.0325,6.1000,0.1625,0.8047,2.0322,0.1267,-0.0004
0.005,18.0366,6.1000,0.1666,0.8149,2.0329,0.1266,-0.0004
0.005,18.0407,6.1000,0.1707,0.8251,2.0335,0.1264,-0.0005
0.005,18.0449,6.1000,0.1749,0.8352,2.0341,0.1261,-0.0005
0.005,18.0491,6.1000,0.1791,0.8454,2.0348,0.1258,-0.0005
0.005,18.0534,6.1000,0.1834,0.8556,2.0354,0.1254,-0.0005
0.005,18.0577,6.1000,0.1877,0.8658,2.0360,0.1250,-0.0006
0.005,18.0621,6.1000,0.1921,0.8760,2.0366,0.1245,-0.0006
0.005,18.0665,6.1000,0.1965,0.8861,2.0373,0.1239,-0.0006
0.005,18.0710,6.1000,0.2010,0.8963,2.0379,0.1233,-0.0006
0.005,18.0755,6.1000,0.2055,0.9065,2.0385,0.1226,-0.0007
0.005,18.0801,6.1000,0.2101,0.9167,2.0391,0.1219,-0.0007
0.005,18.0848,6.0999,0.2148,0.9269,2.0397,0.1211,-0.0007
0.005,18.0894,6.0999,0.2194,0.9371,2.0403,0.1202,-0.0007
0.005,18.0942,6.0999,0.2242,0.9473,2.0409,0.1193,-0.0008
0.005,18.0990,6.0999,0.2290,0.9575,2.0415,0.1183,-0.0008
0.005,18.1038,6.0999,0.2338,0.9677,2.0421,0.1172,-0.0008
0.005,18.1087,6.0999,0.2387,0.9780,2.0427,0.1161,-0.0009
0.005,18.1136,6.0999,0.2436,0.9882,2.0432,0.1149,-0.0009
0.005,18.1186,6.0999,0.2486,0.9984,2.0438,0.1136,-0.0009
0.005,18.1237,6.0999,0.2537,1.0086,2.0444,0.1123,-0.0010
0.005,18.1288,6.0999,0.2588,1.0188,2.0449,0.1109,-0.0010
0.005,18.1339,6.0999,0.2639,1.0291,2.0455,0.1094,-0.0011
0.005,18.1391,6.0999,0.2691,1.0393,2.0460,0.1079,-0.0011
0.005,18.1444,6.0999,0.2744,1.0495,2.0465,0.1063,-0.0011
0.005,18.1497,6.0999,0.2797,1.0598,2.0471,0.1047,-0.0012
0.005,18.1550,6.0999,0.2850,1.0700,2.0476,0.1029,-0.0012
0.005,18.1604,6.0999,0.2904,1.0802,2.0481,0.1012,-0.0013
0.005,18.1659,6.0999,0.2959,1.0905,2.0486,0.0993,-0.0013
0.005,18.1714,6.0999,0.3014,1.1007,2.0491,0.0974,-0.0013
0.005,18.1769,6.0999,0.3069,1.1110,2.0495,0.0954,-0.0014
0.005,18.1825,6.0998,0.3125,1.1212,2.0500,0.0933,-0.0014
0.005,18.1882,6.0998,0.3182,1.1315,2.0505,0.0912,-0.0015
0.005,18.1939,6.0998,0.3239,1.1417,2.0509,0.0890,-0.0015
0.005,18.1996,6.0998,0.3296,1.1520,2.0514,0.0868,-0.0016
0.005,18.2055,6.0998,0.3355,1.1622,2.0518,0.0845,-0.0016
0.005,18.2113,6.0998,0.3413,1.1725,2.0522,0.0821,-0.0017
0.005,18.2172,6.0998,0.3472,1.1828,2.0526,0.0796,-0.0017
0.005,18.2232,6.0998,0.3532,1.1930,2.0530,0.0771,-0.0018
0.005,18.2292,6.0998,0.3592,1.2033,2.0533,0.0746,-0.0018
0.005,18.2353,6.0998,0.3653,1.2136,2.0537,0.0719,-0.0019
0.005,18.2414,6.0997,0.3714,1.2238,2.0540,0.0692,-0.0020
0.005,18.2476,6.0997,0.3776,1.2341,2.0544,0.0664,-0.0020
0.005,18.2538,6.0997,0.3838,1.2444,2.0547,0.0636,-0.0021
0.005,18.2601,6.0997,0.3901,1.2547,2.0550,0.0607,-0.0021
0.005,18.2664,6.0997,0.3964,1.2649,2.0553,0.0577,-0.0022
0.005,18.2728,6.0997,0.4028,1.2752,2.0556,0.0547,-0.0023
0.005,18.2792,6.0997,0.4092,1.2855,2.0558,0.0516,-0.0023
0.005,18.2857,6.0996,0.4157,1.2958,2.0561,0.0484,-0.0024
0.005,18.2922,6.0996,0.4222,1.3061,2.0563,0.0452,-0.0025
0.005,18.2988,6.0996,0.4288,1.3163,2.0565,0.0419,-0.0025
0.005,18.3054,6.0996,0.4354,1.3266,2.0567,0.0386,-0.0026
0.005,18.3121,6.0996,0.4421,1.3369,2.0569,0.0352,-0.0027
0.005,18.3188,6.0996,0.4488,1.3472,2.0570,0.0317,-0.0027
0.005,18.3256,6.0995,0.4556,1.3575,2.0572,0.0282,-0.0028
0.005,18.3325,6.0995,0.4625,1.3678,2.0573,0.0246,-0.0029
0.005,18.3394,6.0995,0.4694,1.3781,2.0574,0.0209,-0.0030
0.005,18.3463,6.0995,0.4763,1.3883,2.0575,0.0172,-0.0030
0.005,18.3533,6.0995,0.4833,1.3986,2.0575,0.0134,-0.0031
0.005,18.3603,6.0994,0.4903,1.4089,2.0576,0.0096,-0.0032
0.005,18.3674,6.0994,0.4974,1.4192,2.0576,0.0057,-0.0033
0.005,18.3746,6.0994,0.5046,1.4295,2.0576,0.0018,-0.0034
0.005,18.3818,6.0994,0.5118,1.4398,2.0576,-0.0022,-0.0034
0.005,18.3890,6.0993,0.5190,1.4501,2.0576,-0.0063,-0.0035
0.005,18.3963,6.0993,0.5263,1.4604,2.0575,-0.0104,-0.0036
0.005,18.4037,6.0993,0.5337,1.4706,2.0575,-0.0146,-0.0037
0.005,18.4111,6.0993,0.5411,1.4809,2.0574,-0.0188,-0.0038
0.005,18.4185,6.0992,0.5485,1.4912,2.0573,-0.0231,-0.0039
0.005,18.4261,6.0992,0.5561,1.5015,2.0571,-0.0274,-0.0040
0.005,18.4336,6.0992,0.5636,1.5118,2.0570,-0.0318,-0.0041
0.005,18.4412,6.0991,0.5712,1.5221,2.0568,-0.0362,-0.0041
0.005,18.4489,6.0991,0.5789,1.5324,2.0566,-0.0407,-0.0042
0.005,18.4566,6.0991,0.5866,1.5426,2.0563,-0.0453,-0.0043
0.005,18.4644,6.0990,0.5944,1.5529,2.0561,-0.0498,-0.0044
0.005,18.4722,6.0990,0.6022,1.5632,2.0558,-0.0545,-0.0045
0.005,18.4800,6.0990,0.6100,1.5735,2.0555,-0.0591,-0.0046
0.005,18.4880,6.0989,0.6180,1.5837,2.0552,-0.0639,-0.0047
0.005,18.4959,6.0989,0.6259,1.5940,2.0549,-0.0686,-0.0048
0.005,18.5040,6.0989,0.6340,1.6043,2.0545,-0.0735,-0.0049
0.005,18.5120,6.0988,0.6420,1.6146,2.0541,-0.0783,-0.0050
0.005,18.5202,6.0988,0.6502,1.6248,2.0537,-0.0832,-0.0051
0.005,18.5283,6.0987,0.6583,1.6351,2.0533,-0.0881,-0.0052
0.005,18.5366,6.0987,0.6666,1.6454,2.0528,-0.0931,-0.0053
0.005,18.5448,6.0986,0.6748,1.6556,2.0523,-0.0981,-0.0054
0.005,18.5532,6.0986,0.6832,1.6659,2.0518,-0.1032,-0.0056
0.005,18.5615,6.0986,0.6915,1.6761,2.0512,-0.1083,-0.0057
0.005,18.5700,6.0985,0.7000,1.6864,2.0507,-0.1134,-0.0058
0.005,18.5785,6.0985,0.7085,1.6966,2.0501,-0.1186,-0.0059
0.005,18.5870,6.0984,0.7170,1.7069,2.0495,-0.1238,-0.0060
0.005,18.5956,6.0984,0.7256,1.7171,2.0488,-0.1290,-0.0061
0.005,18.6042,6.0983,0.7342,1.7274,2.0481,-0.1342,-0.0062
0.005,18.6129,6.0982,0.7429,1.7376,2.0474,-0.1395,-0.0063
0.005,18.6216,6.0982,0.7516,1.7478,2.0467,-0.1448,-0.0065
0.005,18.6304,6.0981,0.7604,1.7581,2.0460,-0.1502,-0.0066
0.005,18.6393,6.0981,0.7693,1.7683,2.0452,-0.1556,-0.0067
0.005,18.6482,6.0980,0.7782,1.7785,2.0444,-0.1609,-0.0068
0.005,18.6571,6.0980,0.7871,1.7887,2.0436,-0.1663,-0.0069
0.005,18.6661,6.0979,0.7961,1.7990,2.0427,-0.1718,-0.0070
0.005,18.6751,6.0978,0.8052,1.8092,2.0418,-0.1772,-0.0072
0.005,18.6842,6.0978,0.8143,1.8194,2.0409,-0.1827,-0.0073
0.005,18.6934,6.0977,0.8234,1.8296,2.0400,-0.1882,-0.0074
0.005,18.7026,6.0976,0.8326,1.8398,2.0390,-0.1937,-0.0075
0.005,18.7118,6.0976,0.8418,1.8500,2.0380,-0.1992,-0.0077
0.005,18.7211,6.0975,0.8511,1.8601,2.0370,-0.2047,-0.0078
0.005,18.7305,6.0974,0.8605,1.8703,2.0359,-0.2102,-0.0079
0.005,18.7399,6.0973,0.8699,1.8805,2.0348,-0.2158,-0.0080
0.005,18.7493,6.0973,0.8794,1.8907,2.0337,-0.2213,-0.0082
0.005,18.7589,6.0972,0.8889,1.9008,2.0326,-0.2269,-0.0083
0.005,18.7684,6.0971,0.8984,1.9110,2.0314,-0.2324,-0.0084
0.005,18.7780,6.0970,0.9080,1.9211,2.0302,-0.2380,-0.0086
0.005,18.7877,6.0969,0.9177,1.9313,2.0290,-0.2435,-0.0087
0.005,18.7974,6.0968,0.9274,1.9414,2.0278,-0.2491,-0.0088
0.005,18.8071,6.0968,0.9371,1.9515,2.0265,-0.2546,-0.0090
0.005,18.8169,6.0967,0.9470,1.9617,2.0252,-0.2602,-0.0091
0.005,18.8268,6.0966,0.9568,1.9718,2.0239,-0.2657,-0.0092
0.005,18.8367,6.0965,0.9667,1.9819,2.0225,-0.2712,-0.0093
0.005,18.8467,6.0964,0.9767,1.9920,2.0211,-0.2767,-0.0095
0.005,18.8567,6.0963,0.9867,2.0021,2.0197,-0.2822,-0.0096
0.005,18.8667,6.0962,0.9968,2.0122,2.0183,-0.2877,-0.0098
0.005,18.8768,6.0961,1.0069,2.0223,2.0168,-0.2931,-0.0099
0.005,18.8870,6.0960,1.0170,2.0324,2.0153,-0.2986,-0.0100
0.005,18.8972,6.0959,1.0272,2.0424,2.0138,-0.3040,-0.0102
0.005,18.9075,6.0958,1.0375,2.0525,2.0123,-0.3094,-0.0103
0.005,18.9178,6.0957,1.0478,2.0625,2.0107,-0.3147,-0.0104
0.005,18.9282,6.0956,1.0582,2.0726,2.0091,-0.3201,-0.0106
0.005,18.9386,6.0955,1.0686,2.0826,2.0075,-0.3253,-0.0107
0.005,18.9490,6.0954,1.0791,2.0927,2.0058,-0.3306,-0.0108
0.005,18.9595,6.0952,1.0896,2.1027,2.0041,-0.3358,-0.0110
0.005,18.9701,6.0951,1.1001,2.1127,2.0024,-0.3410,-0.0111
0.005,18.9807,6.0950,1.1107,2.1227,2.0007,-0.3462,-0.0112
0.005,18.9914,6.0949,1.1214,2.1327,1.9989,-0.3513,-0.0114
0.005,19.0021,6.0948,1.1321,2.1427,1.9972,-0.3563,-0.0115
