dt,x,y,position,velocity,acceleration,jerk,heading
0.005,17.8700,3.7000,0.0001,0.0100,2.0000,0.0000,0.0000
0.005,17.8701,3.7000,0.0001,0.0200,2.0000,-0.0033,0.0000
0.005,17.8703,3.7000,0.0003,0.0300,2.0000,-0.0046,0.0000
0.005,17.8705,3.7000,0.0005,0.0400,1.9999,-0.0075,0.0000
0.005,17.8707,3.7000,0.0007,0.0500,1.9999,-0.0100,0.0000
0.005,17.8710,3.7000,0.0010,0.0600,1.9998,-0.0125,0.0000
0.005,17.8714,3.7000,0.0014,0.0700,1.9997,-0.0150,0.0000
0.005,17.8718,3.7000,0.0018,0.0800,1.9996,-0.0175,0.0000
0.005,17.8722,3.7000,0.0022,0.0900,1.9995,-0.0200,0.0000
0.005,17.8727,3.7000,0.0027,0.1000,1.9994,-0.0224,0.0000
0.005,17.8733,3.7000,0.0033,0.1100,1.9993,-0.0249,0.0000
0.005,17.8739,3.7000,0.0039,0.1200,1.9992,-0.0274,0.0000
0.005,17.8745,3.7000,0.0045,0.1300,1.9990,-0.0298,0.0000
0.005,17.8752,3.7000,0.0052,0.1400,1.9989,-0.0322,0.0000
0.005,17.8760,3.7000,0.0060,0.1500,1.9987,-0.0347,0.0000
0.005,17.8768,3.7000,0.0068,0.1600,1.9985,-0.0371,0.0000
0.005,17.8776,3.7000,0.0076,0.1699,1.9983,-0.0395,0.0000
0.005,17.8785,3.7000,0.0085,0.1799,1.9981,-0.0419,0.0000
0.005,17.8795,3.7000,0.0095,0.1899,1.9979,-0.0442,0.0000
0.005,17.8805,3.7000,0.0105,0.1999,1.9976,-0.0466,0.0000
0.005,17.8815,3.7000,0.0115,0.2099,1.9974,-0.0489,0.0000
0.005,17.8826,3.7000,0.0126,0.2199,1.9971,-0.0512,0.0000
0.005,17.8838,3.7000,0.0138,0.2299,1.9969,-0.0535,0.0000
0.005,17.8850,3.7000,0.0150,0.2399,1.9966,-0.0558,0.0000
0.005,17.8862,3.7000,0.0162,0.2498,1.9963,-0.0581,0.0000
0.005,17.8875,3.7000,0.0175,0.2598,1.9960,-0.0603,0.0000
0.005,17.8889,3.7000,0.0189,0.2698,1.9957,-0.0625,0.0000
0.005,17.8903,3.7000,0.0203,0.2798,1.9954,-0.0647,0.0000
0.005,17.8917,3.7000,0.0217,0.2897,1.9950,-0.0668,0.0000
0.005,17.8932,3.7000,0.0232,0.2997,1.9947,-0.0690,0.0000
0.005,17.8948,3.7000,0.0248,0.3097,1.9943,-0.0711,0.0000
0.005,17.8964,3.7000,0.0264,0.3197,1.9940,-0.0732,0.0000
0.005,17.8980,3.7000,0.0280,0.3296,1.9936,-0.0752,0.0000
0.005,17.8997,3.7000,0.0297,0.3396,1.9932,-0.0773,0.0000
0.005,17.9015,3.7000,0.0315,0.3496,1.9928,-0.0793,0.0000
0.005,17.9033,3.7000,0.0333,0.3595,1.9924,-0.0812,0.0000
0.005,17.9051,3.7000,0.0351,0.3695,1.9920,-0.0832,0.0000
0.005,17.9070,3.7000,0.0370,0.3794,1.9916,-0.0851,0.0000
0.005,17.9090,3.7000,0.0390,0.3894,1.9911,-0.0870,0.0000
0.005,17.9110,3.7000,0.0410,0.3994,1.9907,-0.0888,0.0000
0.005,17.9130,3.7000,0.0430,0.4093,1.9902,-0.0906,0.0000
0.005,17.9151,3.7000,0.0451,0.4193,1.9898,-0.0924,0.0000
0.005,17.9173,3.7000,0.0473,0.4292,1.9893,-0.0941,0.0000
0.005,17.9195,3.7000,0.0495,0.4391,1.9888,-0.0958,0.0000
0.005,17.9217,3.7000,0.0517,0.4491,1.9883,-0.0975,0.0000
0.005,17.9240,3.7000,0.0540,0.4590,1.9878,-0.0991,0.0000
0.005,17.9263,3.7000,0.0563,0.4690,1.9873,-0.1007,-0.0001
0.005,17.9287,3.7000,0.0587,0.4789,1.9868,-0.1022,-0.0001
0.005,17.9312,3.7000,0.0612,0.4888,1.9863,-0.1037,-0.0001
0.005,17.9337,3.7000,0.0637,0.4988,1.9858,-0.1052,-0.0001
0.005,17.9362,3.7000,0.0662,0.5087,1.9852,-0.1066,-0.0001
0.005,17.9388,3.7000,0.0688,0.5186,1.9847,-0.1080,-0.0001
0.005,17.9414,3.7000,0.0714,0.5285,1.9842,-0.1093,-0.0001
0.005,17.9441,3.7000,0.0741,0.5384,1.9836,-0.1106,-0.0001
0.005,17.9469,3.7000,0.0769,0.5484,1.9830,-0.1119,-0.0001
0.005,17.9497,3.7000,0.0797,0.5583,1.9825,-0.1131,-0.0001
0.005,17.9525,3.7000,0.0825,0.5682,1.9819,-0.1142,-0.0001
0.005,17.9554,3.7000,0.0854,0.5781,1.9813,-0.1154,-0.0001
0.005,17.9583,3.7000,0.0883,0.5880,1.9807,-0.1164,-0.0001
0.005,17.9613,3.7000,0.0913,0.5979,1.9802,-0.1174,-0.0001
0.005,17.9644,3.7000,0.0944,0.6078,1.9796,-0.1184,-0.0001
0.005,17.9675,3.7000,0.0975,0.6177,1.9790,-0.1193,-0.0002
0.005,17.9706,3.7000,0.1006,0.6276,1.9784,-0.1202,-0.0002
0.005,17.9738,3.7000,0.1038,0.6375,1.9778,-0.1210,-0.0002
0.005,17.9770,3.7000,0.1070,0.6473,1.9772,-0.1218,-0.0002
0.005,17.9803,3.7000,0.1103,0.6572,1.9765,-0.1225,-0.0002
0.005,17.9836,3.7000,0.1136,0.6671,1.9759,-0.1231,-0.0002
0.005,17.9870,3.7000,0.1170,0.6770,1.9753,-0.1237,-0.0002
0.005,17.9905,3.7000,0.1205,0.6869,1.9747,-0.1243,-0.0002
0.005,17.9939,3.7000,0.1239,0.6967,1.9741,-0.1248,-0.0003
0.005,17.9975,3.7000,0.1275,0.7066,1.9734,-0.1252,-0.0003
0.005,18.0011,3.7000,0.1311,0.7165,1.9728,-0.1256,-0.0003
