dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.6620,-2.1200,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,4.6660,-2.1200,0.0060,0.2000,5.0000,0.0000,0.0000
0.02,4.6720,-2.1200,0.0120,0.3000,5.0000,0.0000,0.0000
0.02,4.6800,-2.1200,0.0200,0.4000,5.0000,0.0000,-0.0001
0.02,4.6900,-2.1200,0.0300,0.5000,5.0000,0.0000,-0.0002
0.02,4.7020,-2.1200,0.0420,0.6000,5.0000,0.0000,-0.0003
0.02,4.7160,-2.1200,0.0560,0.7000,5.0000,0.0000,-0.0006
0.02,4.7320,-2.1200,0.0720,0.8000,5.0000,0.0000,-0.0010
0.02,4.7500,-2.1200,0.0900,0.9000,5.0000,0.0000,-0.0015
0.02,4.7700,-2.1201,0.1100,1.0000,5.0000,0.0000,-0.0022
0.02,4.7920,-2.1201,0.1320,1.1000,5.0000,0.0000,-0.0032
0.02,4.8160,-2.1202,0.1560,1.2000,5.0000,0.0000,-0.0044
0.02,4.8420,-2.1204,0.1820,1.3000,5.0000,0.0000,-0.0060
0.02,4.8700,-2.1206,0.2100,1.4000,5.0000,0.0000,-0.0079
0.02,4.9000,-2.1208,0.2400,1.5000,5.0000,0.0000,-0.0103
0.02,4.9320,-2.1212,0.2720,1.6000,5.0000,0.0000,-0.0131
0.02,4.9660,-2.1217,0.3060,1.7000,5.0000,0.0000,-0.0163
0.02,5.0020,-2.1224,0.3420,1.8000,5.0000,0.0000,-0.0202
0.02,5.0400,-2.1232,0.3800,1.9000,5.0000,0.0000,-0.0246
0.02,5.0800,-2.1243,0.4200,2.0000,5.0000,0.0000,-0.0297
0.02,5.1219,-2.1257,0.4620,2.1000,5.0000,0.0000,-0.0354
0.02,5.1659,-2.1274,0.5060,2.2000,5.0000,0.0000,-0.0419
0.02,5.2119,-2.1295,0.5520,2.3000,5.0000,0.0000,-0.0491
0.02,5.2598,-2.1320,0.6000,2.4000,5.0000,0.0000,-0.0570
0.02,5.3097,-2.1351,0.6500,2.5000,5.0000,0.0000,-0.0658
0.02,5.3616,-2.1387,0.7020,2.6000,5.0000,0.0000,-0.0753
0.02,5.4154,-2.1431,0.7560,2.7000,5.0000,0.0000,-0.0857
0.02,5.4712,-2.1482,0.8120,2.8000,5.0000,0.0000,-0.0969
0.02,5.5289,-2.1541,0.8700,2.9000,5.0000,0.0000,-0.1088
0.02,5.5885,-2.1610,0.9300,3.0000,5.0000,0.0000,-0.1215
0.02,5.6499,-2.1689,0.9920,3.1000,5.0000,0.0000,-0.1350
0.02,5.7133,-2.1780,1.0560,3.2000,5.0000,0.0000,-0.1492
0.02,5.7785,-2.1883,1.1220,3.3000,5.0000,0.0000,-0.1639
0.02,5.8455,-2.1999,1.1900,3.4000,5.0000,0.0000,-0.1793
0.02,5.9143,-2.2129,1.2600,3.5000,5.0000,0.0000,-0.1952
0.02,5.9848,-2.2275,1.3320,3.6000,5.0000,0.0000,-0.2115
0.02,6.0570,-2.2436,1.4060,3.7000,5.0000,0.0000,-0.2281
0.02,6.1309,-2.2614,1.4820,3.8000,5.0000,0.0000,-0.2449
0.02,6.2064,-2.2810,1.5600,3.9000,5.0000,0.0000,-0.2619
0.02,6.2835,-2.3023,1.6400,4.0000,5.0000,0.0000,-0.2789
0.02,6.3621,-2.3256,1.7220,4.1000,5.0000,0.0000,-0.2957
0.02,6.4423,-2.3507,1.8060,4.2000,5.0000,0.0000,-0.3124
0.02,6.5239,-2.3778,1.8920,4.3000,5.0000,0.0000,-0.3287
0.02,6.6069,-2.4069,1.9800,4.4000,5.0000,0.0000,-0.3446
0.02,6.6914,-2.4380,2.0700,4.5000,5.0000,0.0000,-0.3600
0.02,6.7773,-2.4710,2.1620,4.6000,5.0000,0.0000,-0.3748
0.02,6.8645,-2.5061,2.2560,4.7000,5.0000,0.0000,-0.3887
0.02,6.9531,-2.5430,2.3520,4.8000,5.0000,0.0000,-0.4019
0.02,7.0430,-2.5819,2.4500,4.9000,5.0000,0.0000,-0.4141
0.02,7.1344,-2.6227,2.5500,5.0000,5.0000,0.0000,-0.4253
0.02,7.2270,-2.6653,2.6520,5.1000,5.0000,0.0000,-0.4354
0.02,7.3211,-2.7096,2.7560,5.2000,5.0000,0.0000,-0.4443
0.02,7.4167,-2.7555,2.8620,5.3000,5.0000,0.0000,-0.4520
0.02,7.5137,-2.8030,2.9700,5.4000,5.0000,0.0000,-0.4583
0.02,7.6122,-2.8519,3.0800,5.5000,5.0000,0.0000,-0.4631
0.02,7.7123,-2.9021,3.1920,5.6000,5.0000,0.0000,-0.4663
0.02,7.8141,-2.9535,3.3060,5.7000,5.0000,0.0000,-0.4679
0.02,7.9176,-3.0058,3.4220,5.8000,5.0000,0.0000,-0.4677
0.02,8.0230,-3.0589,3.5400,5.9000,5.0000,0.0000,-0.4655
0.02,8.1303,-3.1125,3.6600,6.0000,5.0000,0.0000,-0.4612
0.02,8.2398,-3.1665,3.7820,6.1000,5.0000,0.0000,-0.4547
0.02,8.3514,-3.2205,3.9060,6.2000,5.0000,0.0000,-0.4457
0.02,8.4654,-3.2741,4.0320,6.3000,5.0000,0.0000,-0.4339
0.02,8.5819,-3.3271,4.1600,6.4000,5.0000,0.0000,-0.4191
0.02,8.7011,-3.3790,4.2900,6.5000,5.0000,0.0000,-0.4010
0.02,8.8232,-3.4292,4.4220,6.6000,5.0000,0.0000,-0.3792
0.02,8.9483,-3.4772,4.5560,6.7000,5.0000,0.0000,-0.3532
0.02,9.0766,-3.5224,4.6920,6.8000,5.0000,0.0000,-0.3228
0.02,9.2082,-3.5639,4.8300,6.9000,5.0000,0.0000,-0.2873
0.02,9.3432,-3.6008,4.9700,7.0000,5.0000,0.0000,-0.2463
0.02,9.4816,-3.6323,5.1120,7.1000,5.0000,0.0000,-0.1996
