dt,x,y,position,velocity,acceleration,jerk,heading
0.02,4.6620,-0.9200,0.0020,0.1000,5.0000,0.0000,0.0000
0.02,4.6660,-0.9200,0.0060,0.2004,5.0184,0.9177,0.0000
0.02,4.6720,-0.9200,0.0120,0.3012,5.0435,1.2550,0.0000
0.02,4.6801,-0.9200,0.0201,0.4029,5.0842,2.0396,-0.0001
0.02,4.6902,-0.9200,0.0302,0.5057,5.1381,2.6912,-0.0002
0.02,4.7024,-0.9200,0.0424,0.6098,5.2044,3.3187,-0.0003
0.02,4.7167,-0.9200,0.0567,0.7154,5.2828,3.9160,-0.0006
0.02,4.7332,-0.9200,0.0732,0.8229,5.3723,4.4773,-0.0010
0.02,4.7518,-0.9200,0.0918,0.9323,5.4722,4.9968,-0.0015
0.02,4.7727,-0.9201,0.1127,1.0440,5.5816,5.4687,-0.0022
0.02,4.7959,-0.9201,0.1358,1.1579,5.6994,5.8875,-0.0032
0.02,4.8213,-0.9202,0.1613,1.2744,5.8243,6.2473,-0.0044
0.02,4.8492,-0.9204,0.1892,1.3935,5.9552,6.5429,-0.0060
0.02,4.8795,-0.9206,0.2195,1.5153,6.0905,6.7685,-0.0079
0.02,4.9123,-0.9209,0.2523,1.6399,6.2289,6.9188,-0.0103
0.02,4.9477,-0.9213,0.2877,1.7673,6.3687,6.9881,-0.0131
0.02,4.9856,-0.9219,0.3256,1.8975,6.5081,6.9709,-0.0163
0.02,5.0262,-0.9226,0.3662,2.0304,6.6453,6.8612,-0.0202
0.02,5.0695,-0.9236,0.4095,2.1659,6.7784,6.6534,-0.0246
0.02,5.1156,-0.9248,0.4556,2.3040,6.9052,6.3413,-0.0297
0.02,5.1644,-0.9264,0.5045,2.4445,7.0236,5.9191,-0.0354
0.02,5.2161,-0.9284,0.5562,2.5871,7.1312,5.3812,-0.0419
0.02,5.2707,-0.9309,0.6109,2.7316,7.2257,4.7225,-0.0491
0.02,5.3282,-0.9339,0.6684,2.8777,7.3045,3.9388,-0.0570
0.02,5.3886,-0.9377,0.7289,3.0250,7.3650,3.0274,-0.0658
0.02,5.4519,-0.9421,0.7924,3.1731,7.4048,1.9881,-0.0753
